,Word,Lemma,POSTag,Shape
0,Thanks,thanks,UH,Xxxxx
1,",",",",",",","
2,Jeff,Jeff,NNP,Xxxx
3,",",",",",",","
4,and,and,CC,xxx
5,good,good,JJ,xxxx
6,morning,morning,NN,xxxx
7,everyone,everyone,NN,xxxx
8,"
","
",_SP,"
"
9,I,-PRON-,PRP,X
10,will,will,MD,xxxx
11,start,start,VB,xxxx
12,on,on,IN,xx
13,slide,slide,NN,xxxx
14,6,6,CD,d
15,with,with,IN,xxxx
16,an,an,DT,xx
17,overview,overview,NN,xxxx
18,of,of,IN,xx
19,our,-PRON-,PRP$,xxx
20,financial,financial,JJ,xxxx
21,performance,performance,NN,xxxx
22,"
","
",_SP,"
"
23,Overall,overall,RB,Xxxxx
24,",",",",",",","
25,I,-PRON-,PRP,X
26,would,would,MD,xxxx
27,characterize,characterize,VB,xxxx
28,Q2,Q2,NNP,Xd
29,as,as,IN,xx
30,demonstrating,demonstrate,VBG,xxxx
31,operational,operational,JJ,xxxx
32,progress,progress,NN,xxxx
33,",",",",",",","
34,realized,realize,VBD,xxxx
35,expanding,expand,VBG,xxxx
36,margins,margin,NNS,xxxx
37,and,and,CC,xxx
38,cash,cash,NN,xxxx
39,flow,flow,NN,xxxx
40,with,with,IN,xxxx
41,a,a,DT,x
42,mix,mix,NN,xxx
43,story,story,NN,xxxx
44,on,on,IN,xx
45,sales,sale,NNS,xxxx
46,",",",",",",","
47,where,where,WRB,xxxx
48,we,-PRON-,PRP,xx
49,had,have,VBD,xxx
50,a,a,DT,x
51,significant,significant,JJ,xxxx
52,amount,amount,NN,xxxx
53,of,of,IN,xx
54,foundation,foundation,NN,xxxx
55,building,building,NN,xxxx
56,revenue,revenue,NN,xxxx
57,generation,generation,NN,xxxx
58,activities,activity,NNS,xxxx
59,",",",",",",","
60,but,but,CC,xxx
61,we,-PRON-,PRP,xx
62,have,have,VBP,xxxx
63,not,not,RB,xxx
64,yet,yet,RB,xxx
65,seen,see,VBN,xxxx
66,the,the,DT,xxx
67,benefits,benefit,NNS,xxxx
68,come,come,VB,xxxx
69,through,through,RP,xxxx
70,in,in,IN,xx
71,the,the,DT,xxx
72,top,top,JJ,xxx
73,line,line,NN,xxxx
74,"
","
",_SP,"
"
