,Word,Lemma,POSTag,Shape
0,Thank,thank,VBP,Xxxxx
1,you,-PRON-,PRP,xxx
2,",",",",",",","
3,Rick,Rick,NNP,Xxxx
4,"
","
",_SP,"
"
5,Sales,sale,NNS,Xxxxx
6,in,in,IN,xx
7,the,the,DT,xxx
8,March,March,NNP,Xxxxx
9,quarter,quarter,NN,xxxx
10,increased,increase,VBD,xxxx
11,for,for,IN,xxx
12,the,the,DT,xxx
13,sixth,sixth,JJ,xxxx
14,consecutive,consecutive,JJ,xxxx
15,quarter,quarter,NN,xxxx
16,to,to,IN,xx
17,$,$,$,$
18,609,609,CD,ddd
19,million,million,CD,xxxx
20,",",",",",",","
21,up,up,RB,xx
22,4,4,CD,d
23,%,%,NN,%
24,sequentially,sequentially,RB,xxxx
25,and,and,CC,xxx
26,up,up,RB,xx
27,7,7,CD,d
28,%,%,NN,%
29,on,on,IN,xx
30,a,a,DT,x
31,year,year,NN,xxxx
32,-,-,HYPH,-
33,over,over,IN,xxxx
34,-,-,HYPH,-
35,year,year,NN,xxxx
36,basis,basis,NN,xxxx
37,"
","
",_SP,"
"
38,Growth,growth,NN,Xxxxx
39,was,be,VBD,xxx
40,driven,drive,VBN,xxxx
41,by,by,IN,xx
42,our,-PRON-,PRP$,xxx
43,Advanced,Advanced,NNP,Xxxxx
44,Products,Products,NNPS,Xxxxx
45,",",",",",",","
46,which,which,WDT,xxxx
47,increased,increase,VBD,xxxx
48,9,9,CD,d
49,%,%,NN,%
50,sequentially,sequentially,RB,xxxx
51,to,to,IN,xx
52,a,a,DT,x
53,new,new,JJ,xxx
54,record,record,NN,xxxx
55,"
","
",_SP,"
"
56,Gross,gross,JJ,Xxxxx
57,margin,margin,NN,xxxx
58,was,be,VBD,xxx
59,69.5,69.5,CD,dd.d
60,%,%,NN,%
61,",",",",",",","
62,at,at,IN,xx
63,the,the,DT,xxx
64,high,high,JJ,xxxx
65,end,end,NN,xxx
66,of,of,IN,xx
67,our,-PRON-,PRP$,xxx
68,guidance,guidance,NN,xxxx
69,",",",",",",","
70,due,due,JJ,xxx
71,primarily,primarily,RB,xxxx
72,to,to,TO,xx
73,favorable,favorable,JJ,xxxx
74,end,end,NN,xxx
75,market,market,NN,xxxx
76,mix,mix,NN,xxx
77,"
","
",_SP,"
"
78,Operating,operate,VBG,Xxxxx
79,expense,expense,NN,xxxx
80,was,be,VBD,xxx
81,$,$,$,$
82,250,250,CD,ddd
83,million,million,CD,xxxx
84,"
","
",_SP,"
"
85,This,this,DT,Xxxx
86,was,be,VBD,xxx
87,$,$,$,$
88,6,6,CD,d
89,million,million,CD,xxxx
90,higher,high,JJR,xxxx
91,than,than,IN,xxxx
92,guided,guide,VBN,xxxx
93,as,as,IN,xx
94,we,-PRON-,PRP,xx
95,accelerated,accelerate,VBD,xxxx
96,some,some,DT,xxxx
97,16-nanometer,16-nanometer,CD,dd-xxxx
98,tape,tape,NN,xxxx
99,-,-,HYPH,-
100,out,out,NN,xxx
101,expenses,expense,NNS,xxxx
102,to,to,TO,xx
103,extend,extend,VB,xxxx
104,our,-PRON-,PRP$,xxx
105,technology,technology,NN,xxxx
106,leadership,leadership,NN,xxxx
107,and,and,CC,xxx
108,add,add,VB,xxx
109,some,some,DT,xxxx
110,increased,increase,VBN,xxxx
111,litigation,litigation,NN,xxxx
112,expense,expense,NN,xxxx
113,"
","
",_SP,"
"
114,Operating,operate,VBG,Xxxxx
115,income,income,NN,xxxx
116,for,for,IN,xxx
117,the,the,DT,xxx
118,quarter,quarter,NN,xxxx
119,increased,increase,VBD,xxxx
120,6,6,CD,d
121,%,%,NN,%
122,sequentially,sequentially,RB,xxxx
123,to,to,IN,xx
124,$,$,$,$
125,173,173,CD,ddd
126,million,million,CD,xxxx
127,or,or,CC,xx
128,28.5,28.5,CD,dd.d
129,%,%,NN,%
130,"
","
",_SP,"
"
131,Other,other,JJ,Xxxxx
132,income,income,NN,xxxx
133,and,and,CC,xxx
134,expense,expense,NN,xxxx
135,was,be,VBD,xxx
136,an,an,DT,xx
137,expense,expense,NN,xxxx
138,of,of,IN,xx
139,$,$,$,$
