,Word,Lemma,POSTag,Shape
0,Thank,thank,VBP,Xxxxx
1,you,-PRON-,PRP,xxx
2,",",",",",",","
3,Ingrid,Ingrid,NNP,Xxxxx
4,"
","
",_SP,"
"
5,Good,good,JJ,Xxxx
6,morning,morning,NN,xxxx
7,",",",",",",","
8,everyone,everyone,NN,xxxx
9,"
","
",_SP,"
"
10,In,in,IN,Xx
11,Q4,Q4,NNP,Xd
12,",",",",",",","
13,Abiomed,Abiomed,NNP,Xxxxx
14,had,have,VBD,xxx
15,another,another,DT,xxxx
16,strong,strong,JJ,xxxx
17,quarter,quarter,NN,xxxx
18,of,of,IN,xx
19,continued,continue,VBN,xxxx
20,adoption,adoption,NN,xxxx
21,of,of,IN,xx
22,the,the,DT,xxx
23,Impella,Impella,NNP,Xxxxx
24,family,family,NN,xxxx
25,of,of,IN,xx
26,devices,device,NNS,xxxx
27,with,with,IN,xxxx
28,$,$,$,$
29,124.7,124.7,CD,ddd.d
30,million,million,CD,xxxx
31,in,in,IN,xx
32,revenue,revenue,NN,xxxx
33,",",",",",",","
34,representing,represent,VBG,xxxx
35,growth,growth,NN,xxxx
36,of,of,IN,xx
37,33,33,CD,dd
38,%,%,NN,%
39,"
","
",_SP,"
"
40,patient,patient,JJ,xxxx
41,utilization,utilization,NN,xxxx
42,increased,increase,VBN,xxxx
43,by,by,IN,xx
44,30,30,CD,dd
45,%,%,NN,%
46,",",",",",",","
47,driven,drive,VBN,xxxx
48,by,by,IN,xx
49,continued,continued,JJ,xxxx
50,growth,growth,NN,xxxx
51,in,in,IN,xx
52,both,both,DT,xxxx
53,Protected,protect,VBN,Xxxxx
54,PCI,PCI,NNP,XXX
55,and,and,CC,xxx
56,emergent,emergent,JJ,xxxx
57,patients,patient,NNS,xxxx
58,",",",",",",","
59,which,which,WDT,xxxx
60,grew,grow,VBD,xxxx
61,26,26,CD,dd
62,%,%,NN,%
63,and,and,CC,xxx
64,37,37,CD,dd
65,%,%,NN,%
66,",",",",",",","
67,respectively,respectively,RB,xxxx
68,"
","
",_SP,"
"
69,For,for,IN,Xxx
70,the,the,DT,xxx
71,full,full,JJ,xxxx
72,fiscal,fiscal,JJ,xxxx
73,year,year,NN,xxxx
74,2017,2017,CD,dddd
75,",",",",",",","
76,Abiomed,Abiomed,NNP,Xxxxx
77,generated,generate,VBD,xxxx
78,$,$,$,$
79,445.3,445.3,CD,ddd.d
80,million,million,CD,xxxx
81,in,in,IN,xx
82,revenue,revenue,NN,xxxx
83,",",",",",",","
84,representing,represent,VBG,xxxx
85,a,a,DT,x
86,net,net,JJ,xxx
87,increase,increase,NN,xxxx
88,of,of,IN,xx
89,$,$,$,$
90,116,116,CD,ddd
91,million,million,CD,xxxx
92,or,or,CC,xx
93,growth,growth,NN,xxxx
94,of,of,IN,xx
95,35,35,CD,dd
96,%,%,NN,%
97,"
","
",_SP,"
"
98,Abiomed,Abiomed,NNP,Xxxxx
99,remains,remain,VBZ,xxxx
100,one,one,CD,xxx
101,of,of,IN,xx
102,the,the,DT,xxx
103,fastest,fastest,RBS,xxxx
104,-,-,HYPH,-
105,growing,grow,VBG,xxxx
106,GAAP,GAAP,NNP,XXXX
107,profitable,profitable,JJ,xxxx
108,medical,medical,JJ,xxxx
109,device,device,NN,xxxx
110,companies,company,NNS,xxxx
111,and,and,CC,xxx
112,fiscal,fiscal,JJ,xxxx
113,2017,2017,CD,dddd
114,was,be,VBD,xxx
115,another,another,DT,xxxx
116,successful,successful,JJ,xxxx
117,year,year,NN,xxxx
118,",",",",",",","
119,as,as,IN,xx
120,we,-PRON-,PRP,xx
121,achieved,achieve,VBD,xxxx
122,our,-PRON-,PRP$,xxx
123,corporate,corporate,JJ,xxxx
124,goals,goal,NNS,xxxx
125,"
","
",_SP,"
"
126,We,-PRON-,PRP,Xx
127,received,receive,VBD,xxxx
128,FDA,FDA,NNP,XXX
129,PMA,PMA,NNP,XXX
130,approval,approval,NN,xxxx
131,for,for,IN,xxx
132,cardiogenic,cardiogenic,JJ,xxxx
133,shock,shock,NN,xxxx
134,",",",",",",","
135,Impella,Impella,NNP,Xxxxx
