,Word,Lemma,POSTag,Shape
0,Thanks,thanks,UH,Xxxxx
1,",",",",",",","
2,Mike,Mike,NNP,Xxxx
3,"
","
",_SP,"
"
4,We,-PRON-,PRP,Xx
5,are,be,VBP,xxx
6,very,very,RB,xxxx
7,pleased,pleased,JJ,xxxx
8,with,with,IN,xxxx
9,our,-PRON-,PRP$,xxx
10,second,second,JJ,xxxx
11,quarter,quarter,NN,xxxx
12,performance,performance,NN,xxxx
13,"
","
",_SP,"
"
14,Total,total,JJ,Xxxxx
15,net,net,JJ,xxx
16,revenues,revenue,NNS,xxxx
17,were,be,VBD,xxxx
18,$,$,$,$
19,6.9,6.9,CD,d.d
20,billion,billion,CD,xxxx
21,",",",",",",","
22,up,up,RB,xx
23,8.9,8.9,CD,d.d
24,%,%,NN,%
25,operationally,operationally,RB,xxxx
26,",",",",",",","
27,excluding,exclude,VBG,xxxx
28,a,a,DT,x
29,90,90,CD,dd
30,basis,basis,NN,xxxx
31,point,point,NN,xxxx
32,unfavorable,unfavorable,JJ,xxxx
33,impact,impact,NN,xxxx
34,from,from,IN,xxxx
35,foreign,foreign,JJ,xxxx
36,exchange,exchange,NN,xxxx
37,"
","
",_SP,"
"
38,We,-PRON-,PRP,Xx
39,reported,report,VBD,xxxx
40,adjusted,adjusted,JJ,xxxx
41,earnings,earning,NNS,xxxx
42,per,per,IN,xxx
43,share,share,NN,xxxx
44,of,of,IN,xx
45,$,$,$,$
46,1.42,1.42,CD,d.dd
47,",",",",",",","
48,up,up,RB,xx
49,12.7,12.7,CD,dd.d
50,%,%,NN,%
51,compared,compare,VBN,xxxx
52,to,to,IN,xx
53,the,the,DT,xxx
54,second,second,JJ,xxxx
55,quarter,quarter,NN,xxxx
56,of,of,IN,xx
57,2016,2016,CD,dddd
58,and,and,CC,xxx
59,exceeding,exceed,VBG,xxxx
60,our,-PRON-,PRP$,xxx
61,guidance,guidance,NN,xxxx
62,for,for,IN,xxx
63,the,the,DT,xxx
64,quarter,quarter,NN,xxxx
65,"
","
",_SP,"
"
66,HUMIRA,HUMIRA,NNP,XXXX
67,had,have,VBD,xxx
68,another,another,DT,xxxx
69,outstanding,outstanding,JJ,xxxx
70,quarter,quarter,NN,xxxx
71,",",",",",",","
