,Sentences
0,Okay
1,"Today, we reported ongoing earnings per share of $0.66 at the high end of our guidance range and reflecting double-digit growth"
2,"We also raised midpoint of our 2017 adjusted earnings per share guidance and narrowed the range to $2.48 to $2.50 which is at the upper end of the range, we said at the beginning of the year"
3,Sales increased more than [technical difficulty] in the quarter led by strong performance in established pharmaceuticals and medical devices
4,"At the beginning of the year, I commented that we were entering a period where innovation and new product launches when enhance our competitiveness and fortify our leading market positions"
5,We're seeing this play out through the first three quarters of the year with significant growth contributions from several recently launched products and important advancements across our innovative new product pipeline
6,I'll highlight several examples as I summarize our third quarter results in more detail before turning the call over to Brian
7,I'll start with diagnostics where we achieved sales growth of more than 5% in the quarter which was led by strong international performance during the quarter
8,"We continued the initial European launch of our Alinity family of systems, which now includes five recently launched instruments in the areas of immunoassay, clinical chemistry, blood screening, hematology and Point of Care testing"
9,"As we've stated previously, our primary focus during this initial launch period has been to convert a number of long tenured Abbott customers to Alinity and we continue to make progress on that front across all of the major European countries"
10,We continue to anticipate CE Mark for our Alinity molecular diagnostic systems in the coming months and expect to begin the launch of the Alinity instruments in the US in 2018.
11,"During the quarter, we also announced our acquisition of Alere establishing Abbott, is the global leader in Point of Care testing"
12,"This combination creates the broadest Point of Care testing portfolio in the world with leading positions across cardio, metabolic, infectious disease and toxicology testing"
13,"In nutrition, sales grew very modestly in the quarter"
14,And pediatric nutrition continued above market performance and the US was led by recently launched infant formula products and strong growth of our PediaSure toddler brand
15,"Internationally, we've seen some market stabilization in China and we prepare for the pending new food safety regulations that are set to go into effect on January 1 of next year"
16,"Outside of China as expected, we continue to see soft market conditions across few international markets and then adult nutrition international growth of 5.5% was led by our market leading Ensure and Glucerna brands"
17,"In established pharmaceuticals or EPD double-digit sales growth was led by strong performance across our key emerging markets including double-digit growth in Brazil, Russia, India and China"
18,"As expected and contemplated in our third quarter guidance, we saw a modest level of channel restocking in India after the implementation of a new tax system in that country on July 1, which contributed approximately 2.5 percentage points of growth in the quarter excluding this impact total EPD sales would have grown around 12% in the quarter"
19,"With our unique geographic footprint and business model as well as our scale and leading positions in several geographies, EPD is well positioned for sustained above market performance"
20,"And in medical devices sales growth was led by double-digit growth in heart failure, electrophysiology, structural heart, neuromodulation and diabetes care"
21,In addition to strong growth we achieved several important new product approvals and clinical trial milestones across our portfolio during the third quarter
22,"In heart failure, we received US FDA approval and launched our HeartMate 3 pump which provides crucial support for advanced heart failure patients as they wait for their treatment including heart transplants"
23,HeartMate 3 offers a number of advantages compared to existing options and further strengthens our global leadership position in this area
24,"During the quarter, we also received US FDA approval of our MRI compatible ICD or implantable defibrillator which follows FDA approval of our MRI compatible pacemaker earlier this year"
25,These approvals significantly enhance our competitive position in the US Cardiac Rhythm Management market
26,"In structural heart, double-digit growth was driven by continued global uptick MitraClip"
27,"During the quarter we achieved several important clinical milestones including completion of enrolment in our US trial for Portico, our TAVR product and we began enrolling patients in a new tricuspid valve disease trial which utilizes our market leading transcatheter valve repair system"
28,"In Neuromodulation, we achieved growth of approximately 50% for the third consecutive quarter driven by recently launched products that offer improved relief for chronic pain patients and help for those suffering from movement disorders"
29,"With our broad portfolio of innovative solutions, we continue to advance our leadership position in this fast growing market"
30,"I'll wrap up with diabetes care, where international sales growth of nearly 35% was driven by FreeStyle Libre, our innovative glucose monitoring system that eliminates the need for routine finger sticks"
31,"Libre now has more than 400,000 users internationally and during the quarter we obtained national reimbursement status in Japan and the United Kingdom which represent two of the largest diabetes markets in the world"
32,"In the US during the quarter, Libre received US FDA approval as a replacement for blood glucose monitoring"
33,This revolutionary technology is the only system available that comes factory-calibrated thus eliminating the need for daily finger sticks that are required to calibrate other systems currently available
34,"So in summary, we exceeded expectations for the quarter and raised the midpoint of our full year EPS guidance which is now at the upper end of the range, we said at the beginning of the year"
35,Our sales growth increased sequentially and recently launched products are contributing significant growth across our portfolio and we're particularly pleased with the productivity we're seeing across our new product pipeline which is delivering a study cadence of approvals and launches of innovative technologies
36,I'll now turn the call over to Brian to discuss our results and outlook for the year in more details
37,"Yes, I think it's premature Mike to give real specific about Alere"
38,"We closed the deal a couple of weeks ago, literally"
39,"And our new management team is taking over the business, but obviously very rapidly getting up to speed, meeting all their employees and going through all the things you do to start integration and so forth"
40,"And I'd say first of all, that's gone very well"
41,"The management team we put in place has moved very quickly and I'd say very deliberately to get their hands around everything, but that takes some time"
42,"As we've said the people given the timing of when we close it, we expect no accretion this year"
43,"So I wouldn't look for any particular impact on the bottom line in 2017 and with regard to 2018, since our initial estimates of accretion that were quite some time ago, as you know when we first announced this deal because it's taken a very long time close"
44,There have been a number of changes including divestitures and so forth
45,So I don't want to give you a specific number
46,I'd say it's fair to think that the accretion will be much more modest and what we have initially indicated for the first year
47,"We will get a full year, we'll get a quarter's head start"
48,And obviously our intent is to be accretive to our company and our business
49,"and we believe that with the acquisition we've positioned ourselves as the leader in Point of Care testing worldwide and all of that has the intent of good solid growth and profit growth for our investors, but I'm going to be cautious about what I communicate for 2018 at this point until we've really had a chance to assess it more thoroughly"
50,I think it's a good target
51,"I don't know that we know yet, but that's certainly"
52,"I think an expectation we Abbott ought to have and the question is, how rapidly we can do that"
53,Look I think it's a fair expectation
54,and if I was
55,and I'm totally honest with you
56,I wouldn't have a lesser expectation
