,Word,Lemma,POSTag,Shape
0,Okay,okay,UH,Xxxx
1,"
","
",_SP,"
"
2,Today,today,NN,Xxxxx
3,",",",",",",","
4,we,-PRON-,PRP,xx
5,reported,report,VBD,xxxx
6,ongoing,ongoing,JJ,xxxx
7,earnings,earning,NNS,xxxx
8,per,per,IN,xxx
9,share,share,NN,xxxx
10,of,of,IN,xx
11,$,$,$,$
12,0.66,0.66,CD,d.dd
13,at,at,IN,xx
14,the,the,DT,xxx
15,high,high,JJ,xxxx
16,end,end,NN,xxx
17,of,of,IN,xx
18,our,-PRON-,PRP$,xxx
19,guidance,guidance,NN,xxxx
20,range,range,NN,xxxx
21,and,and,CC,xxx
22,reflecting,reflect,VBG,xxxx
23,double,double,JJ,xxxx
24,-,-,HYPH,-
25,digit,digit,NN,xxxx
26,growth,growth,NN,xxxx
27,"
","
",_SP,"
"
28,We,-PRON-,PRP,Xx
29,also,also,RB,xxxx
30,raised,raise,VBD,xxxx
31,midpoint,midpoint,NN,xxxx
32,of,of,IN,xx
33,our,-PRON-,PRP$,xxx
34,2017,2017,CD,dddd
35,adjusted,adjust,VBN,xxxx
36,earnings,earning,NNS,xxxx
37,per,per,IN,xxx
38,share,share,NN,xxxx
39,guidance,guidance,NN,xxxx
40,and,and,CC,xxx
41,narrowed,narrow,VBD,xxxx
42,the,the,DT,xxx
43,range,range,NN,xxxx
44,to,to,IN,xx
45,$,$,$,$
46,2.48,2.48,CD,d.dd
47,to,to,TO,xx
48,$,$,$,$
49,2.50,2.50,CD,d.dd
50,which,which,WDT,xxxx
51,is,be,VBZ,xx
52,at,at,IN,xx
53,the,the,DT,xxx
54,upper,upper,JJ,xxxx
55,end,end,NN,xxx
56,of,of,IN,xx
57,the,the,DT,xxx
58,range,range,NN,xxxx
59,",",",",",",","
60,we,-PRON-,PRP,xx
61,said,say,VBD,xxxx
62,at,at,IN,xx
63,the,the,DT,xxx
64,beginning,beginning,NN,xxxx
65,of,of,IN,xx
66,the,the,DT,xxx
67,year,year,NN,xxxx
68,"
","
",_SP,"
"
69,Sales,sale,NNS,Xxxxx
70,increased,increase,VBD,xxxx
71,more,more,JJR,xxxx
72,than,than,IN,xxxx
73,[,[,-LRB-,[
74,technical,technical,JJ,xxxx
