,Sentences
0,"Thanks, Ludwig"
1,Starting with slide 8.
2,Total reported revenues in the third quarter
3,were $859 million and grew 8% year-over-year
4,"As we had forecasted and previously communicated, growth this quarter was lower than the previous two quarters due to a few factors"
5,"First, the second quarter benefited from approximately $35 million due to timing of orders, which directly impacted quarter-over-quarter and year-over-year growth for this quarter"
6,"Second, the impact from ALXN1210 and other clinical trial enrollments increased"
7,We estimate that this impact in Q3 was approximately $30 million versus approximately $20 million for the first half of the year
8,This is a welcome headwind as we continue to advance this program
9,"And, third, pricing was a 1% headwind in Q3, a slight increase versus the first half of the year, although lower than we had anticipated"
10,The third quarter non-GAAP earnings per share of $1.44 grew a strong 17% year-over-year
11,"Moving to slide 9, our product sales were driven by growth in the U.S"
12,", Europe, and the Asia Pacific region, whereas growth in the Rest of World was impacted by the timing of orders"
13,"You can see we delivered a 9% increase in volume, partially offset by FX headwind of less than 1% inclusive of hedging and a pricing headwind of 1% compared to the same period last year"
14,Turning to slide 10.
15,Soliris revenue was $756 million and year-over-year volume growth was 3%
16,ALXN1210
17,and other clinical trial enrollment was an approximately 4% headwind to year-over-year volume growth in the quarter with the largest geographic impact from enrollment in Europe and the Asia Pac region
18,"Importantly, when you strip away a number of the moving pieces over the last few quarters, we continue to see underlying volume growth for Soliris maintaining its momentum"
19,"More specifically, when adjusting for ALXN1210 in ordering patterns, Q3 volume growth was around 13% which is consistent with what we've seen in the last five quarters"
20,"As shown on slide 11, we reported Strensiq revenue of $87 million as we had continued momentum from existing patients continuing on therapy, as well as new patient additions"
21,Growth was impacted by changes to our pricing strategy in the U.S
22,as we work with payers to better align the value for higher dose patients
23,"Looking at Kanuma, we achieved revenues of $16 million"
24,Turning to operating margin on slide 10.
25,"During the quarter, we delivered a non-GAAP operating margin of 45%, benefiting from revenue growth and focus on operating expenses"
26,Non-GAAP R&D was $175 million or 20% of total revenue
27,"The decreased R&D spend compared to third quarter of 2016 was due to cost savings from the announced deprioritized programs and terminated partnerships, offset by increased investments in ALXN1210."
28,"Additionally, R&D spend in Q3 of this year benefited by approximately $6 million due to the timing of batches of clinic drug compared to our expectations"
29,This expense is now expected in Q4.
30,"Non-GAAP SG&A was $230 million, 27% of total revenue"
31,The year-over-year increase includes spend associated with the build of the dedicated field teams in preparation for the gMG launches in the U.S
32,", Germany and Japan"
33,The effective tax rate in the quarter was 10% and benefited from the conclusion of a routine IRS audit for the years 2013 and 2014.
34,This contributed approximately $0.07 to non-GAAP earnings per share in the quarter
35,"For the full year, we now expect the tax rate to be between 12% and 13% including this benefit, and expect an increase to 13% to 15% in 2018."
