,Word,Lemma,POSTag,Shape
0,Thanks,thanks,UH,Xxxxx
1,",",",",",",","
2,Ludwig,Ludwig,NNP,Xxxxx
3,"
","
",_SP,"
"
4,Starting,start,VBG,Xxxxx
5,with,with,IN,xxxx
6,slide,slide,NN,xxxx
7,8,8,CD,d
8,.,.,.,.
9,Total,Total,NNP,Xxxxx
10,reported,report,VBN,xxxx
11,revenues,revenue,NNS,xxxx
12,in,in,IN,xx
13,the,the,DT,xxx
14,third,third,JJ,xxxx
15,quarter,quarter,NN,xxxx
16,were,be,VBD,xxxx
17,$,$,$,$
18,859,859,CD,ddd
19,million,million,CD,xxxx
20,and,and,CC,xxx
21,grew,grow,VBD,xxxx
22,8,8,CD,d
23,%,%,NN,%
24,year,year,NN,xxxx
25,-,-,HYPH,-
26,over,over,IN,xxxx
27,-,-,HYPH,-
28,year,year,NN,xxxx
29,"
","
",_SP,"
"
30,As,as,IN,Xx
31,we,-PRON-,PRP,xx
32,had,have,VBD,xxx
33,forecasted,forecast,VBN,xxxx
34,and,and,CC,xxx
35,previously,previously,RB,xxxx
36,communicated,communicate,VBN,xxxx
37,",",",",",",","
38,growth,growth,NN,xxxx
39,this,this,DT,xxxx
40,quarter,quarter,NN,xxxx
41,was,be,VBD,xxx
42,lower,low,JJR,xxxx
43,than,than,IN,xxxx
44,the,the,DT,xxx
45,previous,previous,JJ,xxxx
46,two,two,CD,xxx
47,quarters,quarter,NNS,xxxx
48,due,due,IN,xxx
49,to,to,IN,xx
50,a,a,DT,x
51,few,few,JJ,xxx
52,factors,factor,NNS,xxxx
53,"
","
",_SP,"
"
54,First,first,RB,Xxxxx
55,",",",",",",","
56,the,the,DT,xxx
57,second,second,JJ,xxxx
58,quarter,quarter,NN,xxxx
59,benefited,benefit,VBD,xxxx
60,from,from,IN,xxxx
61,approximately,approximately,RB,xxxx
62,$,$,$,$
63,35,35,CD,dd
64,million,million,CD,xxxx
65,due,due,IN,xxx
66,to,to,IN,xx
67,timing,timing,NN,xxxx
68,of,of,IN,xx
69,orders,order,NNS,xxxx
70,",",",",",",","
71,which,which,WDT,xxxx
72,directly,directly,RB,xxxx
73,impacted,impact,VBN,xxxx
74,quarter,quarter,NN,xxxx
75,-,-,HYPH,-
