,Sentences
0,I'm very pleased to be here
1,Let's review our fourth quarter financial results
2,"The total company revenue for the fourth quarter was $293.2 million, up 5.2% from the prior quarter and up 27.3% from the corresponding quarter a year ago"
3,"On a constant currency basis our reported Q4 revenue was reduced by approximately $3 million, both sequentially and year-over-year as a result of foreign exchange rate fluctuations due to the strength of the U.S"
4,dollar
5,Fourth quarter clear aligner revenue of $251.5 million which now includes both Invisalign and Smile Direct Club aligner revenue was up 3.2% sequentially reflecting growth of Invisalign volume partially offset by lower Invisalign ASPs
6,Our Q4 shipment volume and revenue to Smile Direct Club were immaterial to the quarter
7,Our year-over-year clear aligner revenue growth of 17.5% reflected Invisalign case volume growth across all customers' channels and geographies
8,"Q4 Invisalign ASPs were down sequentially $50 to -- from Q3 to about $1,230 reflecting higher promotional activity and the impact of foreign exchange rate"
9,"On a year-over-year basis Q4 Invisalign ASPs were down approximately $20, primarily due to promotional activity and again, the impact of foreign exchange rates which was partially offset by price increases"
10,"For the fourth quarter total Invisalign shipment of about 190,000 cases were up 6.9% sequentially refracting growth primarily from our EMEA and North American customers"
11,Year-over-year Invisalign case volume growth was 18.5% driven by growth across all regions
12,"For North American orthodontists, Q4 Invisalign case volume was up 3.2% sequentially and up 20.2% year-over-year"
13,"For North American GPs, case volume was up 9.1% sequentially and up 9.5% year-over-year"
14,"For international doctors, Invisalign case volume was up 9.1% sequentially and up 25% year-over-year reflecting continued expansion of our customer base, as well as increased utilization"
15,"Worldwide Invisalign utilization in Q4 was a record 5.2 cases per doctor, up from 4.9 in Q4 last year"
16,"North America ortho utilization was a record 11.3, up from 9.9 in the prior year"
17,"North America GP utilization was 3.2, slightly up from 3.1 in the prior year"
18,"And international utilization was 5.0, flat from Q4 last year as we continue to expand our customer base"
19,"In Q4 we added 3,700 new Invisalign doctors worldwide of which 1,420 were new North American doctors and 2,280 of which were new international doctors"
20,"This compared to 2,615 in Q3 and 2,670 total doctors trained in the same quarter last year"
21,Note that the total number of doctors trained in Q4 includes 670 Invisalign
22,Go doctors in EMEA that were recruited over the course of the year
23,"Our scanner and services revenue for the fourth quarter was $41.7 million, up 19.3% sequentially and up 156.8% year-over-year"
24,"Moving on to gross margin; fourth quarter overall gross margin was 75.1%, flat sequentially and up 0.1 point year-over-year"
25,"Clear aligner gross margin for the fourth quarter was 77.5%, down 0.2 point sequentially, primarily due to lower Invisalign ASPs partially offset by cost leverage from higher volume"
26,Clear aligner gross margins were down 0.4 point year-over-year primarily due to increased aligner's per case as we continue to treat more complex cases
27,"Q4 gross margins for our scanner segment was a record 61%, up 3.9 point sequentially and 23.2 point year-over-year, both the sequential and year-over-year increases were primarily a result of higher ASPs and lower manufacturing costs of our iTero Element scanner relative to our previous scanner"
28,"Q4 operating expenses were $151.9 million, up sequentially by $4.8 million or 3.2%, primarily related to increased employee headcount which was partially offset by lower media cost and foreign exchange rate impact"
29,"On a year-over-year basis Q4 operating expenses were up 33.8% reflecting increased headcount and continued investment in our go-to-market activity, each critical to the growth of business"
30,"Our fourth quarter operating margin was 23.3%, up one point sequentially and down two and half point year-over-year"
31,This sequential increase in operating margin related primarily to OpEx leverage from higher volumes and revenue
32,On a year-over-year basis decreased operating margin primarily reflects higher OpEx as we've grown into business
33,"On a sequential and year-over-year basis, Q4 operating margin was minimally impacted by foreign exchange rates as we have a natural hedge between our revenue and operating expenses"
34,"With regard to our fourth quarter tax provision, our tax rate was 19.8%, up by approximately 1.4 point compared to Q3 of '16."
35,Recall that Q3 was benefited by a change in our corporate structure as part of our ERP implementation
36,Commencing in the fourth quarter we also began to find aligners to Smile Direct Club
37,Revenue and cost for this activity are included in our operating profit and reported results although they were immaterial to the company
38,"Additionally, we also report our share of Smile Direct Club's losses below operating margin in our tax provision and is entitled equity in losses of investee, net of tax"
39,"This Q4 loss, net of tax was approximately $1.2 million or $0.01 per diluted share"
40,Fourth quarter diluted earnings per share
41,was $0.59 compared to $0.63 reported in Q3 and $0.60 reported in the same quarter last year
42,Fourth quarter EPS was unfavorably impacted by a stronger U.S
43,"dollar which amounted to approximately $0.08 per share, primarily due to the net realized foreign exchange losses related to the revaluation of certain balance sheet accounts addressing unrealized foreign exchange losses included in other income and expense"
44,In conjunction with the implementation of our new international corporate structure in July we changed the function of currency of our Netherlands entity from euro to U.S
45,"As a result, monetary balance sheet accounts are revalued into U.S"
46,dollars and any impact from that is charged to the P&L
47,Prior to this change these impacts were charged to the balance sheet
48,We have now changed our processes to limit our exposure and the impact of these kinds of currency movement which we believe should not have nearly as large of an impact on earnings going forward
49,"Moving on to the balance sheet, as of the fourth quarter cash, cash equivalents and marketable securities including both short and long-term investment were a record $700 million"
50,"This compared to $678.7 million at the end of 2015, an increase of approximately $21.3 million"
51,"Of our $700 million of cash equivalents and marketable securities, $241 million was held by the U.S"
52,and $459 million was held by our international entities
53,Q4 accounts receivable balance
54,"was $247.4 million, up approximately 1% sequentially"
55,Our overall DSA --
56,"DSO was 76 days, down two days sequentially and up 14 days year-over-year"
57,The year-over-year increase is a result of our new ERP system implemented in July 2016 and other related systems that impact the timing of our customer collective
58,"As we indicated last quarter, we anticipate that our DSOs will remain above our historical average for several quarters as we work through these changes"
59,Cash flow from operations for the fourth quarter was $81 million and free cash flow for the quarter defined as cash flow from operations
60,less capital expenditures amounted to a record $66.8 million
61,"Capital expenditures for the fourth quarter were $14.2 million, primarily relating to equipment purchases or additional manufacturing capacity as well as building improvement"
62,During the fourth quarter we repurchased approximately 0.4 million shares of stock for $38 million under that April 2014 repurchase plan
63,"Subsequent to year end we completed this plan, we purchasing the remaining $3.8 million"
64,We still have $300 million available for repurchased under the 2016 repurchase plan which we announced last April
65,"Before we move to Q1 outlook, I would like to make a few comments on the full year 2016 results"
66,"In 2016 we shipped a record 708,000 Invisalign cases of 21.5%"
