,Word,Lemma,POSTag,Shape
0,Good,good,JJ,Xxxx
1,afternoon,afternoon,NN,xxxx
2,and,and,CC,xxx
3,thanks,thank,NNS,xxxx
4,for,for,IN,xxx
5,joining,join,VBG,xxxx
6,us,-PRON-,PRP,xx
7,"
","
",_SP,"
"
8,On,on,IN,Xx
9,our,-PRON-,PRP$,xxx
10,call,call,NN,xxxx
11,today,today,NN,xxxx
12,",",",",",",","
13,I,-PRON-,PRP,X
14,'ll,will,MD,'xx
15,provide,provide,VB,xxxx
16,some,some,DT,xxxx
17,highlights,highlight,NNS,xxxx
18,on,on,IN,xx
19,the,the,DT,xxx
20,quarter,quarter,NN,xxxx
21,",",",",",",","
22,and,and,CC,xxx
23,then,then,RB,xxxx
24,briefly,briefly,RB,xxxx
25,discuss,discuss,VBP,xxxx
26,the,the,DT,xxx
27,performance,performance,NN,xxxx
28,of,of,IN,xx
29,our,-PRON-,PRP$,xxx
30,two,two,CD,xxx
31,operating,operate,VBG,xxxx
32,segments,segment,NNS,xxxx
33,",",",",",",","
34,clear,clear,JJ,xxxx
35,aligners,aligner,NNS,xxxx
36,and,and,CC,xxx
37,scanners,scanner,NNS,xxxx
38,"
","
",_SP,"
"
39,John,John,NNP,Xxxx
40,will,will,MD,xxxx
41,provide,provide,VB,xxxx
42,more,more,JJR,xxxx
43,detail,detail,NN,xxxx
44,on,on,IN,xx
45,our,-PRON-,PRP$,xxx
46,financial,financial,JJ,xxxx
47,results,result,NNS,xxxx
48,and,and,CC,xxx
49,discuss,discuss,VB,xxxx
50,our,-PRON-,PRP$,xxx
51,outlook,outlook,NN,xxxx
52,for,for,IN,xxx
53,the,the,DT,xxx
54,third,third,JJ,xxxx
55,quarter,quarter,NN,xxxx
56,"
","
",_SP,"
"
57,Following,follow,VBG,Xxxxx
58,that,that,DT,xxxx
59,",",",",",",","
60,I,-PRON-,PRP,X
61,'ll,will,MD,'xx
62,come,come,VB,xxxx
63,back,back,RB,xxxx
64,and,and,CC,xxx
65,summarize,summarize,VB,xxxx
66,a,a,DT,x
67,few,few,JJ,xxx
68,key,key,JJ,xxx
69,points,point,NNS,xxxx
70,and,and,CC,xxx
71,open,open,VB,xxxx
72,up,up,RP,xx
73,the,the,DT,xxx
74,call,call,NN,xxxx
75,to,to,IN,xx
76,questions,question,NNS,xxxx
77,"
","
",_SP,"
"
78,Our,-PRON-,PRP$,Xxx
79,second,second,JJ,xxxx
80,quarter,quarter,NN,xxxx
81,results,result,NNS,xxxx
82,were,be,VBD,xxxx
83,better,well,JJR,xxxx
84,than,than,IN,xxxx
85,expected,expect,VBN,xxxx
86,across,across,IN,xxxx
87,all,all,DT,xxx
88,key,key,JJ,xxx
89,financial,financial,JJ,xxxx
90,metrics,metric,NNS,xxxx
91,",",",",",",","
92,including,include,VBG,xxxx
93,revenue,revenue,NN,xxxx
94,",",",",",",","
95,volume,volume,NN,xxxx
96,",",",",",",","
97,margins,margin,NNS,xxxx
98,and,and,CC,xxx
99,EPS,EPS,NNP,XXX
100,"
","
",_SP,"
"
101,Q2,Q2,NNP,Xd
102,revenues,revenue,NNS,xxxx
103,increased,increase,VBD,xxxx
104,32.3,32.3,CD,dd.d
105,%,%,NN,%
106,year,year,NN,xxxx
107,-,-,HYPH,-
108,over,over,IN,xxxx
109,-,-,HYPH,-
110,year,year,NN,xxxx
111,",",",",",",","
112,driven,drive,VBN,xxxx
113,by,by,IN,xx
114,strong,strong,JJ,xxxx
115,Invisalign,Invisalign,NNP,Xxxxx
116,case,case,NN,xxxx
117,shipments,shipment,NNS,xxxx
118,across,across,IN,xxxx
119,all,all,DT,xxx
120,channels,channel,NNS,xxxx
121,",",",",",",","
122,and,and,CC,xxx
123,especially,especially,RB,xxxx
124,in,in,IN,xx
125,the,the,DT,xxx
126,teen,teen,NN,xxxx
127,segment,segment,NN,xxxx
128,"
","
",_SP,"
"
129,Solid,solid,JJ,Xxxxx
130,execution,execution,NN,xxxx
131,of,of,IN,xx
132,our,-PRON-,PRP$,xxx
133,strategy,strategy,NN,xxxx
134,and,and,CC,xxx
135,key,key,JJ,xxx
136,investments,investment,NNS,xxxx
137,continue,continue,VBP,xxxx
138,to,to,TO,xx
139,deliver,deliver,VB,xxxx
140,strong,strong,JJ,xxxx
141,growth,growth,NN,xxxx
142,across,across,IN,xxxx
143,the,the,DT,xxx
144,board,board,NN,xxxx
145,",",",",",",","
146,with,with,IN,xxxx
147,record,record,JJ,xxxx
148,Invisalign,Invisalign,NNP,Xxxxx
149,volume,volume,NN,xxxx
150,in,in,IN,xx
151,almost,almost,RB,xxxx
152,every,every,DT,xxxx
153,geography,geography,NN,xxxx
154,"
","
",_SP,"
"
155,Q2,Q2,NNP,Xd
156,also,also,RB,xxxx
157,had,have,VBD,xxx
158,all,all,DT,xxx
159,-,-,HYPH,-
160,time,time,NN,xxxx
161,high,high,JJ,xxxx
162,of,of,IN,xx
163,nearly,nearly,RB,xxxx
164,"5,000","5,000",CD,"d,ddd"
165,newly,newly,RB,xxxx
166,trained,train,VBN,xxxx
167,doctors,doctor,NNS,xxxx
168,in,in,IN,xx
169,a,a,DT,x
170,quarter,quarter,NN,xxxx
171,for,for,IN,xxx
172,the,the,DT,xxx
173,first,first,JJ,xxxx
174,time,time,NN,xxxx
175,ever,ever,RB,xxxx
176,"
","
",_SP,"
"
177,And,and,CC,Xxx
178,our,-PRON-,PRP$,xxx
179,iTero,iTero,NNP,xXxxx
180,scanner,scanner,NN,xxxx
181,business,business,NN,xxxx
182,also,also,RB,xxxx
183,performed,perform,VBD,xxxx
184,well,well,RB,xxxx
185,this,this,DT,xxxx
186,quarter,quarter,NN,xxxx
187,with,with,IN,xxxx
188,revenues,revenue,NNS,xxxx
189,up,up,RB,xx
190,36.7,36.7,CD,dd.d
191,%,%,NN,%
192,year,year,NN,xxxx
193,-,-,HYPH,-
194,over,over,IN,xxxx
195,-,-,HYPH,-
196,year,year,NN,xxxx
197,"
","
",_SP,"
"
198,For,for,IN,Xxx
199,Q2,q2,NN,Xd
200,",",",",",",","
201,North,North,NNP,Xxxxx
202,American,American,NNP,Xxxxx
203,Invisalign,Invisalign,NNP,Xxxxx
204,case,case,NN,xxxx
205,volume,volume,NN,xxxx
206,was,be,VBD,xxx
207,up,up,RB,xx
208,10.3,10.3,CD,dd.d
209,%,%,NN,%
210,sequentially,sequentially,RB,xxxx
211,and,and,CC,xxx
212,27.6,27.6,CD,dd.d
213,%,%,NN,%
214,year,year,NN,xxxx
215,-,-,HYPH,-
216,over,over,IN,xxxx
217,-,-,HYPH,-
218,year,year,NN,xxxx
219,",",",",",",","
220,reflecting,reflect,VBG,xxxx
221,strong,strong,JJ,xxxx
222,year,year,NN,xxxx
223,-,-,HYPH,-
224,over,over,IN,xxxx
225,-,-,HYPH,-
226,year,year,NN,xxxx
227,growth,growth,NN,xxxx
228,from,from,IN,xxxx
229,both,both,DT,xxxx
230,orthodontists,orthodontist,NNS,xxxx
231,and,and,CC,xxx
232,GP,GP,NNP,XX
233,dentist,dentist,NN,xxxx
234,channels,channel,NNS,xxxx
235,"
","
",_SP,"
"
236,Continued,continue,VBN,Xxxxx
237,uptake,uptake,NN,xxxx
238,with,with,IN,xxxx
239,teens,teen,NNS,xxxx
240,drove,drive,VBD,xxxx
241,Invisalign,invisalign,JJ,Xxxxx
242,growth,growth,NN,xxxx
243,in,in,IN,xx
244,North,North,NNP,Xxxxx
245,America,America,NNP,Xxxxx
246,and,and,CC,xxx
247,contributed,contribute,VBD,xxxx
248,to,to,IN,xx
249,another,another,DT,xxxx
250,record,record,JJ,xxxx
251,quarter,quarter,NN,xxxx
252,for,for,IN,xxx
253,ortho,ortho,NNP,xxxx
254,volumes,volume,NNS,xxxx
255,",",",",",",","
256,up,up,RB,xx
257,34.5,34.5,CD,dd.d
258,%,%,NN,%
259,year,year,NN,xxxx
260,-,-,HYPH,-
261,over,over,IN,xxxx
262,-,-,HYPH,-
263,year,year,NN,xxxx
264,",",",",",",","
265,and,and,CC,xxx
266,an,an,DT,xx
267,utilization,utilization,NN,xxxx
268,up,up,IN,xx
269,to,to,IN,xx
270,13.6,13.6,CD,dd.d
271,cases,case,NNS,xxxx
272,per,per,IN,xxx
273,doctor,doctor,NN,xxxx
274,"
","
",_SP,"
"
275,Q2,q2,NN,Xd
276,volume,volume,NN,xxxx
277,for,for,IN,xxx
278,North,North,NNP,Xxxxx
279,America,America,NNP,Xxxxx
280,GP,GP,NNP,XX
281,dentist,dentist,NN,xxxx
282,increased,increase,VBD,xxxx
283,18.9,18.9,CD,dd.d
284,%,%,NN,%
285,year,year,NN,xxxx
286,-,-,HYPH,-
287,over,over,IN,xxxx
288,-,-,HYPH,-
289,year,year,NN,xxxx
290,",",",",",",","
291,primarily,primarily,RB,xxxx
292,reflecting,reflect,VBG,xxxx
293,continued,continue,VBN,xxxx
294,expansion,expansion,NN,xxxx
295,of,of,IN,xx
296,our,-PRON-,PRP$,xxx
297,GP,GP,NNP,XX
298,customer,customer,NN,xxxx
299,base,base,NN,xxxx
300,and,and,CC,xxx
301,utilization,utilization,NN,xxxx
302,growth,growth,NN,xxxx
303,",",",",",",","
304,which,which,WDT,xxxx
305,increased,increase,VBD,xxxx
306,to,to,IN,xx
307,a,a,DT,x
308,record,record,NN,xxxx
309,3.3,3.3,CD,d.d
310,cases,case,NNS,xxxx
311,per,per,IN,xxx
312,doctor,doctor,NN,xxxx
313,"
","
",_SP,"
"
314,Q2,Q2,NNP,Xd
315,was,be,VBD,xxx
316,the,the,DT,xxx
317,first,first,JJ,xxxx
318,quarter,quarter,NN,xxxx
319,we,-PRON-,PRP,xx
320,offered,offer,VBD,xxxx
