,Word,Lemma,POSTag,Shape
0,Thanks,thanks,UH,Xxxxx
1,",",",",",",","
2,Brent,Brent,NNP,Xxxxx
3,",",",",",",","
4,and,and,CC,xxx
5,good,good,JJ,xxxx
6,morning,morning,NN,xxxx
7,",",",",",",","
8,everyone,everyone,NN,xxxx
9,"
","
",_SP,"
"
10,Turning,turn,VBG,Xxxxx
11,to,to,TO,xx
12,slide,slide,VB,xxxx
13,8,8,CD,d
14,",",",",",",","
15,our,-PRON-,PRP$,xxx
16,performance,performance,NN,xxxx
17,this,this,DT,xxxx
18,quarter,quarter,NN,xxxx
19,reflects,reflect,VBZ,xxxx
20,strong,strong,JJ,xxxx
21,execution,execution,NN,xxxx
22,"
","
",_SP,"
"
23,In,in,IN,Xx
24,Medical,Medical,NNP,Xxxxx
25,Aesthetics,Aesthetics,NNPS,Xxxxx
26,",",",",",",","
27,we,-PRON-,PRP,xx
28,'re,be,VBP,'xx
29,making,make,VBG,xxxx
30,significant,significant,JJ,xxxx
31,investments,investment,NNS,xxxx
32,to,to,TO,xx
33,maximize,maximize,VB,xxxx
34,our,-PRON-,PRP$,xxx
35,leadership,leadership,NN,xxxx
36,position,position,NN,xxxx
37,",",",",",",","
38,sustain,sustain,VB,xxxx
39,our,-PRON-,PRP$,xxx
40,long,long,JJ,xxxx
41,-,-,HYPH,-
42,term,term,NN,xxxx
43,growth,growth,NN,xxxx
44,",",",",",",","
45,and,and,CC,xxx
46,expand,expand,VB,xxxx
47,the,the,DT,xxx
48,market,market,NN,xxxx
49,"
","
",_SP,"
"
50,The,the,DT,Xxx
51,long,long,JJ,xxxx
52,-,-,HYPH,-
53,term,term,NN,xxxx
54,prospects,prospect,NNS,xxxx
55,for,for,IN,xxx
56,this,this,DT,xxxx
57,business,business,NN,xxxx
58,are,be,VBP,xxx
59,excellent,excellent,JJ,xxxx
60,"
","
",_SP,"
"
61,In,in,IN,Xx
62,Eye,Eye,NNP,Xxx
63,Care,care,NN,Xxxx
64,",",",",",",","
65,we,-PRON-,PRP,xx
66,'re,be,VBP,'xx
67,maintaining,maintain,VBG,xxxx
68,our,-PRON-,PRP$,xxx
69,leadership,leadership,NN,xxxx
70,position,position,NN,xxxx
71,despite,despite,IN,xxxx
