,Sentences
0,"Thank you, Keri, and good morning, everyone"
1,I'm pleased to discuss our solid second quarter results and AmerisourceBergen's continued execution within a challenging market
2,Revenues were up 4% to $37.1 billion and adjusted diluted EPS grew 5% compared to previous fiscal year period
3,"There were three key drivers to note for our results this quarter: strong performance across our specialty businesses, good generics volumes growth, and strategic and disciplined management of operating expenses"
4,"As a result of this solid performance, we are pleased to be updating aspects of our fiscal year 2017 financial guidance, including tightening our adjusted diluted EPS range as we feel"
5,well-positioned moving into the second half of the fiscal year
6,I continue to be very proud of how AmerisourceBergen is successfully navigating and executing in today's healthcare environment
7,"That execution is driven by the daily contributions of our more than 19,000 associates, so I do want to take a moment to thank them for their dedication and diligence on behalf of our company and our customers"
8,These associates are the foundation of our compelling corporate culture and our success in making AmerisourceBergen a rewarding place to work
9,Multiple news organizations have again named AmerisourceBergen or one of our business units on their list of best places to work
10,"And DiversityInc recently named us as a 2017 Noteworthy Company, selecting us from a field of more than 1,000 firms evaluated"
11,"I believe and studies show that companies with diverse rewarding workplaces deliver better long-term results, so this is an important driver of company growth on many levels"
12,"Again, thank you to the AmerisourceBergen team for all that you do"
13,"Next, let me take a minute to talk about the U.S"
14,"pharmaceutical industry, where AmerisourceBergen has strategically focused its business"
15,"While there are challenges, the U.S"
16,pharmaceutical market remains well-positioned for the long term
17,"Key drivers for growth include an aging patient population, an improving U.S"
18,"economy, a robust pipeline of new anticipated brand drug launches, and an increasing focus on the relationship between value and outcomes"
19,"We see both resilience and continuing growth opportunities in pharmaceuticals and, importantly, we see a vital role for manufacturer and provider services to support the market expansion over time"
20,"So, against the backdrop of these market conditions and long-term opportunities, how do we view AmerisourceBergen's role within the broader healthcare landscape"
21,"We define that role with our company's new purpose statement, which I think is particularly important in today's environment"
22,"At AmerisourceBergen, we are united in our responsibility to create healthier futures"
23,Everything we do as a company ties back to this purpose
24,"When we provide services and solutions that improve product access, increase efficiency across the healthcare system, and enhance patient care, all that is done to fulfill our purpose"
25,"The value we bring to manufacturers, providers and, most importantly, to patients helps fulfill that responsibility to create healthier futures"
26,"Let's talk about how are we delivering on this responsibility and supporting the growth of our customers, while also creating value for our shareholders"
27,We believe there are four key differentiators that set AmerisourceBergen apart and have positioned us for growth
28,"First, we believe we have the best customer base in the business"
29,Our broad and diversified portfolio of growing customers across all our businesses performed well in the second quarter
30,We enjoy long-standing collaborative relationships with our anchor customers and they continue to be among the best positioned companies in the industry for long-term growth
31,"Walgreens Boots Alliance remains a strong and aligned partner, and we look forward to continuing to expand our relationships to deliver value"
32,We expect to add the AllianceRx Walgreens Prime business in June of this year
33,"Although, the profit contribution will be immaterial this fiscal year and we continue to be optimistic about the future addition of Rite Aid, we are also seeing impressive growth across all other key customers, several large community oncology practices and MWI's largest customers"
34,"Additionally, as recently announced, we entered into a five-year strategic contract with Express Scripts for their brand business through 2022."
35,This is a key win for AmerisourceBergen and an illustration of the strong relationships we're able to build with our customers
36,"For the past five years, we worked hard to be the best possible partner and provide the highest levels of service and value to the Express Scripts team"
37,We are proud that those efforts resulted in a new long-term contract agreement and we are excited to continue to collaborate with Express as a distribution service partner of choice
38,"In the last year, our Drug Corporation has also discussed two important customer initiatives and we are making progress on both"
39,"First, our efforts to improve compliance and expand our share of wallet within our existing customer base are yielding results and helping us to grow our generics volumes"
40,We've sharpened our focus on reducing leakage and on providing our customers with the tools they need to realize the greatest business benefit of buying within their Prime Vendor Agreement
41,"For example, our investments in Good Neighbor Pharmacy member services are helping to optimize front-end sales"
42,"We are providing access to business coaching, manufacturer promotions and new reporting tools that incorporate point of sales data"
43,GNP also entered into a five-year partnership with the National Community Pharmacists Association to produce a series of educational seminars for members
44,Early response to those services has been extremely positive
45,We've had 50% growth in the past 12 months across our GNP premier level membership
46,"Second, we are making progress with our Drug Corporation customers on our effort to rebalance our contracts and specialty pricing strategies to better reflect changing market trends and shifts in product mix"
47,This rebalancing effort is one we've embarked on over a year ago
48,and we have made significant progress
49,Our customers understand the value this restructuring brings in and we continue to establish mutually beneficial adjustments
50,"Throughout AmerisourceBergen, we have the strongest customer base in the industry"
51,"We bring the philosophy to be innovative, integrated and indispensable to our customers"
52,"We are proud to offer the most advanced and business critical services and solutions to help our customers most efficiently navigate the reimbursement landscape and actively support their growth, especially in a tough healthcare environment"
53,The strength of our business is reinforced by the high quality of our customers and our ability to develop these long-term collaborative partnerships
54,"Working together to advance and enhance patient care, it is always our goal to create customers for life"
55,"Our second differentiator is our leadership position in specialty, which puts AmerisourceBergen at the forefront of a rapidly growing market segment"
56,We are very proud of our long-standing leadership in specialty
57,"I should note that when we refer to our leadership here, it includes our market leading position in full-line distribution within our drug company, specialty distribution through our ABSG business and our service offerings to specialty manufacturers ranging from pre to post commercialization support"
58,AmerisourceBergen has a history of strategic investment and leadership in specialty
59,"And in the second quarter, we continued to grow our footprint and capabilities"
60,"We are pleased to see continued growth of specialty products available through full-line distribution, affirming the value and efficiency of the Prime Vendor model with many products for customers across multiple sites of care including hospital, health system and community pharmacies"
61,"For example, we are seeing strong growth in hospital and health systems use of biosimilar that recently became available in full-line distribution"
62,"In the second quarter, our ABSG specialty distribution businesses delivered very strong results with revenue growing double-digits year-over-year"
63,This is the 13th consecutive quarter with that level of growth for this business
