,Word,Lemma,POSTag,Shape
0,Thanks,thank,NNS,Xxxxx
1,",",",",",",","
2,Steve,Steve,NNP,Xxxxx
3,",",",",",",","
4,and,and,CC,xxx
5,good,good,JJ,xxxx
6,morning,morning,NN,xxxx
7,",",",",",",","
8,everyone,everyone,NN,xxxx
9,"
","
",_SP,"
"
10,We,-PRON-,PRP,Xx
11,are,be,VBP,xxx
12,now,now,RB,xxx
13,in,in,IN,xx
14,the,the,DT,xxx
15,home,home,NN,xxxx
16,stretch,stretch,NN,xxxx
17,of,of,IN,xx
18,our,-PRON-,PRP$,xxx
19,fiscal,fiscal,JJ,xxxx
20,year,year,NN,xxxx
21,2017,2017,CD,dddd
22,",",",",",",","
23,and,and,CC,xxx
24,considering,consider,VBG,xxxx
25,the,the,DT,xxx
26,healthcare,healthcare,NN,xxxx
27,environment,environment,NN,xxxx
28,that,that,WDT,xxxx
29,we,-PRON-,PRP,xx
30,operate,operate,VBP,xxxx
31,in,in,RP,xx
32,",",",",",",","
33,we,-PRON-,PRP,xx
34,are,be,VBP,xxx
35,pleased,pleased,JJ,xxxx
36,with,with,IN,xxxx
37,our,-PRON-,PRP$,xxx
38,results,result,NNS,xxxx
39,after,after,IN,xxxx
40,nine,nine,CD,xxxx
41,months,month,NNS,xxxx
42,"
","
",_SP,"
"
43,This,this,DT,Xxxx
44,morning,morning,NN,xxxx
45,",",",",",",","
46,I,-PRON-,PRP,X
47,'ll,will,MD,'xx
48,provide,provide,VB,xxxx
49,a,a,DT,x
50,detailed,detailed,JJ,xxxx
51,review,review,NN,xxxx
52,of,of,IN,xx
53,our,-PRON-,PRP$,xxx
54,third,third,JJ,xxxx
55,quarter,quarter,NN,xxxx
56,financial,financial,JJ,xxxx
57,results,result,NNS,xxxx
58,",",",",",",","
59,an,an,DT,xx
60,update,update,NN,xxxx
61,on,on,IN,xx
62,our,-PRON-,PRP$,xxx
63,full,full,JJ,xxxx
64,year,year,NN,xxxx
65,2017,2017,CD,dddd
66,outlook,outlook,NN,xxxx
67,",",",",",",","
68,and,and,CC,xxx
69,then,then,RB,xxxx
70,make,make,VB,xxxx
71,some,some,DT,xxxx
72,high,high,JJ,xxxx
73,-,-,HYPH,-
74,level,level,NN,xxxx
75,comments,comment,NNS,xxxx
76,around,around,IN,xxxx
77,our,-PRON-,PRP$,xxx
78,thoughts,thought,NNS,xxxx
79,for,for,IN,xxx
80,fiscal,fiscal,JJ,xxxx
81,2018,2018,CD,dddd
82,.,.,.,.
83,We,-PRON-,PRP,Xx
84,finished,finish,VBD,xxxx
85,slightly,slightly,RB,xxxx
86,better,well,JJR,xxxx
87,than,than,IN,xxxx
88,expected,expect,VBN,xxxx
89,in,in,IN,xx
90,the,the,DT,xxx
91,third,third,JJ,xxxx
92,quarter,quarter,NN,xxxx
93,",",",",",",","
94,with,with,IN,xxxx
95,adjusted,adjust,VBN,xxxx
96,diluted,diluted,NNP,xxxx
97,EPS,EPS,NNP,XXX
98,at,at,IN,xx
99,$,$,$,$
100,1.43,1.43,CD,d.dd
101,",",",",",",","
102,an,an,DT,xx
103,increase,increase,NN,xxxx
104,of,of,IN,xx
105,4,4,CD,d
106,%,%,NN,%
107,"
","
",_SP,"
"
108,Despite,despite,IN,Xxxxx
109,some,some,DT,xxxx
110,challenges,challenge,NNS,xxxx
111,in,in,IN,xx
112,operating,operate,VBG,xxxx
113,income,income,NN,xxxx
114,in,in,IN,xx
115,our,-PRON-,PRP$,xxx
116,Pharmaceutical,Pharmaceutical,NNP,Xxxxx
117,Distribution,Distribution,NNP,Xxxxx
118,Services,Services,NNPS,Xxxxx
119,segment,segment,NN,xxxx
120,",",",",",",","
121,we,-PRON-,PRP,xx
122,are,be,VBP,xxx
123,able,able,JJ,xxxx
124,to,to,TO,xx
125,overcome,overcome,VB,xxxx
126,these,these,DT,xxxx
127,headwinds,headwind,NNS,xxxx
128,and,and,CC,xxx
129,still,still,RB,xxxx
130,grow,grow,VB,xxxx
131,our,-PRON-,PRP$,xxx
132,adjusted,adjust,VBN,xxxx
133,EPS,EPS,NNP,XXX
134,"
","
",_SP,"
"
135,I,-PRON-,PRP,X
136,will,will,MD,xxxx
137,review,review,VB,xxxx
138,the,the,DT,xxx
139,segments,segment,NNS,xxxx
140,a,a,DT,x
141,little,little,JJ,xxxx
142,later,later,RB,xxxx
143,"
","
",_SP,"
"
144,Let,let,VB,Xxx
145,'s,-PRON-,PRP,'x
146,begin,begin,VB,xxxx
147,with,with,IN,xxxx
148,our,-PRON-,PRP$,xxx
149,consolidated,consolidated,JJ,xxxx
150,results,result,NNS,xxxx
151,"
","
",_SP,"
"
152,ABC,ABC,NNP,XXX
153,revenues,revenue,NNS,xxxx
154,were,be,VBD,xxxx
155,$,$,$,$
156,38.7,38.7,CD,dd.d
157,billion,billion,CD,xxxx
158,",",",",",",","
159,up,up,RB,xx
160,5,5,CD,d
161,%,%,NN,%
162,",",",",",",","
163,helped,help,VBN,xxxx
164,by,by,IN,xx
165,solid,solid,JJ,xxxx
166,unit,unit,NN,xxxx
167,volume,volume,NN,xxxx
168,growth,growth,NN,xxxx
169,across,across,IN,xxxx
170,several,several,JJ,xxxx
171,of,of,IN,xx
172,our,-PRON-,PRP$,xxx
173,businesses,business,NNS,xxxx
174,"
","
",_SP,"
"
175,As,as,IN,Xx
176,discussed,discuss,VBN,xxxx
177,in,in,IN,xx
178,prior,prior,JJ,xxxx
179,quarters,quarter,NNS,xxxx
180,",",",",",",","
181,we,-PRON-,PRP,xx
182,again,again,RB,xxxx
183,experienced,experience,VBD,xxxx
184,a,a,DT,x
185,decline,decline,NN,xxxx
186,in,in,IN,xx
187,year,year,NN,xxxx
188,-,-,HYPH,-
189,over,over,IN,xxxx
190,-,-,HYPH,-
191,year,year,NN,xxxx
192,hepatitis,hepatitis,NN,xxxx
193,C,C,NNP,X
194,revenues,revenue,NNS,xxxx
195,of,of,IN,xx
196,about,about,RB,xxxx
197,20,20,CD,dd
198,%,%,NN,%
199,",",",",",",","
200,causing,cause,VBG,xxxx
201,a,a,DT,x
202,drag,drag,NN,xxxx
203,on,on,IN,xx
204,our,-PRON-,PRP$,xxx
205,quarterly,quarterly,JJ,xxxx
206,growth,growth,NN,xxxx
207,rate,rate,NN,xxxx
208,of,of,IN,xx
209,about,about,RB,xxxx
210,120,120,CD,ddd
211,basis,basis,NN,xxxx
212,points,point,NNS,xxxx
213,"
","
",_SP,"
"
214,The,the,DT,Xxx
215,quarter,quarter,NN,xxxx
216,'s,'s,POS,'x
217,adjusted,adjust,VBN,xxxx
218,gross,gross,JJ,xxxx
219,profit,profit,NN,xxxx
220,was,be,VBD,xxx
221,down,down,RB,xxxx
222,by,by,IN,xx
223,about,about,RB,xxxx
224,1,1,CD,d
225,%,%,NN,%
226,to,to,IN,xx
227,just,just,RB,xxxx
228,under,under,IN,xxxx
229,$,$,$,$
230,1.1,1.1,CD,d.d
231,billion,billion,CD,xxxx
232,"
","
",_SP,"
"
233,Our,-PRON-,PRP$,Xxx
234,Other,other,JJ,Xxxxx
235,segment,segment,NN,xxxx
236,",",",",",",","
237,which,which,WDT,xxxx
238,consists,consist,VBZ,xxxx
239,of,of,IN,xx
240,global,global,JJ,xxxx
241,commercialization,commercialization,NN,xxxx
242,services,service,NNS,xxxx
243,and,and,CC,xxx
244,animal,animal,NN,xxxx
245,health,health,NN,xxxx
246,",",",",",",","
247,continued,continue,VBD,xxxx
248,with,with,IN,xxxx
249,its,-PRON-,PRP$,xxx
250,excellent,excellent,JJ,xxxx
251,growth,growth,NN,xxxx
252,"
","
",_SP,"
"
253,But,but,CC,Xxx
254,this,this,DT,xxxx
255,segment,segment,NN,xxxx
256,currently,currently,RB,xxxx
257,offsets,offset,VBZ,xxxx
258,the,the,DT,xxx
259,gross,gross,JJ,xxxx
260,profit,profit,NN,xxxx
261,decline,decline,NN,xxxx
262,in,in,IN,xx
263,our,-PRON-,PRP$,xxx
264,Pharmaceutical,Pharmaceutical,NNP,Xxxxx
265,Distribution,Distribution,NNP,Xxxxx
266,segment,segment,NN,xxxx
267,"
","
",_SP,"
"
268,Operating,operating,NN,Xxxxx
269,expenses,expense,NNS,xxxx
270,",",",",",",","
271,we,-PRON-,PRP,xx
272,continue,continue,VBP,xxxx
273,to,to,TO,xx
274,be,be,VB,xx
275,laser,laser,NN,xxxx
276,-,-,HYPH,-
277,focused,focus,VBN,xxxx
278,on,on,IN,xx
279,spending,spending,NN,xxxx
280,in,in,IN,xx
281,the,the,DT,xxx
282,right,right,JJ,xxxx
283,areas,area,NNS,xxxx
284,and,and,CC,xxx
285,leveraging,leverage,VBG,xxxx
286,our,-PRON-,PRP$,xxx
287,infrastructure,infrastructure,NN,xxxx
288,"
","
",_SP,"
"
289,Overall,overall,RB,Xxxxx
290,",",",",",",","
291,our,-PRON-,PRP$,xxx
292,OpEx,OpEx,NNP,XxXx
293,was,be,VBD,xxx
294,up,up,RB,xx
295,about,about,RB,xxxx
296,2,2,CD,d
297,%,%,NN,%
298,"
","
",_SP,"
"
299,On,on,IN,Xx
300,a,a,DT,x
301,year,year,NN,xxxx
302,-,-,HYPH,-
303,to,to,IN,xx
304,-,-,HYPH,-
305,date,date,NN,xxxx
306,basis,basis,NN,xxxx
307,",",",",",",","
308,our,-PRON-,PRP$,xxx
309,positive,positive,JJ,xxxx
310,expense,expense,NN,xxxx
311,trends,trend,NNS,xxxx
312,have,have,VBP,xxxx
313,in,in,IN,xx
314,part,part,NN,xxxx
315,been,be,VBN,xxxx
316,related,relate,VBN,xxxx
317,to,to,IN,xx
318,effectively,effectively,RB,xxxx
319,managing,manage,VBG,xxxx
320,the,the,DT,xxx
321,opening,opening,NN,xxxx
322,days,day,NNS,xxxx
323,of,of,IN,xx
324,several,several,JJ,xxxx
325,new,new,JJ,xxx
326,distribution,distribution,NN,xxxx
327,centers,center,NNS,xxxx
328,"
","
",_SP,"
"
329,As,as,IN,Xx
330,Steve,Steve,NNP,Xxxxx
331,mentioned,mention,VBD,xxxx
332,",",",",",",","
333,it,-PRON-,PRP,xx
334,was,be,VBD,xxx
335,impractical,impractical,JJ,xxxx
336,to,to,TO,xx
337,delay,delay,VB,xxxx
338,the,the,DT,xxx
339,openings,opening,NNS,xxxx
340,any,any,RB,xxx
341,longer,longer,RBR,xxxx
342,and,and,CC,xxx
343,we,-PRON-,PRP,xx
344,'ve,have,VB,'xx
345,now,now,RB,xxx
346,opened,open,VBN,xxxx
347,four,four,CD,xxxx
348,state,state,NN,xxxx
349,-,-,HYPH,-
350,of,of,IN,xx
351,-,-,HYPH,-
352,the,the,DT,xxx
353,-,-,HYPH,-
354,art,art,NN,xxx
355,DC,DC,NNP,XX
356,this,this,DT,xxxx
357,year,year,NN,xxxx
358,"
","
",_SP,"
"
359,The,the,DT,Xxx
360,uptick,uptick,NN,xxxx
361,in,in,IN,xx
362,our,-PRON-,PRP$,xxx
363,third,third,JJ,xxxx
364,quarter,quarter,NN,xxxx
365,operating,operating,NN,xxxx
366,expenses,expense,NNS,xxxx
367,",",",",",",","
368,including,include,VBG,xxxx
369,depreciation,depreciation,NN,xxxx
370,",",",",",",","
371,is,be,VBZ,xx
372,primarily,primarily,RB,xxxx
373,the,the,DT,xxx
374,result,result,NN,xxxx
375,of,of,IN,xx
376,these,these,DT,xxxx
377,openings,opening,NNS,xxxx
378,"
","
",_SP,"
"
379,We,-PRON-,PRP,Xx
380,will,will,MD,xxxx
381,open,open,VB,xxxx
382,one,one,CD,xxx
383,more,more,JJR,xxxx
384,DC,DC,NNP,XX
385,in,in,IN,xx
386,Q4,Q4,NNP,Xd
387,and,and,CC,xxx
388,the,the,DT,xxx
389,last,last,JJ,xxxx
390,two,two,CD,xxx
391,new,new,JJ,xxx
392,DCs,dc,NNS,XXx
393,will,will,MD,xxxx
394,open,open,VB,xxxx
395,in,in,IN,xx
396,early,early,JJ,xxxx
397,fiscal,fiscal,JJ,xxxx
398,2018,2018,CD,dddd
399,.,.,.,.
400,Operating,operate,VBG,Xxxxx
401,income,income,NN,xxxx
402,",",",",",",","
403,our,-PRON-,PRP$,xxx
404,adjusted,adjust,VBN,xxxx
405,operating,operating,NN,xxxx
406,income,income,NN,xxxx
407,was,be,VBD,xxx
408,$,$,$,$
409,471,471,CD,ddd
410,million,million,CD,xxxx
411,",",",",",",","
412,down,down,RB,xxxx
413,about,about,RB,xxxx
414,5,5,CD,d
415,%,%,NN,%
416,",",",",",",","
417,with,with,IN,xxxx
418,operating,operating,NN,xxxx
419,margins,margin,NNS,xxxx
420,down,down,RB,xxxx
