,Word,Lemma,POSTag,Shape
0,Thank,thank,VBP,Xxxxx
1,you,-PRON-,PRP,xxx
2,",",",",",",","
3,David,David,NNP,Xxxxx
4,",",",",",",","
5,and,and,CC,xxx
6,good,good,JJ,xxxx
7,afternoon,afternoon,NN,xxxx
8,folks,folk,NNS,xxxx
9,"
","
",_SP,"
"
10,You,-PRON-,PRP,Xxx
11,'ll,will,MD,'xx
12,find,find,VB,xxxx
13,the,the,DT,xxx
14,details,detail,NNS,xxxx
15,of,of,IN,xx
16,revenue,revenue,NN,xxxx
17,starting,start,VBG,xxxx
18,on,on,IN,xx
19,slide,slide,NN,xxxx
20,number,number,NN,xxxx
21,10,10,CD,dd
22,of,of,IN,xx
23,your,-PRON-,PRP$,xxxx
24,deck,deck,NN,xxxx
25,"
","
",_SP,"
"
26,Strong,strong,JJ,Xxxxx
27,and,and,CC,xxx
28,continued,continued,JJ,xxxx
29,volume,volume,NN,xxxx
30,growth,growth,NN,xxxx
31,by,by,IN,xx
32,Prolia,Prolia,NNP,Xxxxx
33,and,and,CC,xxx
34,our,-PRON-,PRP$,xxx
35,more,more,RBR,xxxx
36,recently,recently,RB,xxxx
37,launched,launch,VBN,xxxx
38,brands,brand,NNS,xxxx
39,like,like,IN,xxxx
40,Repatha,Repatha,NNP,Xxxxx
41,",",",",",",","
42,KYPROLIS,KYPROLIS,NNP,XXXX
43,and,and,CC,xxx
44,BLINCYTO,BLINCYTO,NNP,XXXX
45,helped,help,VBD,xxxx
46,offset,offset,VB,xxxx
47,declines,decline,NNS,xxxx
48,in,in,IN,xx
49,our,-PRON-,PRP$,xxx
50,mature,mature,JJ,xxxx
51,brands,brand,NNS,xxxx
52,"
","
",_SP,"
"
53,Excluding,exclude,VBG,Xxxxx
54,the,the,DT,xxx
55,impact,impact,NN,xxxx
56,of,of,IN,xx
57,foreign,foreign,JJ,xxxx
58,exchange,exchange,NN,xxxx
59,",",",",",",","
60,sales,sale,NNS,xxxx
61,growth,growth,NN,xxxx
62,was,be,VBD,xxx
63,flat,flat,JJ,xxxx
64,year,year,NN,xxxx
65,-,-,HYPH,-
66,over,over,IN,xxxx
67,-,-,HYPH,-
68,year,year,NN,xxxx
69,as,as,IN,xx
70,reported,report,VBN,xxxx
71,sales,sale,NNS,xxxx
72,declined,decline,VBD,xxxx
73,1,1,CD,d
74,%,%,NN,%
75,"
","
",_SP,"
"
76,declined,decline,VBD,xxxx
77,2,2,CD,d
78,%,%,NN,%
79,year,year,NN,xxxx
80,-,-,HYPH,-
81,over,over,IN,xxxx
82,-,-,HYPH,-
83,year,year,NN,xxxx
84,",",",",",",","
85,and,and,CC,xxx
86,sales,sale,NNS,xxxx
87,outside,outside,IN,xxxx
88,the,the,DT,xxx
89,U.S,U.S,NNP,X.X
90,"
","
",_SP,"
"
91,grew,grow,VBD,xxxx
92,5,5,CD,d
93,%,%,NN,%
94,",",",",",",","
95,excluding,exclude,VBG,xxxx
96,the,the,DT,xxx
97,impact,impact,NN,xxxx
98,of,of,IN,xx
99,foreign,foreign,JJ,xxxx
100,exchange,exchange,NN,xxxx
101,",",",",",",","
102,driven,drive,VBN,xxxx
103,by,by,IN,xx
104,a,a,DT,x
105,robust,robust,JJ,xxxx
106,8,8,CD,d
107,%,%,NN,%
108,volume,volume,NN,xxxx
109,growth,growth,NN,xxxx
110,"
","
",_SP,"
"
111,Let,let,VB,Xxx
112,me,-PRON-,PRP,xx
113,start,start,VB,xxxx
114,with,with,IN,xxxx
115,Prolia,Prolia,NNP,Xxxxx
116,"
","
",_SP,"
"
117,Prolia,Prolia,NNP,Xxxxx
118,continues,continue,VBZ,xxxx
119,to,to,TO,xx
120,deliver,deliver,VB,xxxx
121,exceptional,exceptional,JJ,xxxx
122,performance,performance,NN,xxxx
123,after,after,IN,xxxx
124,being,be,VBG,xxxx
125,on,on,IN,xx
126,the,the,DT,xxx
127,market,market,NN,xxxx
128,for,for,IN,xxx
129,over,over,IN,xxxx
130,seven,seven,CD,xxxx
131,years,year,NNS,xxxx
132,"
","
",_SP,"
"
133,Prolia,Prolia,NNP,Xxxxx
