,Sentences
0,"Thanks, Joe"
1,"In the Government Business, we added an additional 109,000 members during the quarter, bringing the total 2016 enrollment increase to 614,000 members, representing 6.9% versus year-end 2015."
2,"The enrollment growth and pricing increases translate into 2016 Government Business operating revenue of $45.5 billion, a growth of 11.4% versus 2015."
3,"Operating margins for the Government Business was 3.9% in 2016, a decline of 90 basis points compared to the prior year, driven by lower gross margins in the Medicaid business"
4,"As we communicated previously, we expected Medicaid margins to compress from 2015 levels due to rate actions impacting 2016."
5,"In addition, we experienced higher-than-expected claims across Medicaid business in the current year, including materially higher-than-expected cost in the recently implemented Iowa contract"
6,Operating margins in the fourth quarter of 4.5% were higher than expected due to the retroactive change in the minimum MLR calculation under California's Medicaid expansion business
7,we discussed earlier
8,"Importantly, core medical cost trends during the quarter were relatively in line with our most recent expectations"
9,"The pipeline of opportunity for our Medicaid business remains substantial, with approximately three-fourths of the pipeline in new and specialized services, and the remainder in traditional Medicaid services"
10,"We continue to believe our Medicaid asset and geographic footprint is very well positioned to capitalize on these growth opportunities over the next five years, as we continuously demonstrate that we are part of the solution to addressing the challenges of rising healthcare cost for our state partners' constituents while improving quality"
11,"Within Medicare, we are pleased with the progress the team continues to make, as our 2016 margins reflected improvement versus 2015."
12,The improvement is a direct result of investments made in our Medicare business over the past three years
13,"We have now positioned our portfolio to grow MA in 2017, which we will discuss in more detail when we turn to our 2017 outlook"
14,"Switching to our Commercial business, our enrollment came in better than expected, growing by over 700,000 members during 2016 to 30.4 million members, representing growth of 2.4%"
15,"This growth translated into better-than-expected operating revenue of $38.7 billion during the year, an increase of $1.1 billion, or 3%, compared to 2015."
16,"Our 2016 operating margin of 8.3% compared to 7.6% in 2015, an improvement of 70 basis points"
17,"Commercial operating margins during the year reflected a lower SG&A ratio due to lower administrative cost resulting from expense efficiency initiatives, as well as fixed cost leveraging on a growing membership base"
18,"In addition, operating margins benefited from membership growth and our self-funded product offerings, which carry a higher-than-average operating margin"
19,"These increases were offset by operating margin losses in our individual ACA-compliant business, driven by higher-than-expected medical cost experience, as we have discussed previously"
20,"Within our ACA-compliant plans, our performance during the fourth quarter was generally in line with previous expectations"
21,We continue to experience higher-than-expected costs from members with chronic conditions
22,"Next, I'd like to discuss the balance sheet"
23,"Consistent with our past practice, we have included a roll forward of our medical claims payable balance in this morning's press release"
24,"For the full-year 2016, we experienced favorable prior-year reserve development of $850 million, which was moderately better than our expectations"
25,"Our reserves continue to include a provision for adverse deviation in the mid to high-single digits, and we believe our reserve balances remain consistent and strong as of December 31, 2016."
26,"Our days in claims payable was 41.3 days as of the end of the year, an increase of 0.7 days from the 40.6 days we reported last quarter"
27,"Our debt to cap ratio was 38.5% as of December 31, lower by 20 basis points from the 38.7% at the end of the third quarter, which reflects the impact of an increase in shareholders' equity as we did not repurchase any stocks during the quarter"
28,"We ended the fourth quarter with approximately $1.4 billion of cash and investments at the parent company, which was impacted by the timing of changes in intercompany funding arrangements, and the settlement of intercompany receivables"
29,"Adjusted for the timing impact of these changes, cash and investments at the parent company would have totaled approximately $3.3 billion, as of December 31, 2016."
30,Our investment portfolio was in unrealized gain position of approximately $568 million as of the end of the quarter
31,"For the 3Rs, we continue to book reinsurance as appropriate and we continue to reflect a net receivable position for risk adjustors"
32,"As we have consistently done since 2014, we have continued our conservative posture of recording a 100% valuation allowance against any unpaid receivables for the 2014, 2015, and 2016 benefit years for risk corridors"
33,Our reported earnings have never benefited from the amounts we are due under the U.S
34,corridor program
35,"Now, moving on to cash flow"
36,"For the full-year 2016, we reported operating cash flow of approximately $3.2 billion, or 1.3 times net income, which was stronger than expected and reflects the quality of our earnings"
37,Cash flow in the quarter totaled $275 million
38,"As a reminder, our third quarter operating cash flow included the favorable timing of an extra CMS payment, which had an offsetting impact in our fourth quarter operating cash flow"
39,We also used $171 million during the quarter for our cash dividend
40,"With that, I will turn the call back over to Joe to discuss our 2017 outlook, and provide some incremental commentary on earnings expectations beyond 2017."
41,Joe?
42,"Yeah, thank you, Kevin"
43,"In terms of the high-single digit, low-double digit, that was on an EPS basis, so that would include a little bit of capital deployment associated with that on a long-term basis"
44,"Associated with the second part of your question, the Medicare, we've done extremely well over the past few years trying to get that platform fixed and get it corrected"
45,"And we're very close to target margins in that block of business right now, albeit at a lower membership level than we would like to have on a long-term basis"
46,We think that there is some significant opportunities for growing the top-line and maintaining those target margins
47,"On the Medicaid, it's a mixed bag"
48,"The Medicaid expansion, we've done extraordinarily well, and we've actually been earning above target margins"
49,"And that's one of the headwinds we have going into 2017, is the pricing associated with the Medicaid expansion book of business coming back down into target margin levels"
50,"And then on the Commercial, we think there's a lot of opportunities associated with wallet share, doing a better job of penetrating our large group ASO block of business, as well as trying to retain and maintain our ACA-compliant and non-ACA compliant Small Group books of business"
51,"So it's not a simple question, but we think we're very well positioned for growth, but we're doing pretty well right now"
52,"Yeah, sure, thank you, Joe"
53,"And then, Josh, on the other question on the HIF holiday, as we had indicated in our prepared comments, that makes many of our metrics non-comparable on a reported basis year over year"
54,"I would look at it this way, in 2016, the amount of health insurer fee that Anthem is going to be required to pay, and is expensed, is approximately $1.2 billion"
55,And we've had a very cognizant approach to try to ensure that our pricing associated with that maintained a constant EPS number
56,"So we're pricing for the fee, the tax gross-up, and the non-deductibility of that again and again, so you can sort of then calculate the impacts"
57,"Once you go through that, you'll see that the MLR ratio, year over year, it is going up nominally, really not much at all"
58,The single biggest driver by far is the fee
59,"The G&A ratio is coming down a bit, but the single biggest driver of it coming down â€"
60,"“ the magnitude's coming down, is the fee"
61,"And then you also have to realize that in the competitive environment that we work in, occasionally there can be some fungibility associated with the pricing and how much it's fee versus other things"
62,As well as that in the Medicare Advantage area that we've taken the waiver of the fee and we've baked it into product design and benefits to the customer so that the members actually enjoy that
63,"So a lot of moving parts, but the vast majority of our reported movement is the fee"
64,"Yeah, Ana, thank you for the inquiry"
65,In terms of â€
66,“ I'll answer the second part first
67,"The renewal was due on July 1, and that's when we would expect to obtain actuarially justified rates associated with Iowa"
68,We are still negotiating with the State of Iowa in terms of the rates
69,"So it's premature to provide a specific point estimate or data element on that, other than to say that we're requesting actuarially justified rates"
70,"In terms of 2016, as we had stated, I think in the second quarter call that the expense â€“ the medical loss ratio is a good 20 percentage points higher than we expected"
71,"It did come down a bit over the rest of the year, in some of our medical management initiatives and some of our other cost of care initiatives went into place, but it still ended up at a loss in the 10 to 15 percentage points higher than we would have expected, based on that block of business"
72,"So Christine, let me answer your question on enrollment, and then I know Joe has some commentary on the second part of your question"
73,"In terms of the enrollment, even though open enrollment ended last night, that only provides us one portion of the equation, and that's the applications, and we monitor that very closely"
