,Word,Lemma,POSTag,Shape
0,Thanks,thank,NNS,Xxxxx
1,",",",",",",","
2,Joe,Joe,NNP,Xxx
3,"
","
",_SP,"
"
4,In,in,IN,Xx
5,the,the,DT,xxx
6,Government,Government,NNP,Xxxxx
7,Business,Business,NNP,Xxxxx
8,",",",",",",","
9,we,-PRON-,PRP,xx
10,added,add,VBD,xxxx
11,an,an,DT,xx
12,additional,additional,JJ,xxxx
13,"109,000","109,000",CD,"ddd,ddd"
14,members,member,NNS,xxxx
15,during,during,IN,xxxx
16,the,the,DT,xxx
17,quarter,quarter,NN,xxxx
18,",",",",",",","
19,bringing,bring,VBG,xxxx
20,the,the,DT,xxx
21,total,total,JJ,xxxx
22,2016,2016,CD,dddd
23,enrollment,enrollment,NN,xxxx
24,increase,increase,NN,xxxx
25,to,to,IN,xx
26,"614,000","614,000",CD,"ddd,ddd"
27,members,member,NNS,xxxx
28,",",",",",",","
29,representing,represent,VBG,xxxx
30,6.9,6.9,CD,d.d
31,%,%,NN,%
32,versus,versus,IN,xxxx
33,year,year,NN,xxxx
34,-,-,HYPH,-
35,end,end,NN,xxx
36,2015,2015,CD,dddd
37,.,.,.,.
38,The,the,DT,Xxx
39,enrollment,enrollment,NN,xxxx
40,growth,growth,NN,xxxx
41,and,and,CC,xxx
42,pricing,pricing,NN,xxxx
43,increases,increase,NNS,xxxx
44,translate,translate,VBP,xxxx
45,into,into,IN,xxxx
46,2016,2016,CD,dddd
47,Government,Government,NNP,Xxxxx
48,Business,Business,NNP,Xxxxx
49,operating,operate,VBG,xxxx
50,revenue,revenue,NN,xxxx
51,of,of,IN,xx
52,$,$,$,$
53,45.5,45.5,CD,dd.d
54,billion,billion,CD,xxxx
55,",",",",",",","
56,a,a,DT,x
57,growth,growth,NN,xxxx
58,of,of,IN,xx
59,11.4,11.4,CD,dd.d
60,%,%,NN,%
61,versus,versus,IN,xxxx
62,2015,2015,CD,dddd
63,.,.,.,.
64,Operating,operate,VBG,Xxxxx
65,margins,margin,NNS,xxxx
66,for,for,IN,xxx
67,the,the,DT,xxx
68,Government,Government,NNP,Xxxxx
69,Business,Business,NNP,Xxxxx
70,was,be,VBD,xxx
71,3.9,3.9,CD,d.d
72,%,%,NN,%
73,in,in,IN,xx
74,2016,2016,CD,dddd
75,",",",",",",","
76,a,a,DT,x
77,decline,decline,NN,xxxx
78,of,of,IN,xx
79,90,90,CD,dd
80,basis,basis,NN,xxxx
81,points,point,NNS,xxxx
82,compared,compare,VBN,xxxx
83,to,to,IN,xx
84,the,the,DT,xxx
85,prior,prior,JJ,xxxx
86,year,year,NN,xxxx
87,",",",",",",","
88,driven,drive,VBN,xxxx
89,by,by,IN,xx
90,lower,low,JJR,xxxx
91,gross,gross,JJ,xxxx
92,margins,margin,NNS,xxxx
93,in,in,IN,xx
94,the,the,DT,xxx
95,Medicaid,Medicaid,NNP,Xxxxx
96,business,business,NN,xxxx
97,"
","
",_SP,"
"
98,As,as,IN,Xx
99,we,-PRON-,PRP,xx
100,communicated,communicate,VBD,xxxx
101,previously,previously,RB,xxxx
102,",",",",",",","
103,we,-PRON-,PRP,xx
104,expected,expect,VBD,xxxx
105,Medicaid,Medicaid,NNP,Xxxxx
106,margins,margin,NNS,xxxx
107,to,to,TO,xx
108,compress,compress,VB,xxxx
109,from,from,IN,xxxx
110,2015,2015,CD,dddd
111,levels,level,NNS,xxxx
112,due,due,JJ,xxx
113,to,to,IN,xx
114,rate,rate,NN,xxxx
115,actions,action,NNS,xxxx
116,impacting,impact,VBG,xxxx
117,2016,2016,CD,dddd
118,.,.,.,.
119,In,in,IN,Xx
120,addition,addition,NN,xxxx
121,",",",",",",","
122,we,-PRON-,PRP,xx
123,experienced,experience,VBD,xxxx
124,higher,high,JJR,xxxx
125,-,-,HYPH,-
126,than,than,IN,xxxx
127,-,-,HYPH,-
128,expected,expect,VBN,xxxx
129,claims,claim,NNS,xxxx
130,across,across,IN,xxxx
131,Medicaid,Medicaid,NNP,Xxxxx
132,business,business,NN,xxxx
133,in,in,IN,xx
134,the,the,DT,xxx
135,current,current,JJ,xxxx
136,year,year,NN,xxxx
137,",",",",",",","
138,including,include,VBG,xxxx
139,materially,materially,RB,xxxx
140,higher,high,JJR,xxxx
141,-,-,HYPH,-
142,than,than,IN,xxxx
143,-,-,HYPH,-
144,expected,expect,VBN,xxxx
145,cost,cost,NN,xxxx
146,in,in,IN,xx
147,the,the,DT,xxx
148,recently,recently,RB,xxxx
149,implemented,implement,VBN,xxxx
150,Iowa,Iowa,NNP,Xxxx
151,contract,contract,NN,xxxx
152,"
","
",_SP,"
"
153,Operating,operate,VBG,Xxxxx
154,margins,margin,NNS,xxxx
155,in,in,IN,xx
156,the,the,DT,xxx
157,fourth,fourth,JJ,xxxx
158,quarter,quarter,NN,xxxx
159,of,of,IN,xx
160,4.5,4.5,CD,d.d
161,%,%,NN,%
162,were,be,VBD,xxxx
163,higher,high,JJR,xxxx
164,than,than,IN,xxxx
165,expected,expect,VBN,xxxx
166,due,due,IN,xxx
167,to,to,IN,xx
168,the,the,DT,xxx
169,retroactive,retroactive,JJ,xxxx
170,change,change,NN,xxxx
171,in,in,IN,xx
172,the,the,DT,xxx
173,minimum,minimum,JJ,xxxx
174,MLR,MLR,NNP,XXX
175,calculation,calculation,NN,xxxx
176,under,under,IN,xxxx
177,California,California,NNP,Xxxxx
178,'s,'s,POS,'x
179,Medicaid,Medicaid,NNP,Xxxxx
180,expansion,expansion,NN,xxxx
181,business,business,NN,xxxx
182,we,-PRON-,PRP,xx
183,discussed,discuss,VBD,xxxx
184,earlier,earlier,RBR,xxxx
185,"
","
",_SP,"
"
186,Importantly,importantly,RB,Xxxxx
187,",",",",",",","
188,core,core,JJ,xxxx
189,medical,medical,JJ,xxxx
190,cost,cost,NN,xxxx
191,trends,trend,NNS,xxxx
192,during,during,IN,xxxx
193,the,the,DT,xxx
194,quarter,quarter,NN,xxxx
195,were,be,VBD,xxxx
196,relatively,relatively,RB,xxxx
197,in,in,IN,xx
198,line,line,NN,xxxx
199,with,with,IN,xxxx
200,our,-PRON-,PRP$,xxx
201,most,most,RBS,xxxx
202,recent,recent,JJ,xxxx
203,expectations,expectation,NNS,xxxx
204,"
","
",_SP,"
"
205,The,the,DT,Xxx
206,pipeline,pipeline,NN,xxxx
207,of,of,IN,xx
208,opportunity,opportunity,NN,xxxx
209,for,for,IN,xxx
210,our,-PRON-,PRP$,xxx
211,Medicaid,Medicaid,NNP,Xxxxx
212,business,business,NN,xxxx
213,remains,remain,VBZ,xxxx
214,substantial,substantial,JJ,xxxx
215,",",",",",",","
216,with,with,IN,xxxx
217,approximately,approximately,RB,xxxx
218,three,three,CD,xxxx
219,-,-,HYPH,-
220,fourths,fourth,NNS,xxxx
221,of,of,IN,xx
222,the,the,DT,xxx
223,pipeline,pipeline,NN,xxxx
224,in,in,IN,xx
225,new,new,JJ,xxx
226,and,and,CC,xxx
227,specialized,specialized,JJ,xxxx
228,services,service,NNS,xxxx
229,",",",",",",","
230,and,and,CC,xxx
231,the,the,DT,xxx
232,remainder,remainder,NN,xxxx
233,in,in,IN,xx
234,traditional,traditional,JJ,xxxx
235,Medicaid,Medicaid,NNP,Xxxxx
236,services,service,NNS,xxxx
237,"
","
",_SP,"
"
238,We,-PRON-,PRP,Xx
239,continue,continue,VBP,xxxx
240,to,to,TO,xx
241,believe,believe,VB,xxxx
242,our,-PRON-,PRP$,xxx
243,Medicaid,Medicaid,NNP,Xxxxx
244,asset,asset,NN,xxxx
245,and,and,CC,xxx
246,geographic,geographic,JJ,xxxx
247,footprint,footprint,NN,xxxx
248,is,be,VBZ,xx
249,very,very,RB,xxxx
250,well,well,RB,xxxx
251,positioned,position,VBN,xxxx
252,to,to,TO,xx
253,capitalize,capitalize,VB,xxxx
254,on,on,IN,xx
255,these,these,DT,xxxx
256,growth,growth,NN,xxxx
257,opportunities,opportunity,NNS,xxxx
258,over,over,IN,xxxx
259,the,the,DT,xxx
260,next,next,JJ,xxxx
261,five,five,CD,xxxx
262,years,year,NNS,xxxx
263,",",",",",",","
264,as,as,IN,xx
265,we,-PRON-,PRP,xx
266,continuously,continuously,RB,xxxx
267,demonstrate,demonstrate,VBP,xxxx
268,that,that,IN,xxxx
269,we,-PRON-,PRP,xx
270,are,be,VBP,xxx
271,part,part,NN,xxxx
272,of,of,IN,xx
273,the,the,DT,xxx
274,solution,solution,NN,xxxx
275,to,to,IN,xx
276,addressing,address,VBG,xxxx
277,the,the,DT,xxx
278,challenges,challenge,NNS,xxxx
279,of,of,IN,xx
280,rising,rise,VBG,xxxx
281,healthcare,healthcare,NN,xxxx
282,cost,cost,NN,xxxx
283,for,for,IN,xxx
284,our,-PRON-,PRP$,xxx
285,state,state,NN,xxxx
286,partners,partner,NNS,xxxx
287,',',POS,'
288,constituents,constituent,NNS,xxxx
289,while,while,IN,xxxx
290,improving,improve,VBG,xxxx
291,quality,quality,NN,xxxx
292,"
","
",_SP,"
"
293,Within,within,IN,Xxxxx
294,Medicare,Medicare,NNP,Xxxxx
295,",",",",",",","
296,we,-PRON-,PRP,xx
297,are,be,VBP,xxx
298,pleased,pleased,JJ,xxxx
299,with,with,IN,xxxx
300,the,the,DT,xxx
301,progress,progress,NN,xxxx
302,the,the,DT,xxx
303,team,team,NN,xxxx
304,continues,continue,VBZ,xxxx
305,to,to,TO,xx
306,make,make,VB,xxxx
307,",",",",",",","
308,as,as,IN,xx
309,our,-PRON-,PRP$,xxx
310,2016,2016,CD,dddd
311,margins,margin,NNS,xxxx
312,reflected,reflect,VBN,xxxx
313,improvement,improvement,NN,xxxx
314,versus,versus,IN,xxxx
315,2015,2015,CD,dddd
316,.,.,.,.
317,The,the,DT,Xxx
318,improvement,improvement,NN,xxxx
319,is,be,VBZ,xx
320,a,a,DT,x
321,direct,direct,JJ,xxxx
322,result,result,NN,xxxx
323,of,of,IN,xx
324,investments,investment,NNS,xxxx
325,made,make,VBN,xxxx
326,in,in,IN,xx
327,our,-PRON-,PRP$,xxx
328,Medicare,Medicare,NNP,Xxxxx
329,business,business,NN,xxxx
330,over,over,IN,xxxx
331,the,the,DT,xxx
332,past,past,JJ,xxxx
333,three,three,CD,xxxx
334,years,year,NNS,xxxx
335,"
","
",_SP,"
"
336,We,-PRON-,PRP,Xx
337,have,have,VBP,xxxx
338,now,now,RB,xxx
339,positioned,position,VBN,xxxx
340,our,-PRON-,PRP$,xxx
341,portfolio,portfolio,NN,xxxx
342,to,to,TO,xx
343,grow,grow,VB,xxxx
344,MA,MA,NNP,XX
345,in,in,IN,xx
346,2017,2017,CD,dddd
347,",",",",",",","
348,which,which,WDT,xxxx
349,we,-PRON-,PRP,xx
350,will,will,MD,xxxx
351,discuss,discuss,VB,xxxx
352,in,in,IN,xx
353,more,more,JJR,xxxx
354,detail,detail,NN,xxxx
355,when,when,WRB,xxxx
356,we,-PRON-,PRP,xx
357,turn,turn,VBP,xxxx
358,to,to,IN,xx
359,our,-PRON-,PRP$,xxx
360,2017,2017,CD,dddd
361,outlook,outlook,NN,xxxx
362,"
","
",_SP,"
"
363,Switching,switch,VBG,Xxxxx
364,to,to,IN,xx
365,our,-PRON-,PRP$,xxx
366,Commercial,commercial,JJ,Xxxxx
367,business,business,NN,xxxx
368,",",",",",",","
369,our,-PRON-,PRP$,xxx
370,enrollment,enrollment,NN,xxxx
371,came,come,VBD,xxxx
372,in,in,RP,xx
373,better,better,RBR,xxxx
374,than,than,IN,xxxx
375,expected,expect,VBN,xxxx
376,",",",",",",","
377,growing,grow,VBG,xxxx
378,by,by,IN,xx
379,over,over,IN,xxxx
380,"700,000","700,000",CD,"ddd,ddd"
381,members,member,NNS,xxxx
382,during,during,IN,xxxx
383,2016,2016,CD,dddd
384,to,to,IN,xx
385,30.4,30.4,CD,dd.d
386,million,million,CD,xxxx
387,members,member,NNS,xxxx
388,",",",",",",","
389,representing,represent,VBG,xxxx
390,growth,growth,NN,xxxx
391,of,of,IN,xx
392,2.4,2.4,CD,d.d
393,%,%,NN,%
394,"
","
",_SP,"
"
395,This,this,DT,Xxxx
396,growth,growth,NN,xxxx
397,translated,translate,VBD,xxxx
398,into,into,IN,xxxx
399,better,well,JJR,xxxx
400,-,-,HYPH,-
401,than,than,IN,xxxx
402,-,-,HYPH,-
403,expected,expect,VBN,xxxx
404,operating,operate,VBG,xxxx
405,revenue,revenue,NN,xxxx
406,of,of,IN,xx
407,$,$,$,$
408,38.7,38.7,CD,dd.d
409,billion,billion,CD,xxxx
410,during,during,IN,xxxx
411,the,the,DT,xxx
