,Word,Lemma,POSTag,Shape
0,Good,good,JJ,Xxxx
1,morning,morning,NN,xxxx
2,",",",",",",","
3,everyone,everyone,NN,xxxx
4,",",",",",",","
5,and,and,CC,xxx
6,thank,thank,VBP,xxxx
7,you,-PRON-,PRP,xxx
8,for,for,IN,xxx
9,joining,join,VBG,xxxx
10,us,-PRON-,PRP,xx
11,today,today,NN,xxxx
12,"
","
",_SP,"
"
13,I,-PRON-,PRP,X
14,will,will,MD,xxxx
15,get,get,VB,xxx
16,started,start,VBN,xxxx
17,by,by,IN,xx
18,sharing,share,VBG,xxxx
19,some,some,DT,xxxx
20,comments,comment,NNS,xxxx
21,on,on,IN,xx
22,our,-PRON-,PRP$,xxx
23,first,first,JJ,xxxx
24,quarter,quarter,NN,xxxx
25,performance,performance,NN,xxxx
26,",",",",",",","
27,then,then,RB,xxxx
28,I,-PRON-,PRP,X
29,will,will,MD,xxxx
30,turn,turn,VB,xxxx
31,it,-PRON-,PRP,xx
32,over,over,RP,xxxx
33,to,to,IN,xx
34,Jay,Jay,NNP,Xxx
35,who,who,WP,xxx
36,will,will,MD,xxxx
37,walk,walk,VB,xxxx
38,through,through,IN,xxxx
39,the,the,DT,xxx
40,rest,rest,NN,xxxx
41,of,of,IN,xx
42,the,the,DT,xxx
43,P&L,P&L,NNP,X&X
44,and,and,CC,xxx
45,provide,provide,VB,xxxx
46,an,an,DT,xx
47,update,update,NN,xxxx
48,on,on,IN,xx
49,our,-PRON-,PRP$,xxx
50,guidance,guidance,NN,xxxx
51,for,for,IN,xxx
52,the,the,DT,xxx
53,year,year,NN,xxxx
54,"
","
",_SP,"
"
55,After,after,IN,Xxxxx
56,that,that,DT,xxxx
57,",",",",",",","
58,we,-PRON-,PRP,xx
59,'ll,will,MD,'xx
60,close,close,VB,xxxx
61,with,with,IN,xxxx
62,Q&A,Q&A,NNP,X&X
63,"
","
",_SP,"
"
64,We,-PRON-,PRP,Xx
65,opened,open,VBD,xxxx
66,2017,2017,CD,dddd
67,with,with,IN,xxxx
68,a,a,DT,x
69,strong,strong,JJ,xxxx
70,quarter,quarter,NN,xxxx
71,",",",",",",","
72,reflecting,reflect,VBG,xxxx
73,continued,continued,JJ,xxxx
74,progress,progress,NN,xxxx
75,across,across,IN,xxxx
76,our,-PRON-,PRP$,xxx
77,three,three,CD,xxxx
78,strategic,strategic,JJ,xxxx
79,vectors,vector,NNS,xxxx
80,of,of,IN,xx
81,portfolio,portfolio,NN,xxxx
82,management,management,NN,xxxx
83,and,and,CC,xxx
84,innovation,innovation,NN,xxxx
85,",",",",",",","
86,operational,operational,JJ,xxxx
87,excellence,excellence,NN,xxxx
88,",",",",",",","
89,and,and,CC,xxx
90,capital,capital,NN,xxxx
91,allocation,allocation,NN,xxxx
92,"
","
",_SP,"
"
93,On,on,IN,Xx
94,the,the,DT,xxx
95,top,top,JJ,xxx
96,line,line,NN,xxxx
97,",",",",",",","
98,Baxter,Baxter,NNP,Xxxxx
99,delivered,deliver,VBD,xxxx
100,sales,sale,NNS,xxxx
101,growth,growth,NN,xxxx
102,of,of,IN,xx
103,4,4,CD,d
104,%,%,NN,%
105,on,on,IN,xx
106,a,a,DT,x
107,reported,reported,JJ,xxxx
108,basis,basis,NN,xxxx
109,and,and,CC,xxx
110,5,5,CD,d
111,%,%,NN,%
112,on,on,IN,xx
113,a,a,DT,x
114,constant,constant,JJ,xxxx
115,currency,currency,NN,xxxx
116,basis,basis,NN,xxxx
117,"
","
",_SP,"
"
118,Operationally,operationally,RB,Xxxxx
119,",",",",",",","
120,Baxter,Baxter,NNP,Xxxxx
121,'s,'s,POS,'x
122,sales,sale,NNS,xxxx
123,rose,rise,VBD,xxxx
124,7,7,CD,d
125,%,%,NN,%
126,",",",",",",","
127,which,which,WDT,xxxx
128,excludes,exclude,VBZ,xxxx
129,the,the,DT,xxx
130,impact,impact,NN,xxxx
131,of,of,IN,xx
132,foreign,foreign,JJ,xxxx
133,exchange,exchange,NN,xxxx
134,",",",",",",","
135,generic,generic,JJ,xxxx
136,competition,competition,NN,xxxx
137,for,for,IN,xxx
138,the,the,DT,xxx
139,U.S,U.S,NNP,X.X
140,"
","
",_SP,"
"
141,cyclophosphamide,cyclophosphamide,NN,xxxx
142,market,market,NN,xxxx
143,",",",",",",","
144,and,and,CC,xxx
145,the,the,DT,xxx
146,previously,previously,RB,xxxx
147,communicated,communicate,VBN,xxxx
148,selected,select,VBN,xxxx
149,strategic,strategic,JJ,xxxx
150,product,product,NN,xxxx
151,exits,exit,VBZ,xxxx
152,the,the,DT,xxx
153,company,company,NN,xxxx
154,is,be,VBZ,xx
155,undertaking,undertake,VBG,xxxx
156,"
","
",_SP,"
"
157,The,the,DT,Xxx
158,results,result,NNS,xxxx
159,were,be,VBD,xxxx
160,driven,drive,VBN,xxxx
161,by,by,IN,xx
162,strength,strength,NN,xxxx
163,across,across,IN,xxxx
164,our,-PRON-,PRP$,xxx
165,U.S,U.S,NNP,X.X
