,Sentences
0,"Thanks, Joe, and good morning, everyone"
1,"As Joe mentioned, we're pleased with our second quarter results, reinforcing our confidence that we are on the right path to achieve our goal of sustaining top quartile performance"
2,"Sales in the quarter increased 1% on a reported basis, 2% constant currency and 3% operationally, in line with our expectations"
3,The results were really driven by strength across many of our U.S
4,businesses and improving operational growth internationally
5,"On the bottom line, adjusted earnings were $0.63 per diluted share"
6,"This exceeded our guidance of $0.55 to $0.57 per share and reflects solid execution on the top-line, the ongoing impacts from our business transformation efforts and a modest benefit from other income and a lower tax rate"
7,Now I will walk you through performance by business
8,I will be speaking to growth figures on an operational basis to provide a clearer understanding of underlying performance
9,"As a reminder, our operational basis presentation excludes the impact of foreign exchange, U.S"
10,"cyclophosphamide, and selected strategic product exits"
11,"Global sales for Hospital Products were $1.6 billion, advancing 4% operationally"
12,"Breaking this out by business, sales in Fluid Systems were $607 million, up 6% operationally"
13,Performance was primarily driven by strong sales of IV solutions in the U.S
14,"Moving to Integrated Pharmacy Solutions or IPS, global sales were $568 million, increasing 4% operationally"
15,Contributing to performance in the quarter was increased demand for the company's nutritional therapies in the U.S
16,", driven by a temporary market disruption for select nutritional products"
17,"Sales for premixed injectable drugs also increased in the quarter, driven by recent launches and incremental pull-through of other premixed injectable products in our portfolio"
18,"Moving to Surgical Care, which includes anesthesia and biosurgery, total sales were $352 million, increasing 3% operationally"
19,Performance in the quarter was fueled by strong U.S
20,"growth for anesthesia and critical care products, driven by increased sales of Brevibloc, a fast-acting IV beta blocker, and Transderm Scop"
21,We did experience a slight benefit in the quarter as the alternate supplier for Transderm Scop returned to the market a bit later than expected
22,"Globally, biosurgery sales slightly declined during the quarter"
23,"Mid-single digit growth of core hemostats and sealants was more than offset by the impact from lower sales of non-core products, such as PERI-STRIPS and ACTIFUSE"
24,"Finally, in Hospital Products, sales in our other category were $110 million, declining 10%"
25,"Growth in the quarter was impacted by lower demand for our contract manufacturing services in our Bloomington, Indiana, facility and lower manufacturing service revenues from Shire"
26,"Turning to Renal business, sales were $968 million, up 3% operationally"
27,Sales in the quarter benefited from solid sales of peritoneal dialysis and acute renal care products
28,"The in-center hemodialysis business advanced low single digits globally, driven by strong sales in the U.S"
29,", partially offset by lower sales internationally"
30,"The Acute business delivered mid single-digit growth globally in the quarter, driven by increased sales internationally"
31,slowed in the quarter given a difficult year-over-year comparison as sales in Q2 2016 benefited from a temporary market disruption for continuous renal replacement solutions
32,We expect growth in this business to return to double digits in the back half of the year
33,"Walking through the rest of the P&L, adjusted gross margin of 45.2% represents an improvement of 140 basis points over the prior year, driven by improved pricing in select areas of the portfolio, favorable manufacturing performance and a benefit from our business transformation efforts aimed at simplifying the portfolio to drive efficiency and reduce cost"
34,"Adjusted SG&A totaled $603 million, decreasing 9% on a reported basis"
35,The primary driver of the improvement was our ongoing focus on effectively managing our expense base to eliminate costs and reduce inefficiencies
36,"Transition service agreement totaled â€“ income totaled approximately $16 million in the quarter, a reduction of approximately $10 million compared to the second quarter of 2016."
37,We expect transition service incomes to total approximately $20 million in the second half of 2017.
38,Adjusted R&D spending in the quarter of $155 million increased 3% versus the prior year
39,This reflects our stated intention to increase investments in R&D to drive innovation and augment top-line growth
40,"Adjusted operating margin in the quarter was 16.1%, an improvement of 380 basis points versus the prior year"
41,"Operating margin compared favorably to our expectations, driven by improved gross margin and disciplined expense management"
42,"Net interest expense was $13 million in the quarter, as was adjusted other income, which totaled $13 million in the quarter"
43,This reflected a benefit from foreign exchange gains on balance sheet positions
44,"The adjusted tax rate was 16.9% for the quarter, which reflects the benefit from the new stock compensation guidance, along with select discrete items"
45,"And as previously mentioned, adjusted earnings of $0.63 per diluted share exceeded our guidance of $0.55 to $0.57 per share, driven by operational strength, other income benefit and a lower tax expense"
46,"During the second quarter, we repurchased approximately $45 million or approximately 750,000 shares"
47,These targeted repurchases were more than offset by option-related dilution
48,"Before turning to our updated outlook, I will provide some commentary regarding our cash flow performance"
49,"On a year-to-date basis, we've generated free cash flow of $488 million, an improvement of more than $400 million versus the prior year, driven by strong operational performance and lower capital expenditures, along with continued focus on improving the company's working capital performance"
50,"Of particular note, we ended the quarter with DSO of 53 days and days payable of 52 days"
51,Let me conclude my comments this morning by providing an update on our outlook for 2017 and 2020.
52,"Starting with 2017, we expect full-year sales to increase approximately 3% on a reported basis and approximately 4% on a constant currency basis"
53,"cyclophosphamide impact, select strategic product exits and removing the benefit from the proposed Claris acquisition, we expect underlying operational growth of approximately 5%"
54,All three of these sales ranges represent an increase from our prior guidance
55,"This growth reflects approximately $55 million in incremental sales from the Claris acquisition, which, as Joe said, we expect to close imminently"
56,"We now expect growth in the Hospital Products business of 4% to 5% on a constant currency basis, and 5% to 6% operationally"
57,"Within Hospital Products, we now expect Fluid Systems constant currency sales growth of 5% to 6% and 7% to 8% on an operational basis"
58,"For the Integrated Pharmacy Solutions business, we expect constant currency sales growth of 4% to 5%"
59,We expect full-year sales for cyclophosphamide of approximately $160 million as compared to our previous guidance of $135 million
60,Our updated assumption is that additional competitors will enter the market during the fourth quarter of 2017.
61,"And as I just mentioned, we anticipate that Claris will add approximately $55 million of revenues to IPS"
62,"Operationally, IPS sales are expected to increase 4% to 5%"
63,Within Surgical Care we now anticipate sales to grow approximately 4% on a constant currency basis and 4% to 5% operationally
64,"And finally, for the Hospital Products business we now expect DPS and other to increase low single-digits"
65,"For the Renal business, we expect full year constant currency sales to increase approximately 3% and growth of approximately 4% operationally"
66,"Moving down the P&L, we now expect an adjusted operating margin of approximately 15.5% to 16%"
67,We expect net interest expense to total approximately $60 million and other income of approximately $20 million for 2017.
68,"For the year, we now expect an average adjusted cash rate of approximately 19.5%"
69,For full year 2017 we anticipated diluted average share count of approximately 555 million shares
70,"Based on these factors, we now expect 2017 adjusted earnings, excluding special items, of $2.34 to $2.40 per diluted share"
71,"Finally, for the year, we are increasing our outlook and now expect to generate operating cash flow of approximately $1.8 billion and free cash flow of approximately $1.1 billion"
72,"Specific to the third quarter 2017, we expect sales growth to increase approximately 4% on a reported basis and increase approximately 5% on a constant currency basis"
73,"Operationally, sales in the third quarter are expected to increase approximately 6%"
74,Claris is expected to contribute approximately $20 million in sales to the third quarter
75,"And we expect adjusted earnings, excluding special items, of $0.58 to $0.60 per diluted share"
76,"Before opening up the call to Q&A, I'd like to expand a bit on our updated longer-term financial outlook"
77,"Since we provided our updated projections last May, we have been very focused on opportunities for improvement"
78,Our solid operational performance to date has positioned us well for continued success
79,"As Joe stated, we expect sales growth of 4% compounded annually"
80,"While our sales outlook has not changed, I do want to point out a couple of factors"
81,Top-line performance in 2016 came in better than we had projected in May 2016.
82,And the guidance provided last year did not incorporate the select strategic exits we undertook this year
83,These two factors offset the expected benefit from the Claris acquisition
84,"In addition, as we approach 2020 we expect sales growth to be north of 4% on annual basis as we benefit from the actions we've taken to optimize the portfolio and drive increased productivity from our pipeline investments"
85,The adjusted operating margin of 20% compares favorably to previous guidance of 17% to 18% and reflect continued momentum from our business transformation efforts as well as improve manufacturing performance
86,"In 2020, we expect adjusted EPS of $3.25 to $3.40 per share, representing a mid-teen increase from the prior guidance of $2.75 to $3 dollars per share"
87,Our EPS outlook does not assume any meaningful share repurchases
88,"We've only modeled repurchases to offset dilution, holding our share count flat to 2017 levels"
89,"In addition, we've not included any additional meaningful business development initiatives beyond the Claris acquisition in these projections"
90,"For me, one of the most important numbers Joe mentioned earlier is our increased cash flow outlook"
91,We expect to generate more than $2.6 billion in operating cash flow by 2020.
92,"We will further reduce CapEx spending which is expected to be less than 6% of sales by 2020, resulting in free cash flow improving approximately $250 million to approximately $2 billion in 2020."
93,"And to rephrase my earlier comment, this is an unlevered view of our business"
