,Sentences
0,"Thanks, Vince, and good morning everyone"
1,"Like Vince, I'm also pleased by the progress we are making with our integration planning for the Bard acquisition, and the value the combination will create for our customers, patients, and shareholders globally"
2,"Moving on to slide 7, I'll review our third quarter revenue and EPS results, which I'll speak to on a currency-neutral basis"
3,"Total third quarter revenues of approximately $3 billion dollars grew 2.4% on a comparable basis, which was slightly below our expectations"
4,We estimate that the U.S
5,"dispensing change lowered total company revenue growth by approximately 100 basis points, in line with our previously-communicated expectations"
6,"As Vince mentioned, our underlying performance is strong"
7,"Accounting for the dispensing change and the timing of items within the year, our third quarter results would have been in the low end of our full-year guidance range of 4.5% to 5%"
8,"I'll provide more color on revenue growth in the quarter in a moment, when I take you through the results by segment and geography"
9,Adjusted EPS of $2.46 grew 7.7%
10,"As expected, EPS was impacted by the divestiture of the Respiratory Solutions business, as well as the U.S"
11,"Dispensing business model change, which resulted in a combined headwind of approximately 600 basis points to EPS growth"
12,We're very pleased with our performance year-to-date
13,Revenue growth is strong at 4.5%
14,Accounting for the approximate 40-basis-point impact from the U.S
15,"dispensing change, we estimate that the revenue growth year-to-date would have been near the high end of our 4.5%-to-5% guidance range"
16,Year-to-date EPS growth of 13.1% reflects our ability to grow over the dilution from the Respiratory divestiture and the U.S
17,dispensing change
18,"Moving on to slide 8, I'll review our revenue growth by segment on a comparable currency-neutral basis"
19,"In the quarter, pricing declined about 20 basis points"
20,BD
21,Medical third quarter revenues increased 1.3%
22,Revenues in the Medical segment was slightly below our expectations in the quarter
23,"Year-to-date, Medical revenues grew a strong 4.5%, which includes an estimated 50-basis-point headwind from the U.S"
24,Dispensing change
25,"Medication and Procedural Solutions, or MPS, growth was 3.7%, which reflects strength in infusion-related disposables and infection prevention"
26,Growth in MPS in the U.S
27,"was below our expectations, due to the normalization of inventory levels across several major distributors"
28,"Revenues in Medication Management Solutions, or MMS, declined 4.2%"
29,We estimate that the U.S
30,dispensing change lowered MMS revenue growth by approximately 550 basis points
31,"MMS revenue growth was also impacted by strong capital insulations in dispensing in the first half of the fiscal year, as previously communicated"
32,"In addition, within our International Infusion business, certain customer orders planned for the third quarter are now expected to occur in the fourth fiscal quarter"
33,"On an underlying basis that accounts for these items, we estimate that MMS would have grown in the mid-single digits"
34,We continue to be pleased as we gain momentum in the market in our MMS business
35,Diabetes Care revenue growth of 2.7% was driven by 4.2% growth in the U.S
36,and double-digit growth in emerging markets
37,"International growth was impacted by some softness in Europe, primarily in the U.K"
38,", where we are seeing increasing pressure from government payers as part of austerity measures"
39,Pharmaceutical Systems revenues grew 3.9%
40,Results were impacted by the timing of customer orders that benefited growth in the first quarter
41,"Year-to-date, Pharmaceutical Systems grew 6.1%"
42,BD Life Sciences third quarter revenues grew â€“ increased 4.8%
43,Growth was driven by strong performance in Biosciences and solid growth in Diagnostic Systems and Preanalytical Systems
44,Revenues in Diagnostics Systems grew 3.8%
45,Strength in Core Microbiology was driven by blood culture and IDAST partially offset by the timing of BD Kiestra installations which we expect to occur in the fourth quarter
46,"In addition, we saw strong accelerated growth in our BD MAX molecular platform driven by the recent introduction of new enteric's and women's health assays"
47,"Preanalytical Systems growth of 3.9% was driven by strength in wing sets, including the recently-introduced BD UltraTouch"
48,Biosciences revenues grew a strong 7.1%
49,This reflects continued strength in research reagents driven by our Sirigen dyes and growth from new recently-launched research instruments such as the FACSMelody
50,Moving on to slide nine I'll walk you through our geographic revenues for the third quarter on a comparable currency-neutral basis
51,growth was about flat with BD Life Sciences growing at 5.2% and BD Medical declining 1.3%
52,We estimate the U.S
53,dispensing change lowered BD Medical U.S
54,revenue growth by approximately 270 basis points and total company U.S
55,growth by approximately 200 basis points
56,Performance in BD Medical in the U.S
57,reflects growth in the MPS and Diabetes Care units
58,This growth was offset by the timing and geography of orders in Pharmaceutical Systems and the U.S
59,dispensing change
60,"Performance in the Medication Management Solution unit also reflects the timing of capital placements that occurred earlier in the fiscal year, revenues in MPS were driven by strength across a wide range of infusion disposables and infection prevention, partially offset by the normalization of inventory levels"
61,BD Life Sciences growth reflects strong performance in Biosciences and Preanalytical Systems
62,Diagnostics business was driven by strong core Microbiology and BD MAX partially offset by the timing of revenues in some platforms
63,Revenues in Preanalytical Systems were driven by growth in wing sets and also reflect strong performance across all product platforms
64,Revenues in our Biosciences business in the U.S
65,were driven by strength in research reagents and growth from research instruments such as the FACSMelody and the FACSymphony
66,"Moving on to International, revenues grew 4.7%"
67,The Medical segment grew 4.9%
68,Growth was driven by customer ordering patterns in Pharmaceutical Systems and by performance from infusion-related disposables in the MPS business
69,"Diabetes care revenues reflect strength in emerging markets partially offset by softness in Europe, as previously discussed"
