,Word,Lemma,POSTag,Shape
0,Thanks,thanks,UH,Xxxxx
1,",",",",",",","
2,Vince,Vince,NNP,Xxxxx
3,",",",",",",","
4,and,and,CC,xxx
5,good,good,JJ,xxxx
6,morning,morning,NN,xxxx
7,everyone,everyone,NN,xxxx
8,"
","
",_SP,"
"
9,Like,like,IN,Xxxx
10,Vince,Vince,NNP,Xxxxx
11,",",",",",",","
12,I,-PRON-,PRP,X
13,'m,be,VBP,'x
14,also,also,RB,xxxx
15,pleased,pleased,JJ,xxxx
16,by,by,IN,xx
17,the,the,DT,xxx
18,progress,progress,NN,xxxx
19,we,-PRON-,PRP,xx
20,are,be,VBP,xxx
21,making,make,VBG,xxxx
22,with,with,IN,xxxx
23,our,-PRON-,PRP$,xxx
24,integration,integration,NN,xxxx
25,planning,plan,VBG,xxxx
26,for,for,IN,xxx
27,the,the,DT,xxx
28,Bard,Bard,NNP,Xxxx
29,acquisition,acquisition,NN,xxxx
30,",",",",",",","
31,and,and,CC,xxx
32,the,the,DT,xxx
33,value,value,NN,xxxx
34,the,the,DT,xxx
35,combination,combination,NN,xxxx
36,will,will,MD,xxxx
37,create,create,VB,xxxx
38,for,for,IN,xxx
39,our,-PRON-,PRP$,xxx
40,customers,customer,NNS,xxxx
41,",",",",",",","
42,patients,patient,NNS,xxxx
43,",",",",",",","
44,and,and,CC,xxx
45,shareholders,shareholder,NNS,xxxx
46,globally,globally,RB,xxxx
47,"
","
",_SP,"
"
48,Moving,move,VBG,Xxxxx
49,on,on,RP,xx
50,to,to,TO,xx
51,slide,slide,VB,xxxx
52,7,7,CD,d
53,",",",",",",","
54,I,-PRON-,PRP,X
55,'ll,will,MD,'xx
56,review,review,VB,xxxx
57,our,-PRON-,PRP$,xxx
58,third,third,JJ,xxxx
59,quarter,quarter,NN,xxxx
60,revenue,revenue,NN,xxxx
61,and,and,CC,xxx
62,EPS,EPS,NNP,XXX
63,results,result,NNS,xxxx
64,",",",",",",","
65,which,which,WDT,xxxx
66,I,-PRON-,PRP,X
67,'ll,will,MD,'xx
68,speak,speak,VB,xxxx
69,to,to,IN,xx
70,on,on,IN,xx
71,a,a,DT,x
72,currency,currency,NN,xxxx
73,-,-,HYPH,-
