,Word,Lemma,POSTag,Shape
0,Thanks,thanks,UH,Xxxxx
1,",",",",",",","
2,Mike,Mike,NNP,Xxxx
3,"
","
",_SP,"
"
4,Our,-PRON-,PRP$,Xxx
5,GAAP,GAAP,NNP,XXXX
6,diluted,dilute,VBD,xxxx
7,earnings,earning,NNS,xxxx
8,per,per,IN,xxx
9,share,share,NN,xxxx
10,were,be,VBD,xxxx
11,$,$,$,$
12,2.99,2.99,CD,d.dd
13,in,in,IN,xx
14,the,the,DT,xxx
15,fourth,fourth,JJ,xxxx
16,quarter,quarter,NN,xxxx
17,and,and,CC,xxx
18,$,$,$,$
19,16.93,16.93,CD,dd.dd
20,for,for,IN,xxx
21,the,the,DT,xxx
22,full,full,JJ,xxxx
23,year,year,NN,xxxx
24,"
","
",_SP,"
"
25,GAAP,GAAP,NNP,XXXX
26,earnings,earning,NNS,xxxx
27,per,per,IN,xxx
28,share,share,NN,xxxx
29,were,be,VBD,xxxx
30,negatively,negatively,RB,xxxx
31,impacted,impact,VBN,xxxx
32,by,by,IN,xx
33,$,$,$,$
34,1.55,1.55,CD,d.dd
35,related,relate,VBN,xxxx
36,to,to,IN,xx
37,the,the,DT,xxx
38,settlement,settlement,NN,xxxx
39,in,in,IN,xx
40,license,license,NN,xxxx
41,agreement,agreement,NN,xxxx
42,with,with,IN,xxxx
43,Forward,Forward,NNP,Xxxxx
44,Pharma,Pharma,NNP,Xxxxx
45,"
","
",_SP,"
"
46,Our,-PRON-,PRP$,Xxx
47,non,non,JJ,xxx
48,-,-,JJ,-
49,GAAP,gaap,JJ,XXXX
50,diluted,dilute,VBN,xxxx
51,earnings,earning,NNS,xxxx
52,per,per,IN,xxx
53,share,share,NN,xxxx
54,were,be,VBD,xxxx
55,$,$,$,$
56,5.04,5.04,CD,d.dd
57,in,in,IN,xx
58,the,the,DT,xxx
59,fourth,fourth,JJ,xxxx
60,quarter,quarter,NN,xxxx
61,and,and,CC,xxx
62,$,$,$,$
63,20.22,20.22,CD,dd.dd
64,for,for,IN,xxx
65,the,the,DT,xxx
66,full,full,JJ,xxxx
67,year,year,NN,xxxx
68,"
","
",_SP,"
"
69,Total,total,JJ,Xxxxx
70,revenue,revenue,NN,xxxx
71,for,for,IN,xxx
