,Sentences
0,"Thanks, John"
1,"Good morning, everyone I think it's fair to say we just had an outstanding quarter with strong performance across the company"
2,"Our non-GAAP EPS was $0.84, up $0.10 over the first quarter of last year"
3,"We grew our revenue by 12%, with double-digit growth across our key growth drivers"
4,"Starting with I-O, sales for Opdivo were strong despite a more competitive landscape in the U.S"
5,for lung cancer
6,In the U.S
7,", while we have seen some share loss in lung cancer, our share has shown signs of stabilization in recent weeks"
8,"Outside lung, we've seen growth in renal, melanoma, head and neck, and bladder"
9,"Internationally, we've made great progress on access and reimbursement"
10,Sales were strong across all indications
11,"From a regulatory perspective, we continue to make progress, mainly the U.S"
12,"Opdivo approval in bladder, the Japanese approval in head and neck, and the CHMP positive recommendations for bladder and head and neck in Europe"
13,"We shared important new data from our immuno-oncology portfolio at AACR [American Association of Cancer Research], including overall survival data from Study 67, the TNB analysis from Study 26, and the early data from our IDO inhibitor"
14,"We also advanced our diversified portfolio with encouraging data from our FGF21 for NASH at EASL [European Association for the Study of the Liver], and we will work with the regulatory authorities to initiate a registrational program as soon as possible"
15,"We made significant progress from a business development perspective, investing in translational capabilities through deals like GRAIL and Foundation Medicine and broadening our immuno-oncology clinical development program through agreements to study combination approaches with different mechanisms across a range of tumor"
16,"As I look at the company going forward, I see tremendous opportunity, driven by our industry-leading portfolio and the very best people in the business, all focused on maximizing value for our marketed products and advancing our pipeline"
17,"Certainly, all of you are focused on our I-O portfolio and our lung cancer program in particular"
18,This is a key focus for us as well
19,"The first-line landscape has become very dynamic, and the outlook for this market is continually evolving"
20,"Our teams have done a great job maintaining our position, and we believe we have the most comprehensive program in first-line"
21,"I'm sure you'll have questions about our development program in lung, but let me just say here that over the next 12 to 18 months, we expect to see a lot of important data"
22,But we are not just a lung cancer company
23,"Over the next 12 months, we are also anticipating important data readouts for Opdivo and Yervoy in renal cancer, hepatocellular carcinoma and small-cell lung cancer"
24,We also have many important opportunities in a range of other tumor types
25,"This is particularly true with respect to our next wave of I-O assets, with 10 new mechanisms in addition to PD-1 and CTLA-4 in clinical development"
26,"During the year, we plan to present additional data from first disclosures for many of our next wave"
27,"I-O assets, beginning at ASCO, where we will show IDO, GITR, and LAG-3."
28,"Tom will speak more about all of this in a moment, underscoring the critical importance of translational medicine to the work we are doing here as well as across our other therapeutic areas"
29,And we are not just a cancer company
30,This is clear by Eliquis' continued strong performance in the U.S
31,and other key markets and by the double-digit growth of Orencia and Sprycel
32,Eliquis has now exceeded $1 billion in revenue in the quarter and is the leading NOAC in the U.S
33,based on total prescriptions
34,"And importantly, we are continuing to see warfarin usage decline in terms of new-to-brand scripts, and we expect this trend to continue as the NOAC class expands"
35,It is also clear by the fact that we will have data to potentially support three registrational starts in the next 12 months in our fibrosis and immuno-science portfolios
36,"Our fibrosis pipeline includes first-in-class and best-in-class opportunities, with a focus on fibrosis of the liver and lung"
37,"And we believe our first compound for NASH, PEG-FGF21, has significant potential in an area with great need for new treatments"
38,"In immuno-science, we are pursuing novel mechanisms to treat a number of different autoimmune diseases, including lupus, RA, inflammatory bowel disease, Sj̦gren, and others"
39,"Beyond our strong performance and pipeline, we continue to look at a balanced approach to capital allocation as a key part of our strategy"
40,"Business development continues to be a priority for us, and we are sourcing external opportunities across the preclinical and clinical areas, as well as building our translational capabilities"
41,Charlie will talk later about our progress in that area during the quarter
42,"All-in-all, I feel really good about the quarter and the opportunities that lie ahead"
43,"As John mentioned, we are pleased that Tom has joined our company and is with us here today"
