,Word,Lemma,POSTag,Shape
0,Thanks,thanks,UH,Xxxxx
1,",",",",",",","
2,John,John,NNP,Xxxx
3,"
","
",_SP,"
"
4,Good,good,JJ,Xxxx
5,morning,morning,NN,xxxx
6,",",",",",",","
7,everyone,everyone,NN,xxxx
8,I,-PRON-,PRP,X
9,think,think,VBP,xxxx
10,it,-PRON-,PRP,xx
11,'s,be,VBZ,'x
12,fair,fair,JJ,xxxx
13,to,to,TO,xx
14,say,say,VB,xxx
15,we,-PRON-,PRP,xx
16,just,just,RB,xxxx
17,had,have,VBD,xxx
18,an,an,DT,xx
19,outstanding,outstanding,JJ,xxxx
20,quarter,quarter,NN,xxxx
21,with,with,IN,xxxx
22,strong,strong,JJ,xxxx
23,performance,performance,NN,xxxx
24,across,across,IN,xxxx
25,the,the,DT,xxx
26,company,company,NN,xxxx
27,"
","
",_SP,"
"
28,Our,-PRON-,PRP$,Xxx
29,non,non,JJ,xxx
30,-,-,JJ,-
31,GAAP,gaap,JJ,XXXX
32,EPS,EPS,NNP,XXX
33,was,be,VBD,xxx
34,$,$,$,$
35,0.84,0.84,CD,d.dd
36,",",",",",",","
37,up,up,RB,xx
38,$,$,$,$
39,0.10,0.10,CD,d.dd
40,over,over,IN,xxxx
41,the,the,DT,xxx
42,first,first,JJ,xxxx
43,quarter,quarter,NN,xxxx
44,of,of,IN,xx
45,last,last,JJ,xxxx
46,year,year,NN,xxxx
47,"
","
",_SP,"
"
48,We,-PRON-,PRP,Xx
49,grew,grow,VBD,xxxx
50,our,-PRON-,PRP$,xxx
51,revenue,revenue,NN,xxxx
52,by,by,IN,xx
53,12,12,CD,dd
54,%,%,NN,%
55,",",",",",",","
56,with,with,IN,xxxx
57,double,double,JJ,xxxx
58,-,-,HYPH,-
59,digit,digit,NN,xxxx
60,growth,growth,NN,xxxx
61,across,across,IN,xxxx
62,our,-PRON-,PRP$,xxx
63,key,key,JJ,xxx
64,growth,growth,NN,xxxx
65,drivers,driver,NNS,xxxx
66,"
","
",_SP,"
"
67,Starting,start,VBG,Xxxxx
68,with,with,IN,xxxx
69,I,-PRON-,PRP,X
70,-,-,HYPH,-
71,O,o,NN,X
72,",",",",",",","
73,sales,sale,NNS,xxxx
