,Sentences
0,"Good morning, everyone, and thank you for joining our call today"
1,"Before we get started, I'd like to take a moment to thank Tom McCarthy for his many years of service with Cigna"
2,As you know Tom announced his retirement this past February
3,"Tom has not only been an instrumental leader within our organization for more than three decades with considerable accomplishments and contributions to our growth and success, he's also a good friend to many of us, and we'll miss him on a both personal and professional level"
4,Tom's excited to start his next chapter
5,and I know you'll join me in wishing him and Linda (3:51)
6,all the best in his upcoming retirement
7,"Also, Eric Palmer will be stepping into our CFO role the summer"
8,"Eric's a proven financially leader with a strong track record of accomplishments over his 20 years with our company, and I'm confident in the value he'll bring to the role"
9,Eric's looking forward to discussions with you as we look ahead to Cigna's future and he'll be joining us for the Q&A portion of today's call
10,"To begin this morning's call, I'll briefly highlight our strong financial results"
11,"I'll then discuss how our approach to engaging, incenting and supporting our customers and healthcare professionals, combined with our ongoing investments in innovative capabilities, continues to fuel our growth and drive differentiated value for our stakeholders"
12,Tom will then address our first quarter financial results in more detail as well as provide more specifics for increased outlook for 2017 before we take your questions
13,And after Q&A I'll wrap up the call with a few closing remarks
14,I'll start with some highlights of our results
15,We started off 2017 with strong momentum in earnings growth across each of Cigna's business segments
16,"For the first quarter of 2017, consolidated revenue increased 5% to more than $10 billion"
17,We achieved 20% earnings growth with adjusted income from operations for the first quarter of $719 million or $2.77 per share
18,"Our Global Health Care business delivered earnings growth of 12% over the first quarter of 2016 with strong customer growth across all Commercial market segments, increased contributions from specialty solutions, well-managed medical costs and effective operating expense management"
19,"Revenue growth in our Commercial employer business continues to be very strong as we retain, expand and add new customer relationships across National Accounts, Middle Market, Select and our International market segments"
20,"In the Individual market, we continue to take a measured approach, participating where we can best deliver value and accumulate learnings as that very dynamic environment continues to evolve"
21,"And in our Seniors business, we expect be in position to participate in the Open Enrollment cycle this fall"
22,In our Global Supplemental Benefits business Cigna again had double-digit revenue and earnings growth while continuing to make targeted investments to support future growth
23,Results from our Group Disability and Life business are benefiting from continued stable results in our Life portfolio and further improvements in our Disability performance
24,"Overall, we began 2017 with strong momentum that we expect to carry through the remainder of the year and as such have increased our outlook for revenue, medical customer growth and EPS"
25,"Now I'd like to transition to how our ongoing value creation for you, our shareholders, goes hand-in-hand with improving the lives of our customers"
26,"As you know, we remain focused on enhancing access to affordable personalized quality care when and where health care services are consumed, all while we continue to expand peace of mind solutions for our customers around the world"
27,"We continue to innovate new ways to incentivize, engage and support both customers and providers of healthcare in a very localized manner, an approach which our experience shows helps to identify health risks earlier while also providing customers with greater value when they do need health services"
28,Our proven approach begins with active listening to best understand and address the specific evolving needs of our customers and clients
29,"This critical first step fuels our highly consultative solution oriented actions where we leverage our broad portfolio of programs and services and our collaborative relationships with healthcare professionals to deliver high-value, personalized solutions at a local level"
30,We also actively engage customers and providers to facilitate the achievement of individual health goals and to strengthen incentive alignment particularly for our highest performing health care partners
31,"Further, by leveraging data and insights we are better positioned to identify health risks at an earlier stage and take actions which allow us to improve the quality of health outcomes at a lower cost"
32,"As for scale and reach, our collaborative arrangements now total approximately 250 physician-based group arrangements"
33,In addition to these partnerships we also have value-based arrangements in place with more than 125 hospital systems comprised of hundreds of individual hospitals spanning more than 30 states
34,We view our continued strength in Collaborative Accountable Care as paramount to accelerating the shared goals of increased value and sustainability across the healthcare system
35,"Taken together with our innovative clinical programs and broad array of specialty health programs, we continue to deliver industry-leading medical cost trend which directly benefits our customers and clients and as such you, our shareholders"
36,"In addition to our proven partnerships with healthcare professionals, we are taking our alignment and collaborative approach to pharmaceutical companies"
37,"We have created seven such arrangements in the past two years that base reimbursement on the efficacy of the drug, not just the consumption or volume of the drug"
38,Our leadership and innovation in the space was recently recognized by the Pharmacy Benefit Management Institute with their excellence award in recognition of Cigna's strategic efforts to change the reimbursement model with drug manufacturers from volume to value as well as our use of outcome-based contracts which link financial terms to measured improvements in our customers health and our use of insights to inform future affordability strategies
39,"These accomplishments represent a clear source of sustainable value creation for our business going forward, and as such, shareholder value creation"
40,Our engagement with communities where we operate further complements our strategic growth initiatives and local focus
41,"Because health is so highly personal and highly local, we believe that taking steps to demonstrably improve the health of the communities we serve is critical to creating a more sustainable healthcare system which in turn creates a better environment"
42,We actively use our individual engagement tools to decrease the health risks in the communities we serve
43,These tools include differentiated partnerships as well as our information and insights and broad clinical programs
44,"For example, we're working with communities to address the U.S"
45,opioid addiction issue
46,We started in early 2016 by convening diverse leaders from public and private sectors and local communities across the U.S
47,to LA and from Chicago to Houston
48,And with these leaders we are taking action to stem addiction before it starts as well as address the needs for those who are addicted
49,"Additionally Cigna is committed to reducing our customers' opioid use by 25% by 2019 to take us back to pre-crisis levels, while still providing the right care at the right time for our customers"
50,"To date, more than 150 forward-looking physician groups with nearly 62,000 physicians have signed on to actively honor our shared pledge, which is driving meaningful improvement already"
51,"For example, to-date, we've already delivered a 12% reduction in our customers use of opioid pharmaceuticals"
52,"Another example of our focus on communities is the Cigna Health Improvement Tour, a multi-city tour bringing free health screening and health coaching to communities nationwide so people can learn their numbers for four key indicators of chronic health concerns including blood pressure, blood sugar, cholesterol and BMI"
53,"To date, our tour has visited 18 cities and has had interactions with thousands of people"
54,"Our approach to partnering with our communities is another pathway towards creating greater access to more affordable, personalized and a more sustainable healthcare system"
55,"Now as I noted earlier, creating differentiated value for our clients and customers also enables us to deliver differentiated value for you, our shareholders"
56,A part of that value is underscored in our exceptionally strong capital position and strategic financial flexibility at Cigna
57,"We continue to expect to have over $5 billion of deployable capital at the parent company level in 2017, a testament to the strength and capital efficiency of our operating businesses"
58,"Given our under-levered balance sheet, as previous discussed, we also expect a significant increased degree of capital deployment capacity by returning to more normalized leverage ratios"
59,"Consistent with our prior comments, depending on the mix of share repurchase, dividend and M&A, we continue to expect capital deployment capacity of $7 billion to $14 billion in 2017."
60,We remain very well-positioned to deliver attractive shareholder value over the long-term through a combination of strong organic revenue earnings growth and effective capital deployment
61,I'll now briefly touch upon the status of our proposed combination with Anthem
62,"As you saw last week, the U.S"
63,Court of Appeals affirmed the decision of the District Court enjoining the merger
64,This morning Anthem announced that it has filed a petition with the United States Supreme Court seeking a review of the decision by the Court of Appeals
65,"On May 8, there will be a hearing in the Delaware Chancery Court to determine Cigna's rights to terminate the merger agreement"
66,We will update you when there is additional news to share
67,"Now before I hand the call over to Tom, I'd like to reiterate a few key points"
68,The momentum we closed 2016 with has continued into 2017.
69,We've started the year with strong results highlighted by double-digit earnings growth and strength in each of our operating business segments
70,This performance gives us added confidence that we will achieve our increased 2017 earnings outlook which is now a growth rate of 15% to 20% versus 2016.
71,"We're continuing to deliver value with an emphasis on personalization, affordability and being the partner of choice"
72,Over the last couple of years we've positioned ourselves through ongoing investments in innovative capabilities and programs
73,"We are positioned with outstanding capital strength, and as a global health service company we are creating significant value for all of our stakeholders thanks to the passion and dedication of our Cigna colleagues around the world"
74,"And with that, I'll turn the call over to Tom"
75,"Kevin, good morning; it's David"
76,"First, just at a macro level, we're quite pleased with the start of year, and just putting it into context, we set a pretty meaningful earnings growth goal for the organization for 2017 in the 12% to 18% range"
77,and we're quite pleased to start with this strength and raise that outlook to a 15% to 20% range
78,It's early in the year
79,"We feel really good about the fundamentals from the revenue to the customer life growth, to the foundational aspects within the business, and look forward to a very good year"
80,"There's nothing beyond other than a strong start to the year, we feel quite good about raising the outlook, and it's early in the year"
81,", hence we think the raise is appropriate and for an (26:24) appropriate range"
82,"Kevin, I'll just frame it and ask Eric to give you a little bit relative to the way our medical costs more broadly are unfolding"
83,"First off, to put it back in context, we're starting the year again quite positive"
84,"The -- put it back into context, 2016"
85,we delivered another very strong year of below 4% medical cost trend
86,"We set an expectation for ourself for this year of 4.5% to 5.5%, and we're performing well within those -- the construct"
87,We typically don't break out the prior year development by micro line of business
88,Eric can give you a little bit direction there
89,and then the little bit of color relative to just the core medical cost trend we're seeing within the business by some of the categories
90,"First, broadly relative to the PBM, our view relative to the services we need to deliver is that the broad-based pharmacy capabilities are one of the most critical capabilities to have an overall effective health service offering"
91,"To put your question back into context and be clear, today we own and fully operate our PBM and continue to"
92,"We partner where appropriate, and work to actively integrate our capabilities, and we're quite pleased with the outcomes we're delivering for the benefit of our customers, the service, the clinical quality"
93,"Eric just made reference to the sustained medical cost trend in the mid-single digit range, great value for our employer clients"
94,"And importantly, our approach to the integrated PBM presents even a further opportunity to integrate the information, the clinical program, the gap in care closure with our health care professionals"
