,Word,Lemma,POSTag,Shape
0,Good,good,JJ,Xxxx
1,morning,morning,NN,xxxx
2,",",",",",",","
3,everyone,everyone,NN,xxxx
4,",",",",",",","
5,and,and,CC,xxx
6,thank,thank,VBP,xxxx
7,you,-PRON-,PRP,xxx
8,for,for,IN,xxx
9,joining,join,VBG,xxxx
10,our,-PRON-,PRP$,xxx
11,call,call,NN,xxxx
12,today,today,NN,xxxx
13,"
","
",_SP,"
"
14,Before,before,IN,Xxxxx
15,we,-PRON-,PRP,xx
16,get,get,VBP,xxx
17,started,start,VBN,xxxx
18,",",",",",",","
19,I,-PRON-,PRP,X
20,'d,would,MD,'x
21,like,like,VB,xxxx
22,to,to,TO,xx
23,take,take,VB,xxxx
24,a,a,DT,x
25,moment,moment,NN,xxxx
26,to,to,TO,xx
27,thank,thank,VB,xxxx
28,Tom,Tom,NNP,Xxx
29,McCarthy,McCarthy,NNP,XxXxxxx
30,for,for,IN,xxx
31,his,-PRON-,PRP$,xxx
32,many,many,JJ,xxxx
33,years,year,NNS,xxxx
34,of,of,IN,xx
35,service,service,NN,xxxx
36,with,with,IN,xxxx
37,Cigna,Cigna,NNP,Xxxxx
38,"
","
",_SP,"
"
39,As,as,IN,Xx
40,you,-PRON-,PRP,xxx
41,know,know,VBP,xxxx
42,Tom,Tom,NNP,Xxx
43,announced,announce,VBD,xxxx
44,his,-PRON-,PRP$,xxx
45,retirement,retirement,NN,xxxx
46,this,this,DT,xxxx
47,past,past,JJ,xxxx
48,February,February,NNP,Xxxxx
49,"
","
",_SP,"
"
50,Tom,Tom,NNP,Xxx
51,has,have,VBZ,xxx
52,not,not,RB,xxx
53,only,only,RB,xxxx
54,been,be,VBN,xxxx
55,an,an,DT,xx
56,instrumental,instrumental,JJ,xxxx
57,leader,leader,NN,xxxx
58,within,within,IN,xxxx
59,our,-PRON-,PRP$,xxx
60,organization,organization,NN,xxxx
61,for,for,IN,xxx
62,more,more,JJR,xxxx
63,than,than,IN,xxxx
64,three,three,CD,xxxx
65,decades,decade,NNS,xxxx
66,with,with,IN,xxxx
67,considerable,considerable,JJ,xxxx
68,accomplishments,accomplishment,NNS,xxxx
69,and,and,CC,xxx
70,contributions,contribution,NNS,xxxx
71,to,to,IN,xx
72,our,-PRON-,PRP$,xxx
73,growth,growth,NN,xxxx
74,and,and,CC,xxx
75,success,success,NN,xxxx
76,",",",",",",","
77,he,-PRON-,PRP,xx
78,'s,be,VBZ,'x
79,also,also,RB,xxxx
80,a,a,DT,x
81,good,good,JJ,xxxx
82,friend,friend,NN,xxxx
83,to,to,IN,xx
84,many,many,JJ,xxxx
85,of,of,IN,xx
86,us,-PRON-,PRP,xx
87,",",",",",",","
88,and,and,CC,xxx
89,we,-PRON-,PRP,xx
90,'ll,will,MD,'xx
91,miss,miss,VB,xxxx
92,him,-PRON-,PRP,xxx
93,on,on,IN,xx
94,a,a,DT,x
95,both,both,CC,xxxx
96,personal,personal,JJ,xxxx
97,and,and,CC,xxx
98,professional,professional,JJ,xxxx
99,level,level,NN,xxxx
100,"
","
",_SP,"
"
101,Tom,Tom,NNP,Xxx
102,'s,'s,POS,'x
103,excited,excited,JJ,xxxx
104,to,to,TO,xx
105,start,start,VB,xxxx
106,his,-PRON-,PRP$,xxx
107,next,next,JJ,xxxx
108,chapter,chapter,NN,xxxx
109,and,and,CC,xxx
110,I,-PRON-,PRP,X
111,know,know,VBP,xxxx
112,you,-PRON-,PRP,xxx
113,'ll,will,MD,'xx
114,join,join,VB,xxxx
115,me,-PRON-,PRP,xx
116,in,in,IN,xx
117,wishing,wish,VBG,xxxx
118,him,-PRON-,PRP,xxx
119,and,and,CC,xxx
120,Linda,Linda,NNP,Xxxxx
121,(,(,-LRB-,(
122,3:51,3:51,CD,d:dd
123,),),-RRB-,)
124,all,all,PDT,xxx
125,the,the,DT,xxx
126,best,good,JJS,xxxx
127,in,in,IN,xx
128,his,-PRON-,PRP$,xxx
129,upcoming,upcoming,JJ,xxxx
130,retirement,retirement,NN,xxxx
131,"
","
",_SP,"
"
132,Also,also,RB,Xxxx
133,",",",",",",","
134,Eric,Eric,NNP,Xxxx
135,Palmer,Palmer,NNP,Xxxxx
136,will,will,MD,xxxx
137,be,be,VB,xx
138,stepping,step,VBG,xxxx
139,into,into,IN,xxxx
140,our,-PRON-,PRP$,xxx
141,CFO,cfo,NN,XXX
142,role,role,NN,xxxx
143,the,the,DT,xxx
144,summer,summer,NN,xxxx
145,"
","
",_SP,"
"
146,Eric,Eric,NNP,Xxxx
147,'s,be,VBZ,'x
148,a,a,DT,x
149,proven,proven,NN,xxxx
150,financially,financially,RB,xxxx
151,leader,leader,NN,xxxx
152,with,with,IN,xxxx
153,a,a,DT,x
154,strong,strong,JJ,xxxx
155,track,track,NN,xxxx
156,record,record,NN,xxxx
157,of,of,IN,xx
158,accomplishments,accomplishment,NNS,xxxx
159,over,over,IN,xxxx
160,his,-PRON-,PRP$,xxx
161,20,20,CD,dd
