,Sentences
0,"Well, thanks, Nancy"
1,"Good morning, everyone, and thanks for joining us"
2,The solid fourth quarter results we posted today nicely wrap up our 2016 year
3,"And for the full year, consolidated net revenue increased 15.8%, with operating profit growing 8.3% and adjusted earnings per share increasing 13.2% with strong results across the enterprise"
4,And the growth rates I'm citing are on a comparable basis and you can find the non-GAAP adjustments on the slides we posted on our website
5,"Now, as expected, enterprise growth in the fourth quarter was solid with consolidated net revenues increasing 11.7%, operating profit increasing 4.6%, and adjusted EPS increasing 11.8% to $1.71, a penny above the high-end of our guidance"
6,"In the fourth quarter, operating profit in the Retail/Long Term Care segment was in line with expectations and operating profit in the PBM segment was ahead of expectations"
7,"We generated approximately $1.5 billion of free cash during the quarter and $8.1 billion for the full year, above the high-end of our guidance range"
8,And we'll continue to be thoughtful and discipline with respect to using our strong cash generation capabilities to return value to shareholders
9,"For 2017, we are confirming the EPS and cash flow guidance we provided at our Analyst Day in December, and Dave will review the guidance details in his remarks"
10,"Now, before turning to the business update, I want to touch on a few areas of investor interest"
11,"And let me start on the topic of DIR within the Medicare Part D program, so we can correct some false and misleading statements in the marketplace which suggested that DIR performance network-based fees represent a material risk to our company; a statement that could not be further from the truth"
12,So here's what you need to know about DIR
13,"First, DIR includes any rebates, any discounts or other price concessions that are unknown at the point-of-sale; and DIR, ultimately, is utilized to reduce the net cost of the Med D program"
14,The second point; DIR performance network fees charged to pharmacies are allowed under CMS regulations
15,They're fully passed through from the PBM to their clients
16,They are fully disclosed as part of the annual bid process
17,"And, again, are ultimately used and reflected to help lower member premiums"
18,"As a matter of fact, member premiums over a five-year period have increased at a CAGR of just 1.7%"
19,So you can see the positive impact this is having on controlling costs
20,"The third point, and for the reasons just mentioned, CVS Caremark does not keep or profit from performance network-based DIR"
21,"And as a reminder to everyone, both CVS Pharmacy and CVS Specialty participate in the same performance network programs being called into question"
22,"The fourth point, network pharmacy providers are proactively informed of, and educated on, program details including their forecasted financial impact in advance of program implementation"
23,"And the fifth and final point, any suggestion that Part D plans favor high-priced drugs to drive people through the benefit and into catastrophic coverage faster is erroneous, and the data proves that"
24,"In fact, the percentage of our beneficiaries reaching the coverage gap and ultimately catastrophic coverage has decreased over the past several years and is a relatively small percentage of our overall population"
25,"Now, we don't think DIR is likely to go away given its effectiveness in helping to lower premiums"
26,"But hypothetically, if it were to go away, there would be a level playing field, we would remain quite competitive, and we would not expect any material impact on our business"
27,So I hope this clears up the gross misunderstandings surrounding DIR with the simple statements of fact
28,"So with that, let me move on to the topic of the potential repeal and replacement of the ACA"
29,"We believe it's important to provide affordable coverage for all Americans, which both Democrats and Republicans have acknowledged"
30,"However, at this point, it's extremely difficult for us to comment on the possible scenarios that may play out in the coming months"
31,"And that said, CVS Health can pivot to address policy changes, help reduce healthcare costs, and bring meaningful solutions to the marketplace"
32,I also want to address the ongoing rhetoric around drug pricing
33,"And whether it's new launches at elevated price points or increasing prices of older drugs, those contributing to a sense that government interventions are necessary and any suggestion that PBMs are causing drug prices to rise is simply erroneous"
34,We are the solution and not the problem
35,And that's why both public and private payers continue to count on PBMs as indispensable partners that help to manage their drug trend
36,"And numerous evaluations from the FTC, or the Congressional Budget Office and other government agencies have consistently concluded that PBMs operate in a highly efficient market and drive real savings to the healthcare economy"
37,And our CVS Caremark solutions have helped reduce crime client costs from an unmanaged gross trend of 11.8% to a managed trend of 3.3%; and those results are for the first three quarters of 2016.
38,"In addition, a recent industry study showed that every dollar invested in PBM services returned $6 in savings for clients and members"
39,So the value of PBMs is quantitatively pretty clear
40,And one additional topic that we've received a lot of questions about centers on the potential impact of corporate tax reform
41,"As you know, we are at the highest end of corporate tax payers given our domestic profile, with an effective tax rate around 39%"
42,"And the details of tax reform certainly will matter, and today, while there's a lot of discussion, nothing has been reduced to writing"
43,But suffice to say that a fairer tax code that includes a meaningful reduction in the effective corporate tax rate would allow CVS to unlock even greater economic opportunities
44,"So we certainly look forward to continuing to engage in the dialogue around all of these issues that may impact our industry, our business, and the clients and customers that we serve"
45,"So let me turn now to the business update, and I'll start with the 2017 PBM selling season"
46,"Our gross and net client wins are slightly higher that at Analyst Day with gross wins totaling nearly $7.9 billion, net new business around 4.4 billion and a client retention rate of around 97%"
47,"And these numbers exclude enrollment results from our SilverScript PDP, which I'll touch on shortly"
48,"In addition, I'm pleased to say that we have had an outstanding welcome season, continuing our record of strong implementations over the last few years"
49,"We processed significant more transactions during this year's welcome season, and client satisfaction showed continued improvement across all business lines reaching record performance levels"
50,"And while we remain committed to improving and advancing every day, we continue to believe the investments we made in quality, automation and customer focus are delivering measurable value to our clients year after year"
51,"Looking ahead, we have about 23 billion up for renewal in 2018, which is comparable with prior years from a percent of business perspective"
52,"As for new business, it's pretty early to gauge the full extent of RFP activities in the 2018 selling season"
53,"And our strong service history, our size and scale, and our unique suite of capabilities gives us the tools we need to be successful in retaining business and winning in the marketplace as opportunities arise"
54,"Now, as we've discussed many times, top of mind for our clients continues to be managing their rapidly growing specialty trend"
55,And we offer a comprehensive set of solutions and continue to see solid growth in specialty
56,"And specialty revenues increased 12% in the fourth quarter, continuing to outpace the market"
57,"Our Medicare Part D business, SilverScript, wrapped up another successful annual enrollment period and retained its position as the number one PDP spots"
58,"We began the 2017 plan year with more than 5.5 million captive PDP lives and that includes EGWPs, and that's up about 10% from January of the prior year"
59,"When adding the Med D lives we manage for our health plan clients, the non-captive lives, the total rises to 12.3 million Med D lies under management"
60,And you can find a reconciliation of the Med D lives in the posted slides
61,"Now, moving on to the fourth quarter results and the Retail/ Long Term Care business, same-store prescription volumes increased 2%"
62,That's on a 30-day equivalent basis
63,"Total same-store sales decreased 0.7%, with pharmacy same-store sales up 0.2%"
64,Our pharmacy comps were negatively impacted by about 380 basis points due to recent generic introductions
65,And they were also negatively impacted by the decision to restrict CVS out of the TRICARE network
66,"And as we said on our last call, that network changes communicated in early October with a December 1 effective date"
67,And we saw these scripts begin to migrate out of our stores during the fourth quarter and in line with our expectations
68,Let me touch briefly on the CVS pharmacies within the Target stores
69,"And now that the integration is behind us, we're seeing improving script performance versus prior quarters; and this is being driven by the strength of our patient care programs and Maintenance Choice"
70,The Target pharmacies have also exhibited a solid operational foundation providing high levels of service to our patients
71,So we're making good progress since completing the integration activities and moving in the right direction
72,"In our Long Term Care pharmacy business, we continue to target the significant growth opportunities we see in the Assisted and Independent Living markets"
73,And we're focused on creating better solutions that meet the need of senior living communities and their residents
74,"And we're taking advantage of all of our enterprise assets, including CVS Pharmacy, our infusion properties and MinuteClinic"
75,"And we launched some new programs in these settings during 2016, we're piloting others in early 2017 and we'll have more on these programs in the coming quarters"
76,"Before turning to the front store, let me highlight our recent announcement on generic epinephrine"
77,"Given the urgent need in the marketplace for a less expensive epinephrine auto-injector for patients with life-threatening allergies, we partnered with Impax to purchase their product at a price lower than similar brand or authorized generic products"
78,"And we now have available at all CVS Pharmacy locations the authorized generic for Adrenaclick at a cash price of about $110, a price that's 80% lower than that of the brand competition in the market"
79,"And this move is consistent with the fact that increasing competition within therapeutic drug classes is a way to reduce the cost of prescription drugs, and we're using our capabilities and our scale to do just that"
80,"Turning to the front store business, comps decreased 2.9% as a result of softer customer traffic, combined with our continued focus on increasing personalization and rationalizing our promotional strategies"
81,"At the same time, front store gross margin once again improved in the quarter versus last year"
82,"And keep in mind that our front store business accounts for about 11% of our enterprise revenues, and these personalization efforts are allowing us to invest our promotional spend in a differentiated way producing margin flow-through"
83,"In fact, we have started to further reduce mass promotion in 2017 to better serve our loyal customers and continue driving profitable front store sales"
84,"We continue to focus on growing our beauty, healthcare and personal care businesses, and recognizing the growing presence in the digital market, we've been focused on enhancing our online capabilities to create an integrated health and pharmacy experience that only CVS can provide"
