,Word,Lemma,POSTag,Shape
0,Well,well,UH,Xxxx
1,",",",",",",","
2,thanks,thank,NNS,xxxx
3,",",",",",",","
4,Nancy,Nancy,NNP,Xxxxx
5,"
","
",_SP,"
"
6,Good,good,JJ,Xxxx
7,morning,morning,NN,xxxx
8,",",",",",",","
9,everyone,everyone,NN,xxxx
10,",",",",",",","
11,and,and,CC,xxx
12,thanks,thank,NNS,xxxx
13,for,for,IN,xxx
14,joining,join,VBG,xxxx
15,us,-PRON-,PRP,xx
16,"
","
",_SP,"
"
17,The,the,DT,Xxx
18,solid,solid,JJ,xxxx
19,fourth,fourth,JJ,xxxx
20,quarter,quarter,NN,xxxx
21,results,result,NNS,xxxx
22,we,-PRON-,PRP,xx
23,posted,post,VBD,xxxx
24,today,today,NN,xxxx
25,nicely,nicely,RB,xxxx
26,wrap,wrap,VB,xxxx
27,up,up,RP,xx
28,our,-PRON-,PRP$,xxx
29,2016,2016,CD,dddd
30,year,year,NN,xxxx
31,"
","
",_SP,"
"
32,And,and,CC,Xxx
33,for,for,IN,xxx
34,the,the,DT,xxx
35,full,full,JJ,xxxx
36,year,year,NN,xxxx
37,",",",",",",","
38,consolidated,consolidated,JJ,xxxx
39,net,net,JJ,xxx
40,revenue,revenue,NN,xxxx
41,increased,increase,VBD,xxxx
42,15.8,15.8,CD,dd.d
43,%,%,NN,%
44,",",",",",",","
45,with,with,IN,xxxx
46,operating,operate,VBG,xxxx
47,profit,profit,NN,xxxx
48,growing,grow,VBG,xxxx
49,8.3,8.3,CD,d.d
50,%,%,NN,%
51,and,and,CC,xxx
52,adjusted,adjust,VBN,xxxx
53,earnings,earning,NNS,xxxx
54,per,per,IN,xxx
55,share,share,NN,xxxx
56,increasing,increase,VBG,xxxx
57,13.2,13.2,CD,dd.d
58,%,%,NN,%
59,with,with,IN,xxxx
60,strong,strong,JJ,xxxx
61,results,result,NNS,xxxx
62,across,across,IN,xxxx
63,the,the,DT,xxx
64,enterprise,enterprise,NN,xxxx
65,"
","
",_SP,"
"
66,And,and,CC,Xxx
67,the,the,DT,xxx
68,growth,growth,NN,xxxx
69,rates,rate,NNS,xxxx
70,I,-PRON-,PRP,X
71,'m,be,VBP,'x
72,citing,cite,VBG,xxxx
73,are,be,VBP,xxx
74,on,on,IN,xx
75,a,a,DT,x
76,comparable,comparable,JJ,xxxx
77,basis,basis,NN,xxxx
78,and,and,CC,xxx
79,you,-PRON-,PRP,xxx
80,can,can,MD,xxx
81,find,find,VB,xxxx
82,the,the,DT,xxx
83,non,non,JJ,xxx
84,-,-,JJ,-
85,GAAP,gaap,JJ,XXXX
86,adjustments,adjustment,NNS,xxxx
87,on,on,IN,xx
88,the,the,DT,xxx
89,slides,slide,NNS,xxxx
90,we,-PRON-,PRP,xx
91,posted,post,VBD,xxxx
92,on,on,IN,xx
93,our,-PRON-,PRP$,xxx
94,website,website,NN,xxxx
95,"
","
",_SP,"
"
96,Now,now,RB,Xxx
97,",",",",",",","
98,as,as,IN,xx
99,expected,expect,VBN,xxxx
100,",",",",",",","
101,enterprise,enterprise,NN,xxxx
102,growth,growth,NN,xxxx
103,in,in,IN,xx
104,the,the,DT,xxx
105,fourth,fourth,JJ,xxxx
106,quarter,quarter,NN,xxxx
107,was,be,VBD,xxx
108,solid,solid,JJ,xxxx
109,with,with,IN,xxxx
110,consolidated,consolidated,JJ,xxxx
111,net,net,JJ,xxx
112,revenues,revenue,NNS,xxxx
113,increasing,increase,VBG,xxxx
114,11.7,11.7,CD,dd.d
115,%,%,NN,%
116,",",",",",",","
117,operating,operate,VBG,xxxx
118,profit,profit,NN,xxxx
119,increasing,increase,VBG,xxxx
120,4.6,4.6,CD,d.d
121,%,%,NN,%
122,",",",",",",","
123,and,and,CC,xxx
124,adjusted,adjust,VBD,xxxx
125,EPS,EPS,NNP,XXX
126,increasing,increase,VBG,xxxx
127,11.8,11.8,CD,dd.d
128,%,%,NN,%
129,to,to,IN,xx
130,$,$,$,$
131,1.71,1.71,CD,d.dd
132,",",",",",",","
133,a,a,DT,x
134,penny,penny,NN,xxxx
135,above,above,IN,xxxx
136,the,the,DT,xxx
