,Sentences
0,"Thanks, George, and thanks to everyone joining us on the call today"
1,"In my comments this morning, I'll first provide some context around our third quarter performance"
2,"Then, I'll review the expectations we detailed a couple of weeks ago for our full fiscal year"
3,"At this time, we don't have any updates to our FY 2018 or FY 2019 early thoughts we provided on April 18, so I won't say anything more, other than our leadership team has a strong sense of optimism and accountability"
4,We are managing the company with discipline and for the long-term
5,"Please note that, with all of my comments, I'll begin with GAAP, and then provide the comparable non-GAAP figure"
6,"The slide presentation on our website should be a helpful guide throughout this discussion, as it includes our GAAP to non-GAAP reconciliation tables"
7,"Starting on slide 4 with our consolidated company results, our third-quarter GAAP diluted EPS was $1.20 and non-GAAP diluted EPS was $1.53, an increase of 3% and 7%, respectively"
8,Note that both the GAAP and non-GAAP diluted EPS for the quarter benefited from a lower effective tax rate and fewer outstanding shares as compared to the prior year
9,Total company revenues grew 4% versus the prior year to $31.8 billion
10,"Consolidated GAAP and non-GAAP gross margin dollars increased by 2% and 1%, respectively"
11,"GAAP gross margin rates were down 8 basis points for the quarter, while non-GAAP gross margin rates were down 15 basis points, primarily due to generic pharmaceutical pricing"
12,Consolidated company SG&A increased 5% from the prior year
13,"Since we have lapped our significant acquisitions, the growth is mainly driven by the costs associated with our pharma IT system refresh, new Medical segment business wins, and Cordis infrastructure expense, partially offset by assumptions around incentive compensation"
14,"As you would expect, we continue to be disciplined in our expense management"
15,"Both GAAP and non-GAAP operating earnings declined in the quarter versus the prior year by 8% and 4%, respectively"
16,"Moving below the operating line, net interest and other expense was $41 million, a 7% decrease over the prior year"
17,"This decrease was driven by deferred compensation income, which has an equal offset in SG&A expense, so there is no net impact to EPS from this favorable variance"
18,"For the third quarter, the GAAP and non-GAAP effective tax rate was 32.3%, down 4.6 and 4.3 percentage points, respectively, versus the prior year"
19,This improvement was due to a few favorable discrete items in the quarter
20,"Diluted weighted average shares outstanding were 318 million, 13 million fewer shares than the third quarter in the prior year"
21,"During the quarter, we did not repurchase any shares and, as of the end of the quarter, had $443 million remaining on our board-authorized share repurchase program"
22,"During the quarter, we had net operating cash outflows of $198 million"
23,"We ended the quarter with a cash balance, including short-term investments, of $1.6 billion, with $514 million held outside the United States"
24,"While we don't typically provide cash flow forecast or guidance, we do expect to generate significant cash in the fourth quarter"
25,"Consequently, as we shared with you on April 18, about $1.6 billion of cash on hand will be used during the first quarter of FY 2018, when we expect to close the purchase of the Patient Recovery business from Medtronic"
