,Word,Lemma,POSTag,Shape
0,Thanks,thanks,UH,Xxxxx
1,",",",",",",","
2,George,George,NNP,Xxxxx
3,",",",",",",","
4,and,and,CC,xxx
5,thanks,thank,NNS,xxxx
6,to,to,IN,xx
7,everyone,everyone,NN,xxxx
8,joining,join,VBG,xxxx
9,us,-PRON-,PRP,xx
10,on,on,IN,xx
11,the,the,DT,xxx
12,call,call,NN,xxxx
13,today,today,NN,xxxx
14,"
","
",_SP,"
"
15,In,in,IN,Xx
16,my,-PRON-,PRP$,xx
17,comments,comment,NNS,xxxx
18,this,this,DT,xxxx
19,morning,morning,NN,xxxx
20,",",",",",",","
21,I,-PRON-,PRP,X
22,'ll,will,MD,'xx
23,first,first,RB,xxxx
24,provide,provide,VB,xxxx
25,some,some,DT,xxxx
26,context,context,NN,xxxx
27,around,around,IN,xxxx
28,our,-PRON-,PRP$,xxx
29,third,third,JJ,xxxx
30,quarter,quarter,NN,xxxx
31,performance,performance,NN,xxxx
32,"
","
",_SP,"
"
33,Then,then,RB,Xxxx
34,",",",",",",","
35,I,-PRON-,PRP,X
36,'ll,will,MD,'xx
37,review,review,VB,xxxx
38,the,the,DT,xxx
39,expectations,expectation,NNS,xxxx
40,we,-PRON-,PRP,xx
41,detailed,detail,VBD,xxxx
42,a,a,DT,x
43,couple,couple,NN,xxxx
44,of,of,IN,xx
45,weeks,week,NNS,xxxx
46,ago,ago,RB,xxx
47,for,for,IN,xxx
48,our,-PRON-,PRP$,xxx
49,full,full,JJ,xxxx
50,fiscal,fiscal,JJ,xxxx
51,year,year,NN,xxxx
52,"
","
",_SP,"
"
53,At,at,IN,Xx
54,this,this,DT,xxxx
55,time,time,NN,xxxx
56,",",",",",",","
57,we,-PRON-,PRP,xx
58,do,do,VBP,xx
59,n't,not,RB,x'x
60,have,have,VB,xxxx
61,any,any,DT,xxx
62,updates,update,NNS,xxxx
63,to,to,IN,xx
64,our,-PRON-,PRP$,xxx
65,FY,fy,NN,XX
66,2018,2018,CD,dddd
67,or,or,CC,xx
68,FY,fy,NN,XX
69,2019,2019,CD,dddd
70,early,early,JJ,xxxx
71,thoughts,thought,NNS,xxxx
72,we,-PRON-,PRP,xx
73,provided,provide,VBD,xxxx
74,on,on,IN,xx
