,Word,Lemma,POSTag,Shape
0,Thank,thank,VBP,Xxxxx
1,you,-PRON-,PRP,xxx
2,",",",",",",","
3,Kent,Kent,NNP,Xxxx
4,",",",",",",","
5,and,and,CC,xxx
6,good,good,JJ,xxxx
7,afternoon,afternoon,NN,xxxx
8,"
","
",_SP,"
"
9,Q1,Q1,NNP,Xd
10,was,be,VBD,xxx
11,in,in,IN,xx
12,line,line,NN,xxxx
13,with,with,IN,xxxx
14,what,what,WP,xxxx
15,we,-PRON-,PRP,xx
16,expected,expect,VBD,xxxx
17,in,in,IN,xx
18,Kidney,Kidney,NNP,Xxxxx
19,Care,care,NN,Xxxx
20,"
","
",_SP,"
"
21,I,-PRON-,PRP,X
22,'ll,will,MD,'xx
23,summarize,summarize,VB,xxxx
24,the,the,DT,xxx
25,financial,financial,JJ,xxxx
26,performance,performance,NN,xxxx
27,and,and,CC,xxx
28,discuss,discuss,VB,xxxx
29,some,some,DT,xxxx
30,of,of,IN,xx
31,the,the,DT,xxx
32,key,key,JJ,xxx
33,business,business,NN,xxxx
34,drivers,driver,NNS,xxxx
35,"
","
",_SP,"
"
36,Non,non,JJ,Xxx
37,-,-,JJ,-
38,acquired,acquired,JJ,xxxx
39,growth,growth,NN,xxxx
40,for,for,IN,xxx
41,the,the,DT,xxx
42,quarter,quarter,NN,xxxx
43,was,be,VBD,xxx
44,3.8,3.8,CD,d.d
45,%,%,NN,%
46,",",",",",",","
47,which,which,WDT,xxxx
48,is,be,VBZ,xx
49,within,within,IN,xxxx
50,the,the,DT,xxx
51,range,range,NN,xxxx
52,of,of,IN,xx
53,our,-PRON-,PRP$,xxx
54,long,long,JJ,xxxx
55,-,-,HYPH,-
56,term,term,NN,xxxx
57,expectation,expectation,NN,xxxx
58,of,of,IN,xx
59,3.5,3.5,CD,d.d
60,%,%,NN,%
61,to,to,TO,xx
62,4.5,4.5,CD,d.d
63,%,%,NN,%
64,on,on,IN,xx
65,an,an,DT,xx
66,annual,annual,JJ,xxxx
67,basis,basis,NN,xxxx
68,"
","
",_SP,"
"
69,Our,-PRON-,PRP$,Xxx
70,adjusted,adjusted,JJ,xxxx
71,operating,operating,NN,xxxx
72,income,income,NN,xxxx
73,was,be,VBD,xxx
74,$,$,$,$
75,380,380,CD,ddd
76,million,million,CD,xxxx
77,for,for,IN,xxx
78,the,the,DT,xxx
79,quarter,quarter,NN,xxxx
80,"
","
",_SP,"
"
81,The,the,DT,Xxx
82,decrease,decrease,NN,xxxx
83,versus,versus,IN,xxxx
84,fourth,fourth,JJ,xxxx
85,quarter,quarter,NN,xxxx
86,of,of,IN,xx
87,2016,2016,CD,dddd
88,was,be,VBD,xxx
89,driven,drive,VBN,xxxx
90,by,by,IN,xx
91,both,both,DT,xxxx
92,normal,normal,JJ,xxxx
93,seasonal,seasonal,JJ,xxxx
94,factors,factor,NNS,xxxx
95,and,and,CC,xxx
96,other,other,JJ,xxxx
97,factors,factor,NNS,xxxx
98,that,that,WDT,xxxx
99,we,-PRON-,PRP,xx
100,outlined,outline,VBD,xxxx
101,as,as,IN,xx
102,part,part,NN,xxxx
103,of,of,IN,xx
104,our,-PRON-,PRP$,xxx
105,2017,2017,CD,dddd
106,guidance,guidance,NN,xxxx
107,"
","
",_SP,"
"
108,Let,let,VB,Xxx
109,me,-PRON-,PRP,xx
110,elaborate,elaborate,VB,xxxx
111,on,on,IN,xx
112,each,each,DT,xxxx
113,"
","
",_SP,"
"
114,First,first,RB,Xxxxx
115,",",",",",",","
116,there,there,EX,xxxx
117,were,be,VBD,xxxx
118,normal,normal,JJ,xxxx
119,seasonal,seasonal,JJ,xxxx
120,factors,factor,NNS,xxxx
121,",",",",",",","
122,including,include,VBG,xxxx
123,higher,high,JJR,xxxx
124,EPO,EPO,NNP,XXX
125,utilization,utilization,NN,xxxx
126,due,due,IN,xxx
127,to,to,IN,xx
128,the,the,DT,xxx
129,flu,flu,NN,xxx
130,season,season,NN,xxxx
131,",",",",",",","
132,higher,high,JJR,xxxx
133,payroll,payroll,NN,xxxx
134,taxes,taxis,NNS,xxxx
135,in,in,IN,xx
