,Sentences
0,"Thank you, David"
1,"We're pleased to report strong fourth quarter results, which contributed to another successful year for Edwards, as we strengthened our financial performance and product leadership across our portfolio"
2,Robust demand for TAVR therapy continued through the end of the year and better than we forecasted at our December 2016 Investor Conference
3,"We ended the quarter with total sales of $768 million, an increase of 15% on an underlying basis, and finished the year strong with global sales of nearly $3 billion, representing an underlying annual growth rate of 19%"
4,And I'm proud to report we invested aggressively to bring new medical technologies to more patients and drive future growth
5,"In Transcatheter Heart Valves, global sales were $432 million, up 32% on an underlying basis over the prior year"
6,Growth was led by continued strong adoption across all geographies with notable strength in the U.S
7,and Japan
8,"Globally, average selling prices were stable"
9,In the U.S
10,", Transcatheter Heart Valves sales for the quarter were $267 million and grew 41% on an underlying basis versus the prior year"
11,"Once again, overall performance was strong with procedures growing broadly across more than 500 hospitals in both large and small TAVR programs"
12,The growth continues to be driven by the extraordinary patient outcomes with SAPIEN 3 reported from the PARTNER II trial earlier in 2016.
13,Outside the U.S
14,", underlying THV sales grew 19%"
15,"We continue to be encouraged by the strong global adoption of TAVR therapy, particularly outside of Europe, where overall therapy penetration is still very low"
16,"In Europe, consistent with previous quarters, growth in countries with lower TAVR adoption continued to outpace countries where therapy is more established"
17,We estimate total TAVR procedure growth in Europe was approximately 15% in the fourth quarter compared to last year
18,"Our growth rate was lower, as anticipated, due to the impact of lower sales in France"
19,"As a remainder, we significantly reduced shipments in the third and fourth quarter, while we were negotiating a resolution to the French policy that effectively limited the number of TAVR procedures in 2016."
20,"Although the policy was adjusted and we resumed shipments, we estimate fourth quarter sales would have been about $10 million higher absent this interruption"
21,"Turning to our near-term product pipeline, we continue to expect that our new Ultra system, featuring an on-balloon delivery system and next-generation sheath technology, will be launched in Europe in the second half of 2017."
22,And we remain on track to receive a CE Mark for our CENTERA system in the second half of 2017.
23,"As we discussed at our Investor Conference in December, we continue to believe the global TAVR opportunity will exceed $5 billion by 2021 for patients with severe symptomatic aortic stenosis"
24,"We believe the prevalence of this disease is large, generating an even greater need for TAVR therapy"
25,"Additionally, we believe TAVR will benefit the many patients suffering from severe AS, who have not yet been diagnosed with symptoms as well as moderate AS patient populations, representing an opportunity for continued growth beyond 2021."
26,We are continuing to enroll our PARTNER III low-risk trial with the goal to have this randomized trial fully enrolled this year
27,"As we announced today, we received FDA approval for EARLY-TAVR, our groundbreaking trial that will study patients diagnosed with severe AS who have not yet developed symptoms"
28,"Approximately 1,000 patients across 65 centers will be randomized to receive either transfemoral SAPIEN 3 or clinical surveillance"
29,We're beginning the contracting process with hospitals and expect them to begin enrolling later this year
30,"In summary, while we exited 2016 higher than we forecasted in December, our 2017 THV sales guidance remains unchanged and we expect to achieve 15% to 20% underlying growth"
31,"As expected, this represents a slower THV growth rate compared to 2016 and is consistent with our estimate of more than $5 billion TAVR opportunity by 2021."
32,"Turning to Surgical Heart Valve Therapy, sales for the fourth quarter were $189 million and were down about 4% compared to last year, driven by lower aortic valve sales in the U.S"
33,Surgical Heart Valve sales were lower primarily due to the impact of SAPIEN 3 and the continued constrained mitral supply
34,"Globally, our average selling prices were slightly higher due to the growth of our advanced EDWARDS INTUITY Elite valve system"
35,"Looking forward, we believe the launches of our new surgical therapies will offset the TAVR impact in 2017."
36,This includes our EDWARDS INTUITY Elite valve system which is launched in multiple geographies globally and is currently expanding to additional commercial centers in the U.S
37,with growing momentum
38,We also plan to launch our INSPIRIS RESILIA aortic valve in Europe and the U.S
39,This is a first of a newly created class of resilient heart valves that incorporates the advanced RESILIA tissue
40,"This valve leverages features of the trusted PERIMOUNT family and includes the proprietary VFit technology, which is designed for potential future valve-in-valve procedures"
41,We believe INSPIRIS addresses the specific needs of active patients and those who would have previously received a mechanical valve
42,"In summary, Surgical Heart Valve results were below expectations in 2016."
43,"However, we believe the introduction of our next-generation platforms to lift overall underlying sales growth to 1% to 3% in 2017."
44,"In the Critical Care product group, sales for the quarter were $146 million and grew 3% on an underlying basis"
45,Our growth was driven by our Enhanced Surgical Recovery Program in the U.S
46,and developing markets
47,"As we announced at our Investor Conference, during the quarter, we received a CE Mark for our next-generation advanced monitoring platform, HemoSphere"
48,"This all-in-one system will provide greater clarity on a patient's hemodynamic status to enable clinicians to make timely, potentially lifesaving decisions"
49,We anticipate a U.S
50,"regulatory clearance later this year, and a commercial rollout of the base platform"
51,HemoSphere is modular in design and we will later add Enhanced Surgical Recovery capabilities in the future
52,"And, we remain on track for a 2017 European launch of our Acumen HPI software suite with our new FloTrac IQ Smart Disposable"
53,This is a first of a kind hypotension or low blood pressure probability indicator during monitoring
54,"In 2017, we continue to expect our Critical Care underlying sales growth to be between 5% and 7%"
55,"Now, for an update on several of our new transcatheter mitral and tricuspid therapies"
56,"Last week, we were pleased to announce that we completed the acquisition of Valtech Cardio, the developer of the Cardioband System for transcatheter repair of mitral and tricuspid valves"
57,We're in the process of welcoming and integrating this talented team to Edwards
58,"Our 2017 financial guidance provided at our Investor Conference in December included the expected financial impact of this transaction, which Scott will discuss in a few minutes"
59,"As a reminder, the mitral application of Cardioband has received a CE Mark in Europe and we're building a European field organization to begin training heart teams to perform this therapy"
60,"Additionally, prior to close, Valtech received a conditional approval to begin an IDE trial of Cardioband in the U.S"
61,We're now assessing the trial design and expect enrollment to begin later this year
62,"The Cardioband System for tricuspid regurgitation is in a CE Mark trial, which we expect to be fully enrolled in 2017."
63,"In the Edwards CardiAQ program for transcatheter mitral replacement, we are focused on transseptal delivery"
64,"As we indicated during the Investor Conference, we're implementing key clinical learnings sequentially from our U.S"
65,early feasibility study
66,"Consistent with this approach, we recently paused enrollment in our clinical trials to perform further design validation testing on a feature of our valve"
67,"If we see positive results from the test, we expect to resume clinical trial enrollment in the second quarter"
