,Word,Lemma,POSTag,Shape
0,Thank,thank,VBP,Xxxxx
1,you,-PRON-,PRP,xxx
2,",",",",",",","
3,David,David,NNP,Xxxxx
4,"
","
",_SP,"
"
5,We,-PRON-,PRP,Xx
6,'re,be,VBP,'xx
7,pleased,pleased,JJ,xxxx
8,to,to,TO,xx
9,report,report,VB,xxxx
10,strong,strong,JJ,xxxx
11,fourth,fourth,JJ,xxxx
12,quarter,quarter,NN,xxxx
13,results,result,NNS,xxxx
14,",",",",",",","
15,which,which,WDT,xxxx
16,contributed,contribute,VBD,xxxx
17,to,to,IN,xx
18,another,another,DT,xxxx
19,successful,successful,JJ,xxxx
20,year,year,NN,xxxx
21,for,for,IN,xxx
22,Edwards,Edwards,NNP,Xxxxx
23,",",",",",",","
24,as,as,IN,xx
25,we,-PRON-,PRP,xx
26,strengthened,strengthen,VBD,xxxx
27,our,-PRON-,PRP$,xxx
28,financial,financial,JJ,xxxx
29,performance,performance,NN,xxxx
30,and,and,CC,xxx
31,product,product,NN,xxxx
32,leadership,leadership,NN,xxxx
33,across,across,IN,xxxx
34,our,-PRON-,PRP$,xxx
35,portfolio,portfolio,NN,xxxx
36,"
","
",_SP,"
"
37,Robust,robust,JJ,Xxxxx
38,demand,demand,NN,xxxx
39,for,for,IN,xxx
40,TAVR,tavr,NN,XXXX
41,therapy,therapy,NN,xxxx
42,continued,continue,VBD,xxxx
43,through,through,IN,xxxx
44,the,the,DT,xxx
45,end,end,NN,xxx
46,of,of,IN,xx
47,the,the,DT,xxx
48,year,year,NN,xxxx
49,and,and,CC,xxx
50,better,well,JJR,xxxx
51,than,than,IN,xxxx
52,we,-PRON-,PRP,xx
53,forecasted,forecast,VBD,xxxx
54,at,at,IN,xx
55,our,-PRON-,PRP$,xxx
56,December,December,NNP,Xxxxx
57,2016,2016,CD,dddd
58,Investor,Investor,NNP,Xxxxx
59,Conference,Conference,NNP,Xxxxx
60,"
","
",_SP,"
"
61,We,-PRON-,PRP,Xx
62,ended,end,VBD,xxxx
63,the,the,DT,xxx
64,quarter,quarter,NN,xxxx
65,with,with,IN,xxxx
66,total,total,JJ,xxxx
67,sales,sale,NNS,xxxx
68,of,of,IN,xx
69,$,$,$,$
70,768,768,CD,ddd
71,million,million,CD,xxxx
72,",",",",",",","
73,an,an,DT,xx
74,increase,increase,NN,xxxx
75,of,of,IN,xx
76,15,15,CD,dd
77,%,%,NN,%
78,on,on,IN,xx
79,an,an,DT,xx
80,underlying,underlie,VBG,xxxx
81,basis,basis,NN,xxxx
82,",",",",",",","
83,and,and,CC,xxx
84,finished,finish,VBD,xxxx
85,the,the,DT,xxx
86,year,year,NN,xxxx
87,strong,strong,JJ,xxxx
88,with,with,IN,xxxx
89,global,global,JJ,xxxx
90,sales,sale,NNS,xxxx
91,of,of,IN,xx
92,nearly,nearly,RB,xxxx
93,$,$,$,$
94,3,3,CD,d
95,billion,billion,CD,xxxx
96,",",",",",",","
97,representing,represent,VBG,xxxx
98,an,an,DT,xx
99,underlying,underlie,VBG,xxxx
100,annual,annual,JJ,xxxx
101,growth,growth,NN,xxxx
102,rate,rate,NN,xxxx
103,of,of,IN,xx
104,19,19,CD,dd
105,%,%,NN,%
106,"
","
",_SP,"
"
107,And,and,CC,Xxx
108,I,-PRON-,PRP,X
109,'m,be,VBP,'x
110,proud,proud,JJ,xxxx
111,to,to,TO,xx
112,report,report,VB,xxxx
113,we,-PRON-,PRP,xx
114,invested,invest,VBD,xxxx
115,aggressively,aggressively,RB,xxxx
116,to,to,TO,xx
117,bring,bring,VB,xxxx
118,new,new,JJ,xxx
119,medical,medical,JJ,xxxx
120,technologies,technology,NNS,xxxx
121,to,to,IN,xx
122,more,more,JJR,xxxx
123,patients,patient,NNS,xxxx
124,and,and,CC,xxx
125,drive,drive,VB,xxxx
126,future,future,JJ,xxxx
127,growth,growth,NN,xxxx
128,"
","
",_SP,"
"
129,In,in,IN,Xx
130,Transcatheter,Transcatheter,NNP,Xxxxx
131,Heart,Heart,NNP,Xxxxx
132,Valves,Valves,NNPS,Xxxxx
133,",",",",",",","
