,Word,Lemma,POSTag,Shape
0,Well,well,UH,Xxxx
1,thank,thank,VBP,xxxx
2,you,-PRON-,PRP,xxx
3,",",",",",",","
4,Robin,Robin,NNP,Xxxxx
5,",",",",",",","
6,and,and,CC,xxx
7,good,good,JJ,xxxx
8,afternoon,afternoon,NN,xxxx
9,everyone,everyone,NN,xxxx
10,"
","
",_SP,"
"
11,I,-PRON-,PRP,X
12,'m,be,VBP,'x
13,pleased,pleased,JJ,xxxx
14,to,to,TO,xx
15,provide,provide,VB,xxxx
16,an,an,DT,xx
17,update,update,NN,xxxx
18,on,on,IN,xx
19,our,-PRON-,PRP$,xxx
20,commercial,commercial,JJ,xxxx
21,performance,performance,NN,xxxx
22,for,for,IN,xxx
23,the,the,DT,xxx
24,first,first,JJ,xxxx
25,quarter,quarter,NN,xxxx
26,",",",",",",","
27,and,and,CC,xxx
28,I,-PRON-,PRP,X
29,'ll,will,MD,'xx
30,start,start,VB,xxxx
31,with,with,IN,xxxx
32,a,a,DT,x
33,few,few,JJ,xxx
34,comments,comment,NNS,xxxx
35,on,on,IN,xx
36,HCV,HCV,NNP,XXX
37,"
","
",_SP,"
"
38,Starting,start,VBG,Xxxxx
39,with,with,IN,xxxx
40,the,the,DT,xxx
41,U.S,U.S,NNP,X.X
42,"
","
",_SP,"
"
43,",",",",",",","
44,approximately,approximately,RB,xxxx
45,"700,000","700,000",CD,"ddd,ddd"
46,people,people,NNS,xxxx
47,have,have,VBP,xxxx
48,initiated,initiate,VBN,xxxx
49,HCV,HCV,NNP,XXX
50,therapy,therapy,NN,xxxx
51,since,since,IN,xxxx
52,the,the,DT,xxx
53,launch,launch,NN,xxxx
54,of,of,IN,xx
55,Sovaldi,Sovaldi,NNP,Xxxxx
56,in,in,IN,xx
57,December,December,NNP,Xxxxx
58,2013,2013,CD,dddd
59,",",",",",",","
60,with,with,IN,xxxx
61,90,90,CD,dd
62,%,%,NN,%
63,receiving,receive,VBG,xxxx
64,a,a,DT,x
65,sofosbuvir,sofosbuvir,NN,xxxx
66,-,-,HYPH,-
67,based,base,VBN,xxxx
68,regimen,regiman,NNS,xxxx
69,"
","
",_SP,"
"
70,Total,total,JJ,Xxxxx
71,U.S,U.S,NNP,X.X
72,"
","
",_SP,"
"
73,revenue,revenue,NN,xxxx
