,Sentences
0,"Thank you, Stanley, and good morning to all"
1,"As we begin, I'd like to point out that our 2016 fourth quarter results include restructuring costs of $16.1 million pre-tax or $0.15 per diluted share"
2,And our 2015 fourth quarter results include restructuring costs of $12.4 million pre-tax or $0.11 per diluted share
3,"For the full-year, our full-year 2016 results also include restructuring costs"
4,"Those restructuring costs are $45.9 million pre-tax or $0.42 per diluted share and full-year 2015 results include restructuring costs of $34.9 million pre-tax or $0.32 per diluted share, as well as a one-time income tax benefit, net of non-controlling interest of $3.8 million or $0.05 per diluted shares"
5,"When I discuss our results as reported on a GAAP basis and also on a non-GAAP basis, the non-GAAP basis will exclude the restructuring costs and the one-time tax benefit in the prior year"
6,"We believe that non-GAAP financial measures provide investors with useful supplemental information about the financial performance of our business, enable comparisons of financial results between periods where certain items may vary independent of business performance, and allow for greater transparency with respect to key metrics used by management in operating our business"
7,"These non-GAAP financial measures are presented solely for informational and comparative purposes, and should not be regarded as a replacement for the corresponding GAAP measures"
8,You can see Exhibit B in this morning's earnings release that has a complete reconciliation of those non-GAAP adjustments
9,"Okay, let me also point out that the fourth quarter of 2016 included one additional selling week compared with the fourth quarter of 2015."
10,This week is the holiday week between Christmas and New Year's
11,We report on what's called a 52/53 week fiscal year ending always on the last Saturday in December
12,"So, the next time our results will include an extra selling week will be in 2022."
13,"So, in order to facilitate more meaningful comparisons, we will provide a separate estimate"
14,"We are providing a separate estimate of the impact of the extra week on our sales growth, as well as providing internal sales growth in local currencies excluding that impact"
15,"Okay, so turning to our results now"
16,"Net sales for the quarter ended December 31, 2016 were $3.1 billion, reflecting a 9.5% increase compared with the fourth quarter of 2015."
17,"Our internally generated sales, in local currencies, were up 4.2%, acquisitions contributed 1.3%, there was a 1.5% decrease due to foreign exchange, and the growth attributed to this extra week was estimated at 5.5%"
18,You could see all of these details of our sales growth contained in Exhibit A in our earnings news release
19,"Our operating margin, on a GAAP basis, for the fourth quarter of 2016 was 6.9% and contracted by 18 basis points compared to the fourth quarter of 2015."
20,There are three key elements that negatively impacted our GAAP operating margin that I'd like to discuss and these three key elements negatively impacted operating margin by about 30 basis points in total
