,Sentences
0,"Thank you, Mike, and good afternoon, everyone"
1,We're pleased to discuss Hologic's performance in the third quarter of fiscal 2017.
2,We posted solid results overall and delivered on our near-term financial commitments
3,"Revenue exceeded our guidance, and non-GAAP earnings per share finished at the high end of our forecast"
4,Our molecular diagnostics and international businesses continue to emerge as strong growth drivers
5,And our recently acquired Cynosure business performed in line with our quarterly expectations
6,"From a longer-term perspective, our quarterly results reflect positively on our efforts to revitalize and reshape our business portfolio"
7,"If you could have listened to our strategic planning discussions back in 2015, when our domestic Breast Health business was driving tremendous growth, we knew that we needed molecular and international to accelerate when breast inevitably slowed"
8,"And that is exactly what has happened, as we upgraded leadership and made the necessary investments"
9,"This quarter, in fact, both business, international and molecular, posted double-digit growth, results that would've seemed unlike even a year ago"
10,"But while we were working to establish new growth drivers in molecular and international, we were also ramping up R&D in all our divisions to ensure that we could generate sustainable organic growth for years to come"
11,"Several of the new products that resulted, like the Affirm prone biopsy system and MyoSure REACH, are making increasing contributions to growth"
12,"This quarter, for example, sales of new products exceeded $40 million globally, although obviously this is not all incremental"
13,"And other new products are emerging, some of which we'll discuss today"
14,"But, before doing that, let's provide a brief overview of our third quarter results"
15,Reported revenue of $806.1 million grew 12.4% on a reported basis or 13.1% in constant currency
16,"Margins were solid based on continued price discipline and solid expense control, which led to non-GAAP earnings per share of $0.50."
17,"EPS declined by 2.0% compared to the prior-year period, a small amount considering the comp included a full quarter's contribution from our divested blood screening business"
18,"So we are doing an effective job of filling that earnings hole with gains in our base business, as well as Cynosure"
19,"If you were to back out blood screening and Cynosure, core revenues grew 2.4% on a reported basis or 3.1% in constant currency"
20,"Similarly, core EPS would've increased 11.9% if you excluded blood and Cynosure"
21,So we continue to show good leverage up and down the income statement
22,"So while it was a solid quarter overall, we plan to do better"
23,"At Cynosure, our efforts to stabilize and strengthen the domestic sales force are underway under new leadership, and our R&D remains highly productive"
24,"And in Breast Health, we are excited about new claims for our Genius 3D mammograms, new insurance coverage, and new products that we're launching now, which we will discuss for the first time today"
25,"With that introduction, now we'd like to discuss some third quarter revenue highlights, focusing on molecular diagnostics, international, Cynosure, and Breast Health"
26,"Then I'll hand the call over to Bob to cover other revenues, expenses, and our updated guidance"
27,"First, growth in the quarter was led by molecular diagnostics, where global sales of $144.1 million increased a very healthy 10.3%"
28,The story here is very similar to prior quarters
29,"In the United States, where sales grew at a high-single-digit rate, our commercial team is doing an excellent job of cross-selling our full product portfolio, increasing market share and utilization of our fully automated Panther system, and expanding the market by driving compliance with testing guidelines"
30,"In addition, this quarter we gained FDA clearance for our Aptima assay to detect herpes simplex virus 1 and 2."
31,"While the molecular herpes market is not huge, our new test is an important addition to the Panther women's health menu and a nice incentive for new customers to try out the system"
32,Outside the U.S
33,", where molecular sales grew more than 20% for the fourth time in five quarters, we continue to see the benefits of new leadership, healthy Panther placements, and multiple new-product introductions, including our viral load assays"
34,"And we recently received a CE Mark for our new Panther Fusion system, which provides lab customers new capabilities and enables them to further consolidate testing on our platform"
35,"We still have a lot of work ahead of us, but we are on our way to building an international molecular business that rivals the leadership position we've established domestically"
36,"Beyond molecular diagnostics, we are very pleased with the continued growth and positive evolution of our international business as a whole"
