,Word,Lemma,POSTag,Shape
0,Thank,thank,VBP,Xxxxx
1,you,-PRON-,PRP,xxx
2,",",",",",",","
3,Mike,Mike,NNP,Xxxx
4,",",",",",",","
5,and,and,CC,xxx
6,good,good,JJ,xxxx
7,afternoon,afternoon,NN,xxxx
8,",",",",",",","
9,everyone,everyone,NN,xxxx
10,"
","
",_SP,"
"
11,We,-PRON-,PRP,Xx
12,'re,be,VBP,'xx
13,pleased,pleased,JJ,xxxx
14,to,to,TO,xx
15,discuss,discuss,VB,xxxx
16,Hologic,Hologic,NNP,Xxxxx
17,'s,'s,POS,'x
18,performance,performance,NN,xxxx
19,in,in,IN,xx
20,the,the,DT,xxx
21,third,third,JJ,xxxx
22,quarter,quarter,NN,xxxx
23,of,of,IN,xx
24,fiscal,fiscal,JJ,xxxx
25,2017,2017,CD,dddd
26,.,.,.,.
27,We,-PRON-,PRP,Xx
28,posted,post,VBD,xxxx
29,solid,solid,JJ,xxxx
30,results,result,NNS,xxxx
31,overall,overall,RB,xxxx
32,and,and,CC,xxx
33,delivered,deliver,VBD,xxxx
34,on,on,IN,xx
35,our,-PRON-,PRP$,xxx
36,near,near,JJ,xxxx
37,-,-,HYPH,-
38,term,term,NN,xxxx
39,financial,financial,JJ,xxxx
40,commitments,commitment,NNS,xxxx
41,"
","
",_SP,"
"
42,Revenue,revenue,NN,Xxxxx
43,exceeded,exceed,VBD,xxxx
44,our,-PRON-,PRP$,xxx
45,guidance,guidance,NN,xxxx
46,",",",",",",","
47,and,and,CC,xxx
48,non,non,JJ,xxx
49,-,-,JJ,-
50,GAAP,gaap,JJ,XXXX
51,earnings,earning,NNS,xxxx
52,per,per,IN,xxx
53,share,share,NN,xxxx
54,finished,finish,VBN,xxxx
55,at,at,IN,xx
56,the,the,DT,xxx
57,high,high,JJ,xxxx
58,end,end,NN,xxx
59,of,of,IN,xx
60,our,-PRON-,PRP$,xxx
61,forecast,forecast,NN,xxxx
62,"
","
",_SP,"
"
63,Our,-PRON-,PRP$,Xxx
64,molecular,molecular,JJ,xxxx
65,diagnostics,diagnostic,NNS,xxxx
66,and,and,CC,xxx
67,international,international,JJ,xxxx
68,businesses,business,NNS,xxxx
69,continue,continue,VBP,xxxx
70,to,to,TO,xx
71,emerge,emerge,VB,xxxx
72,as,as,IN,xx
73,strong,strong,JJ,xxxx
74,growth,growth,NN,xxxx
75,drivers,driver,NNS,xxxx
76,"
","
",_SP,"
"
77,And,and,CC,Xxx
78,our,-PRON-,PRP$,xxx
79,recently,recently,RB,xxxx
80,acquired,acquire,VBN,xxxx
81,Cynosure,cynosure,NN,Xxxxx
82,business,business,NN,xxxx
83,performed,perform,VBN,xxxx
84,in,in,IN,xx
85,line,line,NN,xxxx
86,with,with,IN,xxxx
87,our,-PRON-,PRP$,xxx
88,quarterly,quarterly,JJ,xxxx
89,expectations,expectation,NNS,xxxx
90,"
","
",_SP,"
"
91,From,from,IN,Xxxx
92,a,a,DT,x
93,longer,long,JJR,xxxx
94,-,-,HYPH,-
95,term,term,NN,xxxx
96,perspective,perspective,NN,xxxx
97,",",",",",",","
98,our,-PRON-,PRP$,xxx
99,quarterly,quarterly,JJ,xxxx
100,results,result,NNS,xxxx
101,reflect,reflect,VBP,xxxx
102,positively,positively,RB,xxxx
103,on,on,IN,xx
104,our,-PRON-,PRP$,xxx
105,efforts,effort,NNS,xxxx
106,to,to,TO,xx
107,revitalize,revitalize,VB,xxxx
108,and,and,CC,xxx
109,reshape,reshape,VB,xxxx
110,our,-PRON-,PRP$,xxx
111,business,business,NN,xxxx
112,portfolio,portfolio,NN,xxxx
113,"
","
",_SP,"
"
114,If,if,IN,Xx
115,you,-PRON-,PRP,xxx
116,could,could,MD,xxxx
117,have,have,VB,xxxx
118,listened,listen,VBN,xxxx
119,to,to,IN,xx
120,our,-PRON-,PRP$,xxx
121,strategic,strategic,JJ,xxxx
122,planning,planning,NN,xxxx
123,discussions,discussion,NNS,xxxx
124,back,back,RB,xxxx
125,in,in,IN,xx
126,2015,2015,CD,dddd
127,",",",",",",","
128,when,when,WRB,xxxx
