,Sentences
0,"Thanks, Bruce, and good morning, everyone"
1,My remarks today will also be relatively brief given our Investor Day last week allowing more time for analyst questions
2,"As Bruce mentioned, the first quarter of 2017 produced solid results ahead of our prior expectations, and consequently, we raised our adjusted EPS guidance to at least $11.10 and our full year Retail pre-tax target by $50 million"
3,"We also expect our quarterly EPS progression to reflect just under 30% of the full year number in each of the second and third quarters, with the fourth quarter expected to reflect the usual cost increases associated with the open enrollment season"
4,I will now provide more details about each of our segment's operating performance
5,"Led by individual Medicare Advantage, our Retail segment outperformed our initial estimates, largely due to better-than-anticipated prior-period development"
6,"Early indicators also suggest that medical cost utilization trends, including hospital admissions and pharmacy spend, are running well relative to our pricing expectations"
7,Initial indications of Medicare premium levels are also encouraging
8,"Finally, we have lowered our expectations around 2017 individual MA membership growth to 15,000 to 25,000 from 30,000 to 40,000 while we are increasing Group MA membership by 10,000 members to 80,000 to 90,000."
9,We do not expect these changes to impact overall Medicare profitability
10,"With regard to our Medicare Advantage bids for the 2018 plan year, our organization is working diligently on our bid submissions which are due in early June"
11,"With the overhang associated with the terminated transaction now behind us, we believe we'll be positioned for stronger growth next year while we maintain pricing discipline"
12,We continue to receive a number of questions about the assumptions that will be reflected in our bids
13,"For competitive reasons, we won't be specific on these, but I will reiterate three of the key points we shared at our Investor Day last week"
14,"First, we are incorporating our recent 2017 outperformance into our pricing and will reflect any new information as it becomes available in advance of the bid submissions"
15,"Second, we are assuming the nondeductible health insurance fee, also known as the HIF, resumes in 2018 as is scheduled under current law"
16,"This will result in a reduction of benefits and/or increases in premiums for our members, which could create some member dislocation given the importance of stable premiums and benefits to member retention and new sales"
17,"And third, our bids will reflect the outcome of our ongoing Stars bonus efforts with CMS, and we will update the Street on our progress in this regard during our second quarter conference call"
18,"Turning to our other businesses, our Group and Specialty segment is having another good year"
19,"Our performance is running in line with expectations, with a focus on smaller employers paying dividends as it gives the organization focus as well as the opportunity to add meaningful value for our customers"
20,"Our Healthcare Services segment also continues to deliver profits, steady cash flow to the parent, and importantly, clinical excellence and trend benders for our insurance lines"
21,You will note that we have taken down intersegment revenue guidance by approximately $1 billion for the year
22,Our Humana At Home optimization continues apace and is proceeding a little faster than we had expected
23,We expect this optimization to continue into 2018.
24,"Additionally, we are seeing lower-than-expected pharmacy volumes, which reflect lower health plan drug utilization than we had previously anticipated"
25,"This of course is a positive development for overall Humana, though it is still too early to draw definitive conclusions"
26,"If these trends continue, we expect that the increase in health plan pre-tax income would more than offset any reduction in pharmacy profits, though it is also important to note that any utilization reductions in the health plan would be meaningfully offset by lower member cost share and CMS reinsurance payments"
27,I will now make some comments regarding our long-term EPS targets that we discussed during our Investor Day last week
28,There have been some questions as to how we define low to mid-teens EPS growth
