,Word,Lemma,POSTag,Shape
0,Thank,thank,VBP,Xxxxx
1,you,-PRON-,PRP,xxx
2,",",",",",",","
3,Bruce,Bruce,NNP,Xxxxx
4,",",",",",",","
5,and,and,CC,xxx
6,good,good,JJ,xxxx
7,morning,morning,NN,xxxx
8,",",",",",",","
9,everyone,everyone,NN,xxxx
10,"
","
",_SP,"
"
11,As,as,IN,Xx
12,Bruce,Bruce,NNP,Xxxxx
13,mentioned,mention,VBD,xxxx
14,",",",",",",","
15,the,the,DT,xxx
16,strong,strong,JJ,xxxx
17,performance,performance,NN,xxxx
18,of,of,IN,xx
19,our,-PRON-,PRP$,xxx
20,individual,individual,JJ,xxxx
21,Medicare,Medicare,NNP,Xxxxx
22,Advantage,Advantage,NNP,Xxxxx
23,franchise,franchise,NN,xxxx
24,resulted,result,VBD,xxxx
25,in,in,IN,xx
26,adjusted,adjust,VBN,xxxx
27,EPS,EPS,NNP,XXX
28,of,of,IN,xx
29,$,$,$,$
30,3.49,3.49,CD,d.dd
31,for,for,IN,xxx
32,the,the,DT,xxx
33,second,second,JJ,xxxx
34,quarter,quarter,NN,xxxx
35,",",",",",",","
36,well,well,UH,xxxx
37,ahead,ahead,RB,xxxx
38,of,of,IN,xx
39,our,-PRON-,PRP$,xxx
40,previous,previous,JJ,xxxx
41,expectations,expectation,NNS,xxxx
42,"
","
",_SP,"
"
43,We,-PRON-,PRP,Xx
44,also,also,RB,xxxx
45,raised,raise,VBD,xxxx
46,our,-PRON-,PRP$,xxx
47,full,full,JJ,xxxx
48,year,year,NN,xxxx
49,2017,2017,CD,dddd
50,adjusted,adjust,VBN,xxxx
51,EPS,EPS,NNP,XXX
52,guidance,guidance,NN,xxxx
53,to,to,IN,xx
54,approximately,approximately,RB,xxxx
55,$,$,$,$
56,11.50,11.50,CD,dd.dd
57,from,from,IN,xxxx
58,our,-PRON-,PRP$,xxx
59,previous,previous,JJ,xxxx
60,adjusted,adjust,VBN,xxxx
61,EPS,EPS,NNP,XXX
62,guidance,guidance,NN,xxxx
63,of,of,IN,xx
64,at,at,RB,xx
65,least,least,RBS,xxxx
66,$,$,$,$
67,11.10,11.10,CD,dd.dd
68,",",",",",",","
69,and,and,CC,xxx
70,we,-PRON-,PRP,xx
71,increased,increase,VBD,xxxx
72,our,-PRON-,PRP$,xxx
73,operating,operate,VBG,xxxx
74,cash,cash,NN,xxxx
75,flow,flow,NN,xxxx
76,guidance,guidance,NN,xxxx
77,by,by,IN,xx
78,approximately,approximately,RB,xxxx
79,$,$,$,$
80,200,200,CD,ddd
81,million,million,CD,xxxx
82,",",",",",",","
83,due,due,JJ,xxx
84,primarily,primarily,RB,xxxx
85,to,to,IN,xx
86,our,-PRON-,PRP$,xxx
87,better,well,JJR,xxxx
88,financial,financial,JJ,xxxx
89,performance,performance,NN,xxxx
90,"
","
",_SP,"
"
91,As,as,IN,Xx
92,a,a,DT,x
93,percentage,percentage,NN,xxxx
94,of,of,IN,xx
95,adjusted,adjust,VBN,xxxx
96,full,full,JJ,xxxx
97,year,year,NN,xxxx
98,earnings,earning,NNS,xxxx
99,",",",",",",","
100,we,-PRON-,PRP,xx
101,expect,expect,VBP,xxxx
102,our,-PRON-,PRP$,xxx
103,third,third,JJ,xxxx
104,quarter,quarter,NN,xxxx
105,to,to,TO,xx
106,reflect,reflect,VB,xxxx
107,adjusted,adjust,VBN,xxxx
108,EPS,EPS,NNP,XXX
109,in,in,IN,xx
110,the,the,DT,xxx
111,high,high,JJ,xxxx
112,20,20,CD,dd
113,%,%,NN,%
114,range,range,NN,xxxx
115,",",",",",",","
116,with,with,IN,xxxx
117,the,the,DT,xxx
118,fourth,fourth,JJ,xxxx
119,quarter,quarter,NN,xxxx
120,",",",",",",","
121,therefore,therefore,RB,xxxx
122,",",",",",",","
123,comprising,comprise,VBG,xxxx
124,a,a,DT,x
125,percentage,percentage,NN,xxxx
126,in,in,IN,xx
127,the,the,DT,xxx
128,high,high,JJ,xxxx
129,-,-,HYPH,-
130,teens,teen,NNS,xxxx
131,",",",",",",","
132,as,as,IN,xx
133,it,-PRON-,PRP,xx
