,Word,Lemma,POSTag,Shape
0,Thanks,thanks,UH,Xxxxx
1,",",",",",",","
2,Francis,Francis,NNP,Xxxxx
3,"
","
",_SP,"
"
4,As,as,IN,Xx
5,Francis,Francis,NNP,Xxxxx
6,mentioned,mention,VBD,xxxx
7,",",",",",",","
8,revenue,revenue,NN,xxxx
9,grew,grow,VBD,xxxx
10,10,10,CD,dd
11,%,%,NN,%
12,year,year,NN,xxxx
13,-,-,HYPH,-
14,over,over,IN,xxxx
15,-,-,HYPH,-
16,year,year,NN,xxxx
17,to,to,IN,xx
18,$,$,$,$
19,662,662,CD,ddd
20,million,million,CD,xxxx
21,"
","
",_SP,"
"
22,Sequencing,sequence,VBG,Xxxxx
23,consumables,consumable,NNS,xxxx
24,and,and,CC,xxx
25,microarrays,microarray,NNS,xxxx
26,exceeded,exceed,VBN,xxxx
27,forecast,forecast,NN,xxxx
28,",",",",",",","
29,which,which,WDT,xxxx
30,led,lead,VBD,xxx
31,to,to,IN,xx
32,the,the,DT,xxx
33,outperformance,outperformance,NN,xxxx
34,versus,versus,IN,xxxx
35,our,-PRON-,PRP$,xxx
36,expectations,expectation,NNS,xxxx
37,"
","
",_SP,"
"
38,Geographically,geographically,RB,Xxxxx
39,",",",",",",","
40,the,the,DT,xxx
41,Americas,Americas,NNPS,Xxxxx
42,grew,grow,VBD,xxxx
43,revenue,revenue,NN,xxxx
44,8,8,CD,d
45,%,%,NN,%
46,versus,versus,IN,xxxx
47,the,the,DT,xxx
48,prior,prior,JJ,xxxx
49,year,year,NN,xxxx
50,period,period,NN,xxxx
51,",",",",",",","
52,while,while,IN,xxxx
53,Europe,Europe,NNP,Xxxxx
54,saw,see,VBD,xxx
55,a,a,DT,x
56,15,15,CD,dd
57,%,%,NN,%
58,increase,increase,NN,xxxx
59,",",",",",",","
60,primarily,primarily,RB,xxxx
61,driven,drive,VBN,xxxx
62,by,by,IN,xx
63,sequencing,sequence,VBG,xxxx
64,consumables,consumable,NNS,xxxx
65,"
","
",_SP,"
"
66,Asia,Asia,NNP,Xxxx
67,-,-,HYPH,-
68,Pacific,Pacific,NNP,Xxxxx
69,revenue,revenue,NN,xxxx
70,grew,grow,VBD,xxxx
71,12,12,CD,dd
72,%,%,NN,%
