,Word,Lemma,POSTag,Shape
0,Thanks,thanks,UH,Xxxxx
1,",",",",",",","
2,Steven,Steven,NNP,Xxxxx
3,",",",",",",","
4,and,and,CC,xxx
5,good,good,JJ,xxxx
6,morning,morning,NN,xxxx
7,",",",",",",","
8,everyone,everyone,NN,xxxx
9,"
","
",_SP,"
"
10,The,the,DT,Xxx
11,second,second,JJ,xxxx
12,quarter,quarter,NN,xxxx
13,was,be,VBD,xxx
14,very,very,RB,xxxx
15,strong,strong,JJ,xxxx
16,"
","
",_SP,"
"
17,We,-PRON-,PRP,Xx
18,recorded,record,VBD,xxxx
19,$,$,$,$
20,326,326,CD,ddd
21,million,million,CD,xxxx
22,of,of,IN,xx
23,total,total,JJ,xxxx
24,revenue,revenue,NN,xxxx
25,"
","
",_SP,"
"
26,This,this,DT,Xxxx
27,was,be,VBD,xxx
28,comprised,comprise,VBN,xxxx
29,of,of,IN,xx
30,$,$,$,$
31,276,276,CD,ddd
32,million,million,CD,xxxx
33,in,in,IN,xx
34,Jakafi,Jakafi,NNP,Xxxxx
35,net,net,JJ,xxx
36,product,product,NN,xxxx
37,revenue,revenue,NN,xxxx
38,",",",",",",","
39,$,$,$,$
40,16,16,CD,dd
41,million,million,CD,xxxx
42,in,in,IN,xx
43,Iclusig,Iclusig,NNP,Xxxxx
44,net,net,JJ,xxx
45,product,product,NN,xxxx
46,revenue,revenue,NN,xxxx
47,",",",",",",","
48,$,$,$,$
49,34,34,CD,dd
50,million,million,CD,xxxx
51,in,in,IN,xx
52,Jakavi,Jakavi,NNP,Xxxxx
53,royalties,royalty,NNS,xxxx
54,from,from,IN,xxxx
55,Novartis,Novartis,NNP,Xxxxx
56,",",",",",",","
57,and,and,CC,xxx
58,$,$,$,$
59,1,1,CD,d
60,million,million,CD,xxxx
61,in,in,IN,xx
62,Olumiant,olumiant,JJ,Xxxxx
63,royalties,royalty,NNS,xxxx
64,from,from,IN,xxxx
65,Lilly,Lilly,NNP,Xxxxx
66,"
","
",_SP,"
"
67,Jakafi,Jakafi,NNP,Xxxxx
68,'s,'s,POS,'x
69,net,net,JJ,xxx
70,product,product,NN,xxxx
71,revenue,revenue,NN,xxxx
72,of,of,IN,xx
73,$,$,$,$
