,Sentences
0,Thank you and good morning
1,Thanks for joining Eli Lilly & Company's fourth quarter 2016 earnings call
2,"I'm Dave Ricks, Lilly's President and CEO"
3,"Joining me on today's call are Derica Rice, our Chief Financial Officer; Dr"
4,"Jan Lundberg, President of Lilly Research Labs; Enrique Conterno, President of Lilly Diabetes and Lilly U.S"
5,"Sue Mahoney, President of Lilly Oncology; Chito Zulueta, President of International Business; Jeff Simmons, President of Elanco Animal Health; Dr"
6,"Tony Ware, who is the interim President of Lilly Bio-Medicines; and of course Kristina Wright, Chris Ogden, and Phil Johnson of the Investor Relations team"
7,"During this call, we anticipate making projections and forward-looking statements based on our current expectations"
8,"Our actual results could differ materially due to a number of factors, including those listed on slide 3 and those outlined in our latest Forms 10-K and 10-Q filed with the SEC"
9,The information we provide about our products and pipeline is for the benefit of the investment community
10,It's not intended to be promotional
11,and it's not sufficient for prescribing decisions
12,"Before discussing key events for the quarter, I'll start with a summary of our progress since the Q3 earnings call using our strategic objectives framework"
13,"Starting with Grow Revenue, in Q4 we generated worldwide revenue growth of 7%, which was driven by 9% volume growth in our pharmaceutical business, led by her new products"
14,Prices declined 1% in Q4.
15,"On our strategic objective Expand Margins, total operating expenses as a percent of revenue declined over 400 basis points compared to Q4 of 2015, while our non-GAAP gross margin percent excluding the effect of FX on international inventory sold was essentially flat"
16,"Under the heading of Sustaining the Flow of Innovation, here in the U.S"
17,"in our collaboration with BI, the FDA approved and we began promotion of a new CV [Cardiovascular] indication for Jardiance, and we launched our long-acting insulin Basaglar"
18,"And in Europe, the European Commission approved Lartruvo for soft tissue sarcoma"
19,"Finally, on Deploy Capital to Create Value, we completed the acquisition of Boehringer Ingelheim's U.S"
20,Animal Health Vaccine business
21,"We announced an agreement to acquire CoLucid Pharmaceuticals, which will add a promising molecule for acute migraine for our late-stage pipeline"
22,"And we announced an increase of 2% in our quarterly dividend, and we repurchased $300 million of stock"
23,"We expect to make continued progress in 2017, and we remain on track to achieve our midterm goals for each of our strategic objectives"
24,Now let's move on to slide 5 for a more detailed review of the key events that occurred since our last earnings call
25,New product launches continued
26,"As I mentioned, in collaboration with Boehringer Ingelheim, we received FDA approval of the new CV indication for Jardiance in December and launched in January, right after the mid-December launch of Basaglar"
27,"Our initial sales were largely due to stocking, but we are pleased with initial feedback from customers"
28,We also launched Lartruvo for advanced soft tissue sarcoma in both the U.S
29,"and Europe, and the product is off to a strong start, while in Japan, we secured the price listing for Taltz in mid-November and launched the product for both psoriasis and psoriatic arthritis"
30,We are in the process of opening accounts and completing hospital formulary reviews
31,"While it's very early, initial feedback and IMS data are positive"
32,"In the Animal Health space, along with Aratana, we announced that Galliprant, a first-in-class product for dogs for the management of pain and inflammation associated with osteoarthritis, is now available to veterinarians here in the U.S"
33,"On the regulatory front, we made significant progress"
34,We received conditional marketing authorization from the European Commission for Lartruvo to treat adults with advanced soft tissue sarcoma
35,"Also in Europe, we received a positive opinion recommending approval of baricitinib for the treatment of moderate to severe active rheumatoid arthritis"
36,"In collaboration with Boehringer Ingelheim, we received multiple regulatory actions on the Jardiance family of products"
37,A number of these actions were related to the EMPA-REG OUTCOME trial
38,The U.S
39,FDA approved of a new indication of Jardiance to reduce the risk of cardiovascular death in adults with Type 2 diabetes and established cardiovascular disease
40,We were also pleased that the ADA [American Diabetes Association] issued updated diabetes treatment guidelines shortly after the FDA approval
41,"In Europe, the European Commission approved an update to the Jardiance label, including data on the reduction of the risk of CV death in patients with Type 2 diabetes and established CV disease"
42,The U.S
43,"FDA also approved updates to the labels of Synjardy, Synjardy XR, and Glyxambi to include data on the reduction of the risk of CV death in patients with Type 2 diabetes and established CV disease when treated with empagliflozin"
44,"Similarly, Europe's CHMP recommended an update to the Synjardy label to include data on the reduction of risk of CV death in patients with Type 2 diabetes and established CV disease when treated with empagliflozin"
45,"Separate from actions related to EMPA-REG OUTCOME, the FDA approved Synjardy XR, a tablet containing empagliflozin and metformin extended release for the treatment of adults with Type 2 diabetes"
46,"The European Commission approved Glyxambi, a single pill combining Jardiance and Trajenta, for the treatment of adults with Type 2 diabetes"
47,"Finally, here in the U.S"
48,", the FDA extended the NDA review period for baricitinib, and we now expect regulatory action early in Q2."
49,"Moving to slide 6, there was one significant data readout in Q4."
50,We were disappointed to announce that the EXPEDITION3 trial of solanezumab in patients with mild dementia due to Alzheimer's disease did not meet its primary endpoint
51,"Since the solanezumab update we provided on our guidance call, we made the decision to terminate the EXPEDITION-PRO study of solanezumab in prodromal Alzheimer's disease"
52,"After careful review of the data from the EXPEDITION3 study and given the overlap in patient populations between EXPEDITION3 and EXPEDITION-PRO, we did not find sufficient scientific evidence to support the hypothesis that solanezumab would demonstrate a meaningful benefit to patients with prodromal Alzheimer's disease"
53,"In addition, the decision has been made to continue two ongoing public-private partnership studies in earlier stages of AD, the A4 study in pre-clinical AD and the DIAN2 study in dominantly inherited AD"
54,"In other news, the U.S"
55,Court of Appeals for the Federal Circuit upheld the District Court's decision that the Alimta vitamin regimen patent is valid and would be infringed by the generic challenger's proposed products
56,"If the patent is ultimately upheld through all remaining challenges, including intellectual property review proceedings, Alimta would maintain U.S"
57,exclusivity until May 2022.
58,"We announced completion of the acquisition of BI Vetmedica, Inc's U.S"
59,"feline, canine, and rabies vaccine portfolio, which also brings a fully integrated manufacturing and R&D site and several pipeline assets"
60,The acquisition diversifies Elanco's U.S
61,companion animal portfolio by adding vaccines for a range of common conditions
62,We also announced an agreement to acquire CoLucid Pharmaceuticals for $960 million
63,"When closed, this will add lasmiditan, a potential first-in-class non-vasoconstrictive migraine treatment to our pain management pipeline"
64,"We believe this potential treatment for acute migraine complements our growing pain portfolio, specifically galcanezumab, which is in development for migraine prevention"
65,"Along with AstraZeneca, we announced a worldwide agreement to co-develop MEDI1814, an antibody selective for A-beta 42, which is currently in Phase 1 trials as a potential disease modifying treatment for Alzheimer's disease"
66,"In oncology, we announced an expansion of our existing immuno-oncology collaboration with Merck to add a new study for our Lartruvo with Merck's Keytruda patients with previously treated advanced or metastatic soft tissue sarcoma"
67,"We also announced a partnership with Express Scripts to allow people who use Lilly insulin, in particular those who have no insurance or those who are in the deductible phase of their high-deductible insurance plans, to purchase product at a 40% discount using mobile and web platforms hosted by Blink Health"
68,"Finally, in December we announced a 2% dividend increase, bringing our quarterly dividend to $0.52 per share"
69,"And during the fourth quarter, we distributed over $500 million to shareholders via the dividend, and we paid $300 million for share repurchases"
70,Now I'll turn the call over to Phil for a discussion of our financial performance during the quarter
71,"Sure, thank you, John"
72,We had a good meeting with the President this morning
73,It was a broad-ranging discussion
74,We touched on several of the issues there
75,"And your question in terms of innovation, the President was very interested in understanding how our business works and what the opportunities are to further grow the American innovative engine in the biopharmaceutical industry"
76,"Of course, we talked about taxes and how that could be a positive catalyst for more investment and growth in the U.S"
77,We talked about regulation
78,I think he made some comments on camera about that
79,"He's interested in finding ways to reduce and streamline regulation, both at the FDA side but also in healthcare markets that the government plays a role in"
80,"And then of course, we did speak about pricing"
81,"On that last point, I think we all understand the concern he's raising and"
82,"of course others are that consumer out-of-pocket costs seem to be growing and growing faster than other payers in the system and how we can do a better job as an industry of getting discounts through to consumers, particularly those in high-deductible plans and government programs"
83,We did not get into elaborate policy detail in terms of the U.S
84,pricing environment
85,"But I think there will be time for that later, and I left the meeting with some confidence that the people who we'll be working with closely as legislation moves forward have a good grasp of those facts"
86,Your second question was repeal of ACA and the taxes the industry pays
87,"Of course, we haven't seen any specific legislation here"
88,I think the industry said it was basically $100 billion over 10 years that would have been paid in to cover ACA
89,That's both in terms of the unspecified fee and other concessions in the original 2009 package
90,"I'd be reluctant here to get into specifics on that because we haven't seen the specifics on the repeal or, for that matter, any pay-fors in the replace"
