,Word,Lemma,POSTag,Shape
0,Thank,thank,VBP,Xxxxx
1,you,-PRON-,PRP,xxx
2,for,for,IN,xxx
3,joining,join,VBG,xxxx
4,Eli,Eli,NNP,Xxx
5,Lilly,Lilly,NNP,Xxxxx
6,&,&,CC,&
7,Company,Company,NNP,Xxxxx
8,'s,'s,POS,'x
9,First,First,NNP,Xxxxx
10,Quarter,quarter,NN,Xxxxx
11,2017,2017,CD,dddd
12,Earnings,earning,NNS,Xxxxx
13,Call,call,NN,Xxxx
14,"
","
",_SP,"
"
15,I,-PRON-,PRP,X
16,'m,be,VBP,'x
17,Dave,Dave,NNP,Xxxx
18,Ricks,Ricks,NNP,Xxxxx
19,",",",",",",","
20,Lilly,Lilly,NNP,Xxxxx
21,'s,'s,POS,'x
22,President,President,NNP,Xxxxx
23,and,and,CC,xxx
24,CEO,CEO,NNP,XXX
25,"
","
",_SP,"
"
26,Joining,join,VBG,Xxxxx
27,me,-PRON-,PRP,xx
28,on,on,IN,xx
29,today,today,NN,xxxx
30,'s,'s,POS,'x
31,call,call,NN,xxxx
32,are,be,VBP,xxx
33,Derica,Derica,NNP,Xxxxx
34,Rice,Rice,NNP,Xxxx
35,",",",",",",","
36,our,-PRON-,PRP$,xxx
37,Chief,Chief,NNP,Xxxxx
38,Financial,Financial,NNP,Xxxxx
39,Officer,Officer,NNP,Xxxxx
40,;,;,:,;
41,Dr,Dr,NNP,Xx
42,"
","
",_SP,"
"
43,Jan,Jan,NNP,Xxx
44,Lundberg,Lundberg,NNP,Xxxxx
45,",",",",",",","
46,President,President,NNP,Xxxxx
47,of,of,IN,xx
48,Lilly,Lilly,NNP,Xxxxx
49,Research,Research,NNP,Xxxxx
50,Labs,Labs,NNPS,Xxxx
51,;,;,:,;
52,Enrique,Enrique,NNP,Xxxxx
53,Conterno,Conterno,NNP,Xxxxx
54,",",",",",",","
55,President,President,NNP,Xxxxx
56,of,of,IN,xx
57,Lilly,Lilly,NNP,Xxxxx
58,Diabetes,Diabetes,NNP,Xxxxx
59,and,and,CC,xxx
60,Lilly,Lilly,NNP,Xxxxx
61,USA,USA,NNP,XXX
62,"
","
",_SP,"
"
63,Sue,Sue,NNP,Xxx
64,Mahoney,Mahoney,NNP,Xxxxx
65,",",",",",",","
66,President,President,NNP,Xxxxx
67,of,of,IN,xx
68,Lilly,Lilly,NNP,Xxxxx
69,Oncology,Oncology,NNP,Xxxxx
70,;,;,:,;
71,Jeff,Jeff,NNP,Xxxx
72,Simmons,Simmons,NNP,Xxxxx
73,",",",",",",","
74,President,President,NNP,Xxxxx
75,of,of,IN,xx
76,Elanco,Elanco,NNP,Xxxxx
77,Animal,Animal,NNP,Xxxxx
78,Health,Health,NNP,Xxxxx
79,;,;,:,;
80,and,and,CC,xxx
81,I,-PRON-,PRP,X
82,'d,would,MD,'x
83,like,like,VB,xxxx
84,to,to,TO,xx
85,extend,extend,VB,xxxx
86,a,a,DT,x
87,special,special,JJ,xxxx
88,welcome,welcome,NN,xxxx
89,to,to,IN,xx
90,Christi,Christi,NNP,Xxxxx
91,Shaw,Shaw,NNP,Xxxx
92,",",",",",",","
93,who,who,WP,xxx
94,joined,join,VBD,xxxx
95,us,-PRON-,PRP,xx
96,earlier,earlier,RBR,xxxx
97,this,this,DT,xxxx
98,month,month,NN,xxxx
99,as,as,IN,xx
100,President,President,NNP,Xxxxx
101,of,of,IN,xx
102,Lilly,Lilly,NNP,Xxxxx
103,Bio,Bio,NNP,Xxx
104,-,-,HYPH,-
105,Medicines,Medicines,NNP,Xxxxx
106,"
","
",_SP,"
"
107,We,-PRON-,PRP,Xx
108,'re,be,VBP,'xx
109,also,also,RB,xxxx
110,joined,join,VBN,xxxx
111,by,by,IN,xx
112,Kristina,Kristina,NNP,Xxxxx
113,Wright,Wright,NNP,Xxxxx
114,",",",",",",","
115,Chris,Chris,NNP,Xxxxx
116,Ogden,Ogden,NNP,Xxxxx
117,and,and,CC,xxx
118,Phil,Phil,NNP,Xxxx
119,Johnson,Johnson,NNP,Xxxxx
120,of,of,IN,xx
121,the,the,DT,xxx
