,Word,Lemma,POSTag,Shape
0,Thank,thank,VBP,Xxxxx
1,you,-PRON-,PRP,xxx
2,",",",",",",","
3,Rob,Rob,NNP,Xxx
4,",",",",",",","
5,and,and,CC,xxx
6,good,good,JJ,xxxx
7,morning,morning,NN,xxxx
8,",",",",",",","
9,everyone,everyone,NN,xxxx
10,"
","
",_SP,"
"
11,This,this,DT,Xxxx
12,morning,morning,NN,xxxx
13,I,-PRON-,PRP,X
14,'ll,will,MD,'xx
15,provide,provide,VB,xxxx
16,highlights,highlight,NNS,xxxx
17,of,of,IN,xx
18,Global,Global,NNP,Xxxxx
19,Human,Human,NNP,Xxxxx
20,Health,Health,NNP,Xxxxx
21,performance,performance,NN,xxxx
22,for,for,IN,xxx
23,the,the,DT,xxx
24,fourth,fourth,JJ,xxxx
25,quarter,quarter,NN,xxxx
26,and,and,CC,xxx
27,for,for,IN,xxx
28,the,the,DT,xxx
29,full,full,JJ,xxxx
30,year,year,NN,xxxx
31,of,of,IN,xx
32,2016,2016,CD,dddd
33,.,.,.,.
34,My,-PRON-,PRP$,Xx
35,comments,comment,NNS,xxxx
36,will,will,MD,xxxx
37,be,be,VB,xx
38,on,on,IN,xx
39,a,a,DT,x
40,constant,constant,JJ,xxxx
41,currency,currency,NN,xxxx
42,basis,basis,NN,xxxx
43,"
","
",_SP,"
"
44,Global,Global,NNP,Xxxxx
45,Human,Human,NNP,Xxxxx
46,Health,Health,NNP,Xxxxx
47,annual,annual,JJ,xxxx
48,sales,sale,NNS,xxxx
49,reached,reach,VBD,xxxx
50,$,$,$,$
51,35.2,35.2,CD,dd.d
52,billion,billion,CD,xxxx
53,and,and,CC,xxx
54,grew,grow,VBD,xxxx
55,2,2,CD,d
56,%,%,NN,%
57,"
","
",_SP,"
"
58,All,all,DT,Xxx
59,core,core,NN,xxxx
60,areas,area,NNS,xxxx
61,:,:,:,:
62,oncology,oncology,NN,xxxx
63,",",",",",",","
64,vaccines,vaccine,NNS,xxxx
65,",",",",",",","
66,diabetes,diabetes,NN,xxxx
67,",",",",",",","
68,and,and,CC,xxx
69,hospital,hospital,NN,xxxx
70,and,and,CC,xxx
71,specialty,specialty,NN,xxxx
72,care,care,NN,xxxx
73,",",",",",",","
74,contributed,contribute,VBD,xxxx
75,to,to,IN,xx
76,the,the,DT,xxx
77,growth,growth,NN,xxxx
78,"
","
",_SP,"
"
79,In,in,IN,Xx
80,the,the,DT,xxx
81,fourth,fourth,JJ,xxxx
82,quarter,quarter,NN,xxxx
83,",",",",",",","
84,sales,sale,NNS,xxxx
85,of,of,IN,xx
86,$,$,$,$
87,8.9,8.9,CD,d.d
88,billion,billion,CD,xxxx
89,declined,decline,VBD,xxxx
90,1,1,CD,d
91,%,%,NN,%
92,"
","
",_SP,"
"
93,We,-PRON-,PRP,Xx
94,were,be,VBD,xxxx
95,able,able,JJ,xxxx
96,to,to,TO,xx
97,mostly,mostly,RB,xxxx
98,offset,offset,VB,xxxx
99,the,the,DT,xxx
100,impact,impact,NN,xxxx
101,from,from,IN,xxxx
102,LOEs,loe,NNS,XXXx
103,in,in,IN,xx
104,the,the,DT,xxx
105,quarter,quarter,NN,xxxx
106,from,from,IN,xxxx
107,growth,growth,NN,xxxx
108,products,product,NNS,xxxx
109,",",",",",",","
110,from,from,IN,xxxx
111,new,new,JJ,xxx
112,products,product,NNS,xxxx
113,including,include,VBG,xxxx
114,KEYTRUDA,KEYTRUDA,NNP,XXXX
115,and,and,CC,xxx
116,ZEPATIER,ZEPATIER,NNP,XXXX
117,",",",",",",","
118,but,but,CC,xxx
119,also,also,RB,xxxx
120,from,from,IN,xxxx
121,inline,inline,JJ,xxxx
122,products,product,NNS,xxxx
123,such,such,JJ,xxxx
124,as,as,IN,xx
125,JANUVIA,JANUVIA,NNP,XXXX
126,and,and,CC,xxx
127,our,-PRON-,PRP$,xxx
128,vaccine,vaccine,NN,xxxx
129,franchise,franchise,NN,xxxx
130,"
","
",_SP,"
"
131,I,-PRON-,PRP,X
132,'ll,will,MD,'xx
133,now,now,RB,xxx
134,highlight,highlight,VB,xxxx
135,a,a,DT,x
