,Word,Lemma,POSTag,Shape
0,Thank,thank,VBP,Xxxxx
1,you,-PRON-,PRP,xxx
2,",",",",",",","
3,Heather,Heather,NNP,Xxxxx
4,",",",",",",","
5,and,and,CC,xxx
6,good,good,JJ,xxxx
7,morning,morning,NN,xxxx
8,",",",",",",","
9,everyone,everyone,NN,xxxx
10,"
","
",_SP,"
"
11,Before,before,IN,Xxxxx
12,I,-PRON-,PRP,X
13,begin,begin,VBP,xxxx
14,",",",",",",","
15,I,-PRON-,PRP,X
16,too,too,RB,xxx
17,would,would,MD,xxxx
18,like,like,VB,xxxx
19,to,to,TO,xx
20,thank,thank,VB,xxxx
21,our,-PRON-,PRP$,xxx
22,employees,employee,NNS,xxxx
23,around,around,IN,xxxx
24,the,the,DT,xxx
25,world,world,NN,xxxx
26,for,for,IN,xxx
27,their,-PRON-,PRP$,xxxx
28,continued,continued,JJ,xxxx
29,dedication,dedication,NN,xxxx
30,and,and,CC,xxx
31,hard,hard,JJ,xxxx
32,work,work,NN,xxxx
33,as,as,RB,xx
34,well,well,RB,xxxx
35,as,as,IN,xx
36,their,-PRON-,PRP$,xxxx
37,unwavering,unwavering,JJ,xxxx
38,focus,focus,NN,xxxx
39,on,on,IN,xx
40,our,-PRON-,PRP$,xxx
41,mission,mission,NN,xxxx
42,and,and,CC,xxx
43,business,business,NN,xxxx
44,objectives,objective,NNS,xxxx
45,"
","
",_SP,"
"
46,It,-PRON-,PRP,Xx
47,is,be,VBZ,xx
48,this,this,DT,xxxx
49,focus,focus,NN,xxxx
50,from,from,IN,xxxx
51,each,each,DT,xxxx
52,and,and,CC,xxx
53,every,every,DT,xxxx
54,one,one,CD,xxx
55,of,of,IN,xx
56,them,-PRON-,PRP,xxxx
57,that,that,WDT,xxxx
58,allowed,allow,VBD,xxxx
59,us,-PRON-,PRP,xx
60,to,to,TO,xx
61,again,again,RB,xxxx
62,deliver,deliver,VB,xxxx
63,strong,strong,JJ,xxxx
64,performance,performance,NN,xxxx
65,around,around,IN,xxxx
66,the,the,DT,xxx
67,world,world,NN,xxxx
68,"
","
",_SP,"
"
69,Let,let,VB,Xxx
70,'s,-PRON-,PRP,'x
71,turn,turn,VB,xxxx
72,to,to,IN,xx
73,the,the,DT,xxx
74,first,first,JJ,xxxx
75,quarter,quarter,NN,xxxx
76,results,result,NNS,xxxx
77,where,where,WRB,xxxx
78,we,-PRON-,PRP,xx
79,have,have,VBP,xxxx
80,reported,report,VBN,xxxx
81,according,accord,VBG,xxxx
82,to,to,IN,xx
83,our,-PRON-,PRP$,xxx
84,new,new,JJ,xxx
85,regional,regional,JJ,xxxx
86,segments,segment,NNS,xxxx
87,"
","
",_SP,"
"
88,I,-PRON-,PRP,X
89,'ll,will,MD,'xx
90,provide,provide,VB,xxxx
91,an,an,DT,xx
92,overview,overview,NN,xxxx
93,of,of,IN,xx
94,our,-PRON-,PRP$,xxx
95,top,top,JJ,xxx
96,line,line,NN,xxxx
97,performance,performance,NN,xxxx
98,and,and,CC,xxx
99,Ken,Ken,NNP,Xxx
100,will,will,MD,xxxx
101,get,get,VB,xxx
102,into,into,IN,xxxx
103,segment,segment,NN,xxxx
104,profitability,profitability,NN,xxxx
105,"
","
",_SP,"
"
106,Overall,overall,RB,Xxxxx
107,",",",",",",","
108,our,-PRON-,PRP$,xxx
109,total,total,JJ,xxxx
110,business,business,NN,xxxx
111,delivered,deliver,VBD,xxxx
112,revenue,revenue,NN,xxxx
113,of,of,IN,xx
114,approximately,approximately,RB,xxxx
115,$,$,$,$
116,2.7,2.7,CD,d.d
117,billion,billion,CD,xxxx
118,for,for,IN,xxx
119,the,the,DT,xxx
120,quarter,quarter,NN,xxxx
121,",",",",",",","
122,an,an,DT,xx
123,increase,increase,NN,xxxx
124,of,of,IN,xx
125,24,24,CD,dd
126,%,%,NN,%
127,compared,compare,VBN,xxxx
128,to,to,IN,xx
129,the,the,DT,xxx
130,prior,prior,JJ,xxxx
131,year,year,NN,xxxx
132,"
","
",_SP,"
"
133,This,this,DT,Xxxx
134,performance,performance,NN,xxxx
135,is,be,VBZ,xx
