,Sentences
0,"Thanks, Tommy"
1,Good afternoon
2,and thank you for joining us today
3,"I'm very pleased with our performance in the third quarter as PerkinElmer delivered revenue and EPS at the high end of our previously communicated guidance range, and we continue to make excellent progress on our strategic priorities"
4,"Similar to previous quarters, I will briefly review our financial results, discuss overall market conditions and update you on our progress during the third quarter relative to our strategic priorities, while Andy will discuss our financial results and future guidance in more detail"
5,"Turning to our financial results, we generated revenue of $550 million during the third quarter, which represents growth of 8% over Q3 last year on a reported basis and 5% growth organically"
6,"Adjusted operating margins expanded by 30 basis points to 19.3% and adjusted earnings per share was $0.73, representing growth of 14% over Q3 last year"
7,"Year to date, our financial results are tracking favorably to our original guidance in the beginning of the year"
8,"And based on our fourth quarter guidance, we are on track to exceed our full-year guidance communicated back in January for both the top and bottom lines, delivering organic revenue growth of 4% and increasing adjusted earnings per share by low double-digits"
9,Markets continue to be favorable
10,"For the first time in over five years, during the third quarter, we experienced positive organic growth in every region of the world and every end market in which we operate"
11,"Looking specifically at our end markets, pharma biotech grew"
12,mid-single digits as strength in service and high content imaging was offset from continuing headwinds in our radionucleotide business
13,Diagnostics also grew mid-single digits as emerging markets continue to outpace developed markets
14,"Our food business was very strong, growing over 20% due to several key customer wins and strong performance from recently introduced new products"
15,"Both environmental and industrial markets grew low single-digits as environmental is continuing to see strong growth in Asia, positive results in Americas, offset by declining revenue in Europe"
16,Our sales to academic customers are â€“ also grew low single-digits and recovered from a slow start to the year as funding outside the U.S
17,has improved
18,"Turning now to our performance against our strategic initiatives, within Diagnostics, we continue to make good progress strengthening our core areas, while expanding our addressable markets"
19,"In Q3, we launched our new mass spec platform, QSight, for the clinical market and have received a very positive response from our customers"
20,"During the third quarter, QSight was registered as a Class 1 instrument with the FDA"
21,"In addition, we have completed CE marking for the European market, enabling the instrument to be used in clinical applications beyond newborn screening, and we are diligently working to extend our existing and new clinical assays on QSight"
22,"Moreover, our Diagnostics portfolio continues to address the escalating demand for greater access to quality healthcare across emerging regions"
23,The performance in our Tulip Indian diagnostics business is encouraging on both the top and bottom lines as we expand Tulip's in-vitro diagnostics offerings throughout India
24,"These solutions add in the prevention, screening and diagnosis of communicable diseases such as malaria, HIV and hepatitis, which are critical issues in that part of the world"
25,"Turning briefly to our cord blood and cord tissue banking business, you may have seen earlier this year the announcement of newly published research that shows encouraging developments related to the use of a child's own cord blood to treat cerebral palsy"
26,"The Phase II clinical trial led by Duke University, and with participation from some of our ViaCord families, will hopefully drive greater awareness around the potential of cord blood and cord tissue by helping further penetrate this market over time"
27,We also continued to make good progress on the key growth initiatives for our Diagnostics business that I've discussed previously and thought I would provide a quick update
28,"As I've mentioned before, Vanadis is our solution for prenatal screening that leverages high precision imaging in an automated platform, enabling a much more efficient and less expensive option versus current NGS-based NIPT testing alternatives"
29,"In the last month, we have submitted an article with data demonstrating its performance, which should be published before year-end, and we expect another article to be submitted before year-end"
30,One research system has been installed in Europe and another will be installed shortly
