,Word,Lemma,POSTag,Shape
0,Thanks,thank,NNS,Xxxxx
1,",",",",",",","
2,Tommy,Tommy,NNP,Xxxxx
3,"
","
",_SP,"
"
4,Good,good,JJ,Xxxx
5,afternoon,afternoon,NN,xxxx
6,and,and,CC,xxx
7,thank,thank,VBP,xxxx
8,you,-PRON-,PRP,xxx
9,for,for,IN,xxx
10,joining,join,VBG,xxxx
11,us,-PRON-,PRP,xx
12,today,today,NN,xxxx
13,"
","
",_SP,"
"
14,I,-PRON-,PRP,X
15,'m,be,VBP,'x
16,very,very,RB,xxxx
17,pleased,pleased,JJ,xxxx
18,with,with,IN,xxxx
19,our,-PRON-,PRP$,xxx
20,performance,performance,NN,xxxx
21,in,in,IN,xx
22,the,the,DT,xxx
23,third,third,JJ,xxxx
24,quarter,quarter,NN,xxxx
25,as,as,IN,xx
26,PerkinElmer,PerkinElmer,NNP,XxxxxXxxxx
27,delivered,deliver,VBD,xxxx
28,revenue,revenue,NN,xxxx
29,and,and,CC,xxx
30,EPS,EPS,NNP,XXX
31,at,at,IN,xx
32,the,the,DT,xxx
33,high,high,JJ,xxxx
34,end,end,NN,xxx
35,of,of,IN,xx
36,our,-PRON-,PRP$,xxx
37,previously,previously,RB,xxxx
38,communicated,communicate,VBN,xxxx
39,guidance,guidance,NN,xxxx
40,range,range,NN,xxxx
41,",",",",",",","
42,and,and,CC,xxx
43,we,-PRON-,PRP,xx
44,continue,continue,VBP,xxxx
45,to,to,TO,xx
46,make,make,VB,xxxx
47,excellent,excellent,JJ,xxxx
48,progress,progress,NN,xxxx
49,on,on,IN,xx
50,our,-PRON-,PRP$,xxx
51,strategic,strategic,JJ,xxxx
52,priorities,priority,NNS,xxxx
53,"
","
",_SP,"
"
54,Similar,similar,JJ,Xxxxx
55,to,to,IN,xx
56,previous,previous,JJ,xxxx
57,quarters,quarter,NNS,xxxx
58,",",",",",",","
59,I,-PRON-,PRP,X
60,will,will,MD,xxxx
61,briefly,briefly,RB,xxxx
62,review,review,VB,xxxx
63,our,-PRON-,PRP$,xxx
64,financial,financial,JJ,xxxx
65,results,result,NNS,xxxx
66,",",",",",",","
67,discuss,discuss,VB,xxxx
68,overall,overall,JJ,xxxx
69,market,market,NN,xxxx
70,conditions,condition,NNS,xxxx
71,and,and,CC,xxx
72,update,update,VB,xxxx
73,you,-PRON-,PRP,xxx
74,on,on,IN,xx
75,our,-PRON-,PRP$,xxx
76,progress,progress,NN,xxxx
77,during,during,IN,xxxx
78,the,the,DT,xxx
79,third,third,JJ,xxxx
80,quarter,quarter,NN,xxxx
81,relative,relative,JJ,xxxx
82,to,to,IN,xx
83,our,-PRON-,PRP$,xxx
84,strategic,strategic,JJ,xxxx
85,priorities,priority,NNS,xxxx
86,",",",",",",","
87,while,while,IN,xxxx
88,Andy,Andy,NNP,Xxxx
89,will,will,MD,xxxx
90,discuss,discuss,VB,xxxx
91,our,-PRON-,PRP$,xxx
92,financial,financial,JJ,xxxx
93,results,result,NNS,xxxx
94,and,and,CC,xxx
95,future,future,JJ,xxxx
96,guidance,guidance,NN,xxxx
97,in,in,IN,xx
98,more,more,JJR,xxxx
99,detail,detail,NN,xxxx
100,"
","
",_SP,"
"
101,Turning,turn,VBG,Xxxxx
102,to,to,IN,xx
103,our,-PRON-,PRP$,xxx
104,financial,financial,JJ,xxxx
105,results,result,NNS,xxxx
106,",",",",",",","
107,we,-PRON-,PRP,xx
108,generated,generate,VBD,xxxx
109,revenue,revenue,NN,xxxx
110,of,of,IN,xx
111,$,$,$,$
112,550,550,CD,ddd
113,million,million,CD,xxxx
114,during,during,IN,xxxx
115,the,the,DT,xxx
116,third,third,JJ,xxxx
117,quarter,quarter,NN,xxxx
118,",",",",",",","
119,which,which,WDT,xxxx
120,represents,represent,VBZ,xxxx
121,growth,growth,NN,xxxx
122,of,of,IN,xx
123,8,8,CD,d
124,%,%,NN,%
125,over,over,IN,xxxx
126,Q3,Q3,NNP,Xd
127,last,last,JJ,xxxx
128,year,year,NN,xxxx
129,on,on,IN,xx
130,a,a,DT,x
131,reported,reported,JJ,xxxx
132,basis,basis,NN,xxxx
133,and,and,CC,xxx
134,5,5,CD,d
135,%,%,NN,%
136,growth,growth,NN,xxxx
137,organically,organically,RB,xxxx
138,"
","
",_SP,"
"
139,Adjusted,adjusted,JJ,Xxxxx
140,operating,operating,NN,xxxx
141,margins,margin,NNS,xxxx
142,expanded,expand,VBN,xxxx
143,by,by,IN,xx
144,30,30,CD,dd
145,basis,basis,NN,xxxx
146,points,point,NNS,xxxx
147,to,to,IN,xx
148,19.3,19.3,CD,dd.d
149,%,%,NN,%
150,and,and,CC,xxx
151,adjusted,adjust,VBN,xxxx
152,earnings,earning,NNS,xxxx
153,per,per,IN,xxx
154,share,share,NN,xxxx
155,was,be,VBD,xxx
156,$,$,$,$
157,0.73,0.73,CD,d.dd
158,",",",",",",","
159,representing,represent,VBG,xxxx
160,growth,growth,NN,xxxx
161,of,of,IN,xx
162,14,14,CD,dd
163,%,%,NN,%
164,over,over,IN,xxxx
165,Q3,Q3,NNP,Xd
166,last,last,JJ,xxxx
167,year,year,NN,xxxx
168,"
","
",_SP,"
"
169,Year,year,NN,Xxxx
170,to,to,IN,xx
171,date,date,NN,xxxx
172,",",",",",",","
173,our,-PRON-,PRP$,xxx
174,financial,financial,JJ,xxxx
175,results,result,NNS,xxxx
176,are,be,VBP,xxx
177,tracking,track,VBG,xxxx
178,favorably,favorably,RB,xxxx
179,to,to,IN,xx
180,our,-PRON-,PRP$,xxx
181,original,original,JJ,xxxx
182,guidance,guidance,NN,xxxx
183,in,in,IN,xx
184,the,the,DT,xxx
185,beginning,beginning,NN,xxxx
186,of,of,IN,xx
187,the,the,DT,xxx
188,year,year,NN,xxxx
189,"
","
",_SP,"
"
190,And,and,CC,Xxx
191,based,base,VBN,xxxx
192,on,on,IN,xx
193,our,-PRON-,PRP$,xxx
194,fourth,fourth,JJ,xxxx
195,quarter,quarter,NN,xxxx
196,guidance,guidance,NN,xxxx
197,",",",",",",","
198,we,-PRON-,PRP,xx
199,are,be,VBP,xxx
200,on,on,IN,xx
201,track,track,NN,xxxx
202,to,to,TO,xx
203,exceed,exceed,VB,xxxx
204,our,-PRON-,PRP$,xxx
205,full,full,JJ,xxxx
206,-,-,HYPH,-
207,year,year,NN,xxxx
208,guidance,guidance,NN,xxxx
209,communicated,communicate,VBN,xxxx
210,back,back,RB,xxxx
211,in,in,IN,xx
212,January,January,NNP,Xxxxx
213,for,for,IN,xxx
214,both,both,CC,xxxx
215,the,the,DT,xxx
216,top,top,JJ,xxx
217,and,and,CC,xxx
218,bottom,bottom,JJ,xxxx
219,lines,line,NNS,xxxx
220,",",",",",",","
221,delivering,deliver,VBG,xxxx
222,organic,organic,JJ,xxxx
223,revenue,revenue,NN,xxxx
224,growth,growth,NN,xxxx
225,of,of,IN,xx
226,4,4,CD,d
227,%,%,NN,%
228,and,and,CC,xxx
229,increasing,increase,VBG,xxxx
230,adjusted,adjusted,JJ,xxxx
231,earnings,earning,NNS,xxxx
232,per,per,IN,xxx
233,share,share,NN,xxxx
234,by,by,IN,xx
235,low,low,JJ,xxx
236,double,double,JJ,xxxx
237,-,-,HYPH,-
238,digits,digits,NN,xxxx
239,"
","
",_SP,"
"
240,Markets,market,NNS,Xxxxx
241,continue,continue,VBP,xxxx
242,to,to,TO,xx
243,be,be,VB,xx
244,favorable,favorable,JJ,xxxx
245,"
","
",_SP,"
"
246,For,for,IN,Xxx
247,the,the,DT,xxx
248,first,first,JJ,xxxx
249,time,time,NN,xxxx
250,in,in,IN,xx
251,over,over,IN,xxxx
252,five,five,CD,xxxx
253,years,year,NNS,xxxx
254,",",",",",",","
255,during,during,IN,xxxx
256,the,the,DT,xxx
257,third,third,JJ,xxxx
258,quarter,quarter,NN,xxxx
259,",",",",",",","
260,we,-PRON-,PRP,xx
261,experienced,experience,VBD,xxxx
262,positive,positive,JJ,xxxx
263,organic,organic,JJ,xxxx
264,growth,growth,NN,xxxx
265,in,in,IN,xx
266,every,every,DT,xxxx
267,region,region,NN,xxxx
268,of,of,IN,xx
269,the,the,DT,xxx
270,world,world,NN,xxxx
271,and,and,CC,xxx
272,every,every,DT,xxxx
273,end,end,NN,xxx
274,market,market,NN,xxxx
275,in,in,IN,xx
276,which,which,WDT,xxxx
277,we,-PRON-,PRP,xx
278,operate,operate,VBP,xxxx
279,"
","
",_SP,"
"
280,Looking,look,VBG,Xxxxx
281,specifically,specifically,RB,xxxx
282,at,at,IN,xx
283,our,-PRON-,PRP$,xxx
284,end,end,NN,xxx
285,markets,market,NNS,xxxx
286,",",",",",",","
287,pharma,pharma,NNP,xxxx
288,biotech,biotech,NNP,xxxx
289,grew,grow,VBD,xxxx
290,mid,mid,JJ,xxx
291,-,-,JJ,-
292,single,single,JJ,xxxx
293,digits,digit,NNS,xxxx
294,as,as,IN,xx
295,strength,strength,NN,xxxx
296,in,in,IN,xx
297,service,service,NN,xxxx
298,and,and,CC,xxx
299,high,high,JJ,xxxx
300,content,content,NN,xxxx
301,imaging,imaging,NN,xxxx
302,was,be,VBD,xxx
303,offset,offset,VBN,xxxx
304,from,from,IN,xxxx
305,continuing,continue,VBG,xxxx
306,headwinds,headwind,NNS,xxxx
307,in,in,IN,xx
308,our,-PRON-,PRP$,xxx
309,radionucleotide,radionucleotide,NN,xxxx
310,business,business,NN,xxxx
311,"
","
",_SP,"
"
312,Diagnostics,diagnostic,NNS,Xxxxx
313,also,also,RB,xxxx
314,grew,grow,VBD,xxxx
315,mid,mid,JJ,xxx
316,-,-,JJ,-
317,single,single,JJ,xxxx
318,digits,digit,NNS,xxxx
319,as,as,IN,xx
320,emerging,emerge,VBG,xxxx
321,markets,market,NNS,xxxx
322,continue,continue,VBP,xxxx
323,to,to,TO,xx
324,outpace,outpace,VB,xxxx
325,developed,develop,VBN,xxxx
326,markets,market,NNS,xxxx
327,"
","
",_SP,"
"
328,Our,-PRON-,PRP$,Xxx
329,food,food,NN,xxxx
330,business,business,NN,xxxx
331,was,be,VBD,xxx
332,very,very,RB,xxxx
333,strong,strong,JJ,xxxx
334,",",",",",",","
335,growing,grow,VBG,xxxx
336,over,over,IN,xxxx
337,20,20,CD,dd
338,%,%,NN,%
339,due,due,JJ,xxx
340,to,to,IN,xx
341,several,several,JJ,xxxx
342,key,key,JJ,xxx
343,customer,customer,NN,xxxx
344,wins,win,NNS,xxxx
345,and,and,CC,xxx
346,strong,strong,JJ,xxxx
347,performance,performance,NN,xxxx
348,from,from,IN,xxxx
349,recently,recently,RB,xxxx
350,introduced,introduce,VBN,xxxx
351,new,new,JJ,xxx
352,products,product,NNS,xxxx
353,"
","
",_SP,"
"
354,Both,both,DT,Xxxx
355,environmental,environmental,JJ,xxxx
356,and,and,CC,xxx
357,industrial,industrial,JJ,xxxx
358,markets,market,NNS,xxxx
359,grew,grow,VBD,xxxx
360,low,low,JJ,xxx
361,single,single,RB,xxxx
362,-,-,HYPH,-
363,digits,digit,NNS,xxxx
364,as,as,IN,xx
365,environmental,environmental,JJ,xxxx
366,is,be,VBZ,xx
367,continuing,continue,VBG,xxxx
368,to,to,TO,xx
369,see,see,VB,xxx
370,strong,strong,JJ,xxxx
371,growth,growth,NN,xxxx
372,in,in,IN,xx
373,Asia,Asia,NNP,Xxxx
374,",",",",",",","
375,positive,positive,JJ,xxxx
376,results,result,NNS,xxxx
377,in,in,IN,xx
378,Americas,Americas,NNP,Xxxxx
379,",",",",",",","
380,offset,offset,VBN,xxxx
381,by,by,IN,xx
382,declining,decline,VBG,xxxx
383,revenue,revenue,NN,xxxx
384,in,in,IN,xx
385,Europe,Europe,NNP,Xxxxx
386,"
","
",_SP,"
"
387,Our,-PRON-,PRP$,Xxx
388,sales,sale,NNS,xxxx
389,to,to,IN,xx
390,academic,academic,JJ,xxxx
391,customers,customer,NNS,xxxx
392,are,be,VBP,xxx
393,â€,â€,NNP,x€
394,“,"""",``,“
395,also,also,RB,xxxx
396,grew,grow,VBD,xxxx
397,low,low,JJ,xxx
398,single,single,RB,xxxx
399,-,-,HYPH,-
400,digits,digit,NNS,xxxx
401,and,and,CC,xxx
402,recovered,recover,VBN,xxxx
403,from,from,IN,xxxx
404,a,a,DT,x
405,slow,slow,JJ,xxxx
406,start,start,NN,xxxx
407,to,to,IN,xx
408,the,the,DT,xxx
409,year,year,NN,xxxx
410,as,as,IN,xx
411,funding,funding,NN,xxxx
412,outside,outside,IN,xxxx
413,the,the,DT,xxx
414,U.S,U.S,NNP,X.X
415,"
","
",_SP,"
"
