,Word,Lemma,POSTag,Shape
0,Thanks,thanks,UH,Xxxxx
1,",",",",",",","
2,John,John,NNP,Xxxx
3,",",",",",",","
4,and,and,CC,xxx
5,good,good,JJ,xxxx
6,morning,morning,NN,xxxx
7,everyone,everyone,NN,xxxx
8,"
","
",_SP,"
"
9,Bear,bear,VB,Xxxx
10,with,with,IN,xxxx
11,me,-PRON-,PRP,xx
12,with,with,IN,xxxx
13,my,-PRON-,PRP$,xx
14,â€,â€,NNP,x€
15,“,"""",``,“
16,as,as,IN,xx
17,you,-PRON-,PRP,xxx
18,listen,listen,VBP,xxxx
19,to,to,IN,xx
20,my,-PRON-,PRP$,xx
21,raspy,raspy,NN,xxxx
22,voice,voice,NN,xxxx
23,this,this,DT,xxxx
24,morning,morning,NN,xxxx
25,"
","
",_SP,"
"
26,I,-PRON-,PRP,X
27,helped,help,VBD,xxxx
28,kick,kick,VB,xxxx
29,off,off,RP,xxx
30,the,the,DT,xxx
31,2017,2017,CD,dddd
32,and,and,CC,xxx
33,2018,2018,CD,dddd
34,cough,cough,NN,xxxx
35,/,/,SYM,/
36,cold,cold,JJ,xxxx
37,season,season,NN,xxxx
38,this,this,DT,xxxx
39,week,week,NN,xxxx
40,"
","
",_SP,"
"
41,Last,last,JJ,Xxxx
42,quarter,quarter,NN,xxxx
43,",",",",",",","
44,the,the,DT,xxx
45,theme,theme,NN,xxxx
46,I,-PRON-,PRP,X
47,used,use,VBD,xxxx
48,to,to,TO,xx
49,describe,describe,VB,xxxx
50,our,-PRON-,PRP$,xxx
51,business,business,NN,xxxx
52,performance,performance,NN,xxxx
53,was,be,VBD,xxx
54,converting,convert,VBG,xxxx
55,opportunities,opportunity,NNS,xxxx
56,into,into,IN,xxxx
57,bottom,bottom,JJ,xxxx
58,line,line,NN,xxxx
59,results,result,NNS,xxxx
60,"
","
",_SP,"
"
61,We,-PRON-,PRP,Xx
62,are,be,VBP,xxx
63,pleased,pleased,JJ,xxxx
64,that,that,IN,xxxx
65,this,this,DT,xxxx
66,theme,theme,NN,xxxx
67,continues,continue,VBZ,xxxx
68,",",",",",",","
69,which,which,WDT,xxxx
70,is,be,VBZ,xx
71,reflected,reflect,VBN,xxxx
72,in,in,IN,xx
