,Word,Lemma,POSTag,Shape
0,Thanks,thank,NNS,Xxxxx
1,",",",",",",","
2,Shawn,Shawn,NNP,Xxxxx
3,",",",",",",","
4,and,and,CC,xxx
5,thanks,thank,NNS,xxxx
6,",",",",",",","
7,everyone,everyone,NN,xxxx
8,",",",",",",","
9,for,for,IN,xxx
10,joining,join,VBG,xxxx
11,us,-PRON-,PRP,xx
12,today,today,NN,xxxx
13,"
","
",_SP,"
"
14,This,this,DT,Xxxx
15,morning,morning,NN,xxxx
16,I,-PRON-,PRP,X
17,'ll,will,MD,'xx
18,provide,provide,VB,xxxx
19,you,-PRON-,PRP,xxx
20,with,with,IN,xxxx
21,highlights,highlight,NNS,xxxx
22,of,of,IN,xx
23,the,the,DT,xxx
24,quarter,quarter,NN,xxxx
25,and,and,CC,xxx
26,review,review,VB,xxxx
27,progress,progress,NN,xxxx
28,on,on,IN,xx
29,our,-PRON-,PRP$,xxx
30,strategy,strategy,NN,xxxx
31,and,and,CC,xxx
32,then,then,RB,xxxx
33,Mark,Mark,NNP,Xxxx
34,will,will,MD,xxxx
35,provide,provide,VB,xxxx
36,more,more,JJR,xxxx
37,detail,detail,NN,xxxx
38,on,on,IN,xx
39,the,the,DT,xxx
40,results,result,NNS,xxxx
41,and,and,CC,xxx
42,take,take,VB,xxxx
43,you,-PRON-,PRP,xxx
44,through,through,IN,xxxx
45,updates,update,NNS,xxxx
46,on,on,IN,xx
47,our,-PRON-,PRP$,xxx
48,2017,2017,CD,dddd
49,guidance,guidance,NN,xxxx
50,"
","
",_SP,"
"
51,We,-PRON-,PRP,Xx
52,began,begin,VBD,xxxx
53,2017,2017,CD,dddd
54,with,with,IN,xxxx
55,a,a,DT,x
56,strong,strong,JJ,xxxx
57,first,first,JJ,xxxx
58,quarter,quarter,NN,xxxx
59,across,across,IN,xxxx
60,the,the,DT,xxx
61,board,board,NN,xxxx
62,drawing,draw,VBG,xxxx
63,revenues,revenue,NNS,xxxx
64,",",",",",",","
65,EPS,EPS,NNP,XXX
66,",",",",",",","
67,operating,operating,NN,xxxx
68,income,income,NN,xxxx
69,",",",",",",","
70,margins,margin,NNS,xxxx
71,and,and,CC,xxx
72,operating,operate,VBG,xxxx
73,cash,cash,NN,xxxx
74,flow,flow,NN,xxxx
75,"
","
",_SP,"
"
76,Here,here,RB,Xxxx
77,are,be,VBP,xxx
78,some,some,DT,xxxx
79,of,of,IN,xx
80,the,the,DT,xxx
81,key,key,JJ,xxx
82,highlights,highlight,NNS,xxxx
83,--,--,:,--
84,revenues,revenue,NNS,xxxx
85,were,be,VBD,xxxx
86,up,up,RB,xx
87,approximately,approximately,RB,xxxx
88,2,2,CD,d
89,%,%,NN,%
90,on,on,IN,xx
91,a,a,DT,x
92,reported,reported,JJ,xxxx
93,basis,basis,NN,xxxx
94,and,and,CC,xxx
95,3,3,CD,d
96,%,%,NN,%
97,on,on,IN,xx
98,an,an,DT,xx
99,equivalent,equivalent,JJ,xxxx
100,basis,basis,NN,xxxx
101,"
","
",_SP,"
"
102,Reported,report,VBN,Xxxxx
103,EPS,EPS,NNP,XXX
104,of,of,IN,xx
105,$,$,$,$
106,1.16,1.16,CD,d.dd
107,increased,increase,VBD,xxxx
108,63,63,CD,dd
109,%,%,NN,%
110,in,in,IN,xx
111,2016,2016,CD,dddd
112,.,.,.,.
113,Adjusted,adjust,VBN,Xxxxx
114,EPS,EPS,NNP,XXX
115,grew,grow,VBD,xxxx
116,approximately,approximately,RB,xxxx
117,18,18,CD,dd
118,%,%,NN,%
119,to,to,IN,xx
120,$,$,$,$
121,1.33,1.33,CD,d.dd
122,which,which,WDT,xxxx
123,includes,include,VBZ,xxxx
124,$,$,$,$
125,0.11,0.11,CD,d.dd
126,of,of,IN,xx
127,excess,excess,JJ,xxxx
128,tax,tax,NN,xxx
129,benefit,benefit,NN,xxxx
130,associated,associate,VBN,xxxx
131,with,with,IN,xxxx
132,the,the,DT,xxx
133,employee,employee,NN,xxxx
134,stock,stock,NN,xxxx
135,-,-,HYPH,-
136,based,base,VBN,xxxx
137,compensation,compensation,NN,xxxx
138,;,;,:,;
139,more,more,JJR,xxxx
140,on,on,IN,xx
141,this,this,DT,xxxx
142,later,later,RB,xxxx
143,from,from,IN,xxxx
144,Mark,Mark,NNP,Xxxx
145,"
","
",_SP,"
"
146,Cash,cash,NN,Xxxx
147,from,from,IN,xxxx
148,operations,operation,NNS,xxxx
149,increased,increase,VBD,xxxx
150,28,28,CD,dd
151,%,%,NN,%
152,to,to,IN,xx
153,$,$,$,$
154,196,196,CD,ddd
155,million,million,CD,xxxx
156,"
","
",_SP,"
"
157,Now,now,RB,Xxx
158,before,before,IN,xxxx
159,I,-PRON-,PRP,X
160,describe,describe,VBP,xxxx
161,the,the,DT,xxx
162,progress,progress,NN,xxxx
163,we,-PRON-,PRP,xx
164,'ve,have,VB,'xx
165,made,make,VBN,xxxx
166,to,to,TO,xx
167,accelerate,accelerate,VB,xxxx
168,growth,growth,NN,xxxx
169,and,and,CC,xxx
170,drive,drive,VB,xxxx
171,operational,operational,JJ,xxxx
172,excellence,excellence,NN,xxxx
173,",",",",",",","
174,I,-PRON-,PRP,X
175,would,would,MD,xxxx
176,like,like,VB,xxxx
177,to,to,TO,xx
178,briefly,briefly,RB,xxxx
179,discuss,discuss,VB,xxxx
180,PAMA,PAMA,NNP,XXXX
181,"
","
",_SP,"
"
182,CMS,CMS,NNP,XXX
183,postponed,postpone,VBD,xxxx
184,the,the,DT,xxx
185,deadline,deadline,NN,xxxx
186,for,for,IN,xxx
187,labs,lab,NNS,xxxx
188,to,to,TO,xx
189,report,report,VB,xxxx
190,private,private,JJ,xxxx
191,commercial,commercial,JJ,xxxx
192,payer,payer,NN,xxxx
193,pricing,pricing,NN,xxxx
194,data,datum,NNS,xxxx
195,under,under,IN,xxxx
196,PAMA,PAMA,NNP,XXXX
197,for,for,IN,xxx
198,60,60,CD,dd
199,days,day,NNS,xxxx
200,until,until,IN,xxxx
201,May,May,NNP,Xxx
202,30,30,CD,dd
203,.,.,.,.
204,We,-PRON-,PRP,Xx
205,fully,fully,RB,xxxx
206,support,support,VBP,xxxx
207,the,the,DT,xxx
208,decision,decision,NN,xxxx
209,"
","
",_SP,"
"
210,However,however,RB,Xxxxx
211,",",",",",",","
212,we,-PRON-,PRP,xx
213,continue,continue,VBP,xxxx
214,to,to,TO,xx
215,have,have,VB,xxxx
216,some,some,DT,xxxx
217,concerns,concern,NNS,xxxx
218,about,about,IN,xxxx
219,the,the,DT,xxx
220,current,current,JJ,xxxx
221,definition,definition,NN,xxxx
222,of,of,IN,xx
223,applicable,applicable,JJ,xxxx
224,laboratory,laboratory,NN,xxxx
225,",",",",",",","
226,which,which,WDT,xxxx
227,are,be,VBP,xxx
228,those,those,DT,xxxx
229,laboratories,laboratory,NNS,xxxx
230,per,per,IN,xxx
231,quarter,quarter,NN,xxxx
232,to,to,TO,xx
233,report,report,VB,xxxx
234,private,private,JJ,xxxx
235,commercial,commercial,JJ,xxxx
236,payer,payer,NN,xxxx
237,data,datum,NNS,xxxx
238,"
","
",_SP,"
"
239,According,accord,VBG,Xxxxx
240,to,to,IN,xx
241,the,the,DT,xxx
242,office,office,NN,xxxx
243,of,of,IN,xx
244,Inspector,Inspector,NNP,Xxxxx
245,General,General,NNP,Xxxxx
246,'s,'s,POS,'x
247,analysis,analysis,NN,xxxx
248,",",",",",",","
249,the,the,DT,xxx
250,current,current,JJ,xxxx
251,definition,definition,NN,xxxx
252,of,of,IN,xx
253,applicable,applicable,JJ,xxxx
254,laboratory,laboratory,NN,xxxx
255,would,would,MD,xxxx
256,cover,cover,VB,xxxx
257,only,only,RB,xxxx
258,5,5,CD,d
259,%,%,NN,%
260,of,of,IN,xx
261,laboratories,laboratory,NNS,xxxx
262,",",",",",",","
263,representing,represent,VBG,xxxx
264,only,only,RB,xxxx
265,69,69,CD,dd
266,%,%,NN,%
267,of,of,IN,xx
268,Medicare,Medicare,NNP,Xxxxx
269,payments,payment,NNS,xxxx
270,for,for,IN,xxx
271,lab,lab,NN,xxx
272,test,test,NN,xxxx
273,in,in,IN,xx
274,2015,2015,CD,dddd
275,.,.,.,.
276,While,while,IN,Xxxxx
277,we,-PRON-,PRP,xx
278,support,support,VBP,xxxx
279,reform,reform,NN,xxxx
280,of,of,IN,xx
281,Medicare,Medicare,NNP,Xxxxx
282,payment,payment,NN,xxxx
283,system,system,NN,xxxx
284,",",",",",",","
285,we,-PRON-,PRP,xx
286,believe,believe,VBP,xxxx
287,any,any,DT,xxx
288,modification,modification,NN,xxxx
289,should,should,MD,xxxx
290,be,be,VB,xx
291,market,market,NN,xxxx
292,-,-,HYPH,-
293,based,base,VBN,xxxx
294,and,and,CC,xxx
295,appropriately,appropriately,RB,xxxx
296,include,include,VBP,xxxx
297,all,all,DT,xxx
298,applicable,applicable,JJ,xxxx
299,independent,independent,JJ,xxxx
300,and,and,CC,xxx
301,hospital,hospital,NN,xxxx
302,outreach,outreach,NN,xxxx
303,laboratories,laboratory,NNS,xxxx
304,"
","
",_SP,"
"
305,Now,now,RB,Xxx
306,let,let,VB,xxx
307,'s,-PRON-,PRP,'x
308,review,review,VB,xxxx
309,progress,progress,NN,xxxx
310,we,-PRON-,PRP,xx
311,'ve,have,VB,'xx
312,made,make,VBN,xxxx
313,"
","
",_SP,"
"
314,As,as,IN,Xx
315,we,-PRON-,PRP,xx
316,detailed,detail,VBD,xxxx
317,at,at,IN,xx
318,our,-PRON-,PRP$,xxx
319,Investor,Investor,NNP,Xxxxx
320,Day,Day,NNP,Xxx
321,at,at,IN,xx
322,November,November,NNP,Xxxxx
323,",",",",",",","
324,our,-PRON-,PRP$,xxx
325,two,two,CD,xxx
326,-,-,HYPH,-
327,point,point,NN,xxxx
328,strategy,strategy,NN,xxxx
329,is,be,VBZ,xx
330,to,to,TO,xx
331,accelerate,accelerate,VB,xxxx
332,growth,growth,NN,xxxx
333,and,and,CC,xxx
334,drive,drive,VB,xxxx
335,operational,operational,JJ,xxxx
336,excellence,excellence,NN,xxxx
337,"
","
",_SP,"
"
338,We,-PRON-,PRP,Xx
339,grew,grow,VBD,xxxx
340,revenue,revenue,NN,xxxx
341,in,in,IN,xx
342,the,the,DT,xxx
343,quarter,quarter,NN,xxxx
344,empowered,empower,VBN,xxxx
345,by,by,IN,xx
346,continuing,continue,VBG,xxxx
347,to,to,TO,xx
348,expand,expand,VB,xxxx
349,relationships,relationship,NNS,xxxx
350,with,with,IN,xxxx
351,hospital,hospital,NN,xxxx
352,health,health,NN,xxxx
353,systems,system,NNS,xxxx
354,"
","
",_SP,"
"
355,Our,-PRON-,PRP$,Xxx
356,existing,exist,VBG,xxxx
357,professional,professional,JJ,xxxx
358,lab,lab,NN,xxx
359,services,service,NNS,xxxx
360,relationships,relationship,NNS,xxxx
361,including,include,VBG,xxxx
362,RWJ,RWJ,NNP,XXX
363,Barnabas,Barnabas,NNP,Xxxxx
364,in,in,IN,xx
365,New,New,NNP,Xxx
366,Jersey,Jersey,NNP,Xxxxx
367,",",",",",",","
368,HCA,HCA,NNP,XXX
369,in,in,IN,xx
370,Denver,Denver,NNP,Xxxxx
371,and,and,CC,xxx
372,most,most,RBS,xxxx
373,recently,recently,RB,xxxx
374,",",",",",",","
375,Montefiore,Montefiore,NNP,Xxxxx
376,in,in,IN,xx
377,New,New,NNP,Xxx
378,York,York,NNP,Xxxx
379,City,City,NNP,Xxxx
380,are,be,VBP,xxx
381,performing,perform,VBG,xxxx
382,better,better,RBR,xxxx
383,than,than,IN,xxxx
384,expected,expect,VBN,xxxx
385,and,and,CC,xxx
386,our,-PRON-,PRP$,xxx
387,pipeline,pipeline,NN,xxxx
388,for,for,IN,xxx
389,new,new,JJ,xxx
390,relationships,relationship,NNS,xxxx
391,remains,remain,VBZ,xxxx
392,strong,strong,JJ,xxxx
393,"
","
",_SP,"
"
394,So,so,RB,Xx
395,in,in,IN,xx
396,the,the,DT,xxx
397,first,first,JJ,xxxx
398,quarter,quarter,NN,xxxx
399,we,-PRON-,PRP,xx
400,announced,announce,VBD,xxxx
401,the,the,DT,xxx
402,acquisition,acquisition,NN,xxxx
403,of,of,IN,xx
404,an,an,DT,xx
405,outreach,outreach,JJ,xxxx
406,operation,operation,NN,xxxx
407,of,of,IN,xx
408,PeaceHealth,PeaceHealth,NNP,XxxxxXxxxx
409,Laboratories,Laboratories,NNP,Xxxxx
410,and,and,CC,xxx
411,expect,expect,VB,xxxx
412,to,to,TO,xx
413,close,close,VB,xxxx
414,in,in,IN,xx
