,Sentences
0,"Thanks, Agnes"
1,And thank you to all of our shareholders joining us today as we review financial results for the third quarter of fiscal year 2017.
2,"We achieved solid double-digit global revenue growth again this quarter, led by sales from Software-as-a-Service businesses as well as our new mask products"
3,"For the call today, I will review top-level financial results"
4,I will then outline regional highlights from the business and discuss a few key announcements this quarter
5,"Finally, I will hand the call over to Brett, who will walk you through our financial results in more detail"
6,Let me start out with some timely news
7,"Earlier this week, we announced the much anticipated launch of the world's smallest CPAP, the ResMed AirMini"
8,The AirMini is a CPAP solution that is literally small enough to fit inside your pocket
9,"This innovation opens up new channels of cash payment for our homecare provider customers and delivers amazing, compact, quiet, therapeutic comfort to patients"
10,"As a CPAP user myself, I have been using a ResMed AirMini prototype in AutoSet mode for the last year or so and it has changed my quality of life as I travel throughout many of the hundred countries where we sell our products and services"
11,I can't wait for this technology to become available to millions of sleep
12,apnea sufferers around the world as we launch the world's smallest CPAP
13,I'll talk more about this amazing solution later in the call
14,"On the connected care and digital health front, we launched a number of ongoing upgrades of our Brightree and AirView software solutions"
15,Our Software-as-a-Service revenue continues to grow rapidly
16,"Throughout Q3, we have had strong demand for our new range of AirFit masks, including the AirFit N20 in the nasal category and the AirFit F20 in the full face mask category"
17,We have ramped up manufacturing for these products throughout the quarter
18,"And despite continued strong demand, we remain on track to have supply ahead of demand during our current quarter, fiscal Q4."
19,"At the bottom line in terms of non-GAAP net operating profit, we grew at 13% on a year-on-year basis"
20,Our diluted EPS was $0.71 on a non-GAAP basis
21,We continue to balance revenue growth and gross margin improvements as well as ensuring appropriate investments in research and development as well as SG&A so that we can maximize the success of multiple product launches across global markets
22,Now let me drill down on some regional highlights
23,The Americas region produced double-digit revenue growth
24,These results were fueled by SaaS revenue from Brightree as well as solid growth in masks
25,"Device revenue growth this quarter was consistent with the market, and overall patient volume growth is steady"
26,The mask and accessories category grew 8% in the quarter in the Americas
27,"This is up sequentially from Q2, reflecting a strong demand for our new N20 and F20 products"
28,The 97% to 99% fit range and the comfort of the InfinitySeal of the N20 and F20 are being well received
29,There's a long way to go on the ramp of these mask products in the quarter and throughout fiscal year 2018.
30,"Growth in devices in the Americas was in line with the market, at 3%"
31,That was up against a large year-over-year comparable of 15%
32,"We are maintaining the share we gained during the last 18 to 24 months due to our great devices as well as ongoing homecare provider adoption of AirView solutions and our fast-growing patient engagement app, called myAir"
33,We now have over 3 million patients monitored with 100% cloud-connected medical devices in their homes
34,We also have more than 5 million patients in AirView and over 45 million patient accounts in Brightree
35,"We are liberating data and unlocking value for physicians, providers, patients on a daily basis"
36,"We are proud to lead the digital health revolution in sleep apnea and COPD, but we are even more excited by the value that our customers see and how we are reducing costs for therapy setup and enhancing adherence rates for patients, leading to better outcomes"
37,Brightree continues to grow strongly and in line with our acquisition model
38,"This quarter, we launched enhanced features integrating document management capabilities between Brightree and AirView"
39,"We have a robust pipeline of software-enhancement projects that will add even more features to help make our customers' workflows more automated and efficient, freeing up cash flow for even better patient care"
40,"We also achieved very good growth of our respiratory care device platforms, led by the cloud-connected life-support ventilator called Astral"
41,Let's spend a few minutes now reviewing our EMEA and APAC regions
42,"Mask and accessories sales for the combined EMEA and APAC regions were up a very strong 12% this quarter, driven by the launch of our N20 and F20 products"
43,"We continued to received positive feedback in Europe and Asia from patients, physicians, home care providers regarding both the broad fit range as well as the enhanced comfort of the N20 and F20."
44,"This quarter, we also achieved solid growth in our AirSense 10 range of devices, as well as our non-invasive ventilators and Adaptive-Servo Ventilation range in Europe and Asia"
45,Adoption of AirView by home care providers and myAir by patients is increasing in Europe as well
46,We achieved solid growth of our dental mandibular repositioning device called Narval
47,"Our philosophy is however you seek treatment for your sleep apnea, ResMed should be there for you"
48,"Let me now take a few minutes to update you on progress against each of the three horizons in our 2020 Growth Strategy, and then I'll hand the call over to Brett"
49,"In the first horizon of growth, which focuses on our core sleep apnea business, we are making significant advances with the smallest, quietest and most comfortable products, enhanced by digital health and connected care solutions"
50,We launched our new F20 and N20 in the U.S
51,", Europe and many other major markets around the world in the second quarter"
52,We continue to see exceptionally strong demand for these products that led to demand continuing to outpace supply for some of the SKUs in Q3.
53,"Consistent with what we predicted 90 days ago on this call, we expect our supply to catch up with and get ahead of demand during the current quarter, fiscal Q4 2017."
54,"As I briefly discussed earlier, we announced the launch of the ResMed AirMini this week"
55,"The ResMed AirMini, once again, is the world's smallest CPAP"
56,"And, yes, it's also an APAP, with availability of our proprietary AutoSet algorithm"
57,"And, yes, it also has built-in humidification with no water that needs to be added each night"
58,"In addition, there is an AirMini app that can be used with your iOS or Android smartphone so that patients can continue to stay engaged with their therapy even when they are on the road"
59,"You can check out details in our newsroom, at newsroom"
60,The key summary statement is we have created the world's smallest and most portable CPAP that literally fits in your coat pocket
61,One of the biggest requests for portable CPAP devices is the need for humidification
62,We have created humidification technology that's integrated into the mask tubing that we call HumidX
63,This amazing innovation requires no water to be added and provides patients with the humidification and comfort they have learned to expect from ResMed
64,Our well-established AirSense
65,10 device range is still the best device for at-home use
66,Our brand new AirMini just adds to that as the best device for use on the road
67,We have been conducting controlled product launches in select countries and the feedback from patients and providers on the AirMini has been excellent
68,"We also showed the ResMed AirMini to physicians at the Sleep and Breathing Conference in Marseille, France"
69,The doctors that saw the product there are very excited to add this to their portfolio of sleep apnea solutions for their patients
70,We will provide more details as we launch the ResMed AirMini over the coming quarter and throughout fiscal year 2018.
71,"We continue to lead in the field of connected care, one of the key foundations of our Growth Strategy"
72,"In February, the European research firm, Berg Insight, released their annual Mobile Health, or mHealth and Home Monitoring Report"
73,"This report named ResMed as a key global leader in remote patient monitoring, with over 2 million devices connected"
74,We just announced that we are actually well beyond 3 million devices that are 100% cloud connected
75,"As the world's leading tech-driven medical device company, we now have more than 1 billion nights of sleep data"
76,Our digital health apps have been clinically proven to improve patient adherence and our software has demonstrated that it lowers the cost of therapy setup
