,Word,Lemma,POSTag,Shape
0,Thanks,thank,NNS,Xxxxx
1,",",",",",",","
2,Agnes,Agnes,NNP,Xxxxx
3,"
","
",_SP,"
"
4,And,and,CC,Xxx
5,thank,thank,VBP,xxxx
6,you,-PRON-,PRP,xxx
7,to,to,IN,xx
8,all,all,DT,xxx
9,of,of,IN,xx
10,our,-PRON-,PRP$,xxx
11,shareholders,shareholder,NNS,xxxx
12,joining,join,VBG,xxxx
13,us,-PRON-,PRP,xx
14,today,today,NN,xxxx
15,as,as,IN,xx
16,we,-PRON-,PRP,xx
17,review,review,VBP,xxxx
18,financial,financial,JJ,xxxx
19,results,result,NNS,xxxx
20,for,for,IN,xxx
21,the,the,DT,xxx
22,third,third,JJ,xxxx
23,quarter,quarter,NN,xxxx
24,of,of,IN,xx
25,fiscal,fiscal,JJ,xxxx
26,year,year,NN,xxxx
27,2017,2017,CD,dddd
28,.,.,.,.
29,We,-PRON-,PRP,Xx
30,achieved,achieve,VBD,xxxx
31,solid,solid,JJ,xxxx
32,double,double,JJ,xxxx
33,-,-,HYPH,-
34,digit,digit,NN,xxxx
35,global,global,JJ,xxxx
36,revenue,revenue,NN,xxxx
37,growth,growth,NN,xxxx
38,again,again,RB,xxxx
39,this,this,DT,xxxx
40,quarter,quarter,NN,xxxx
41,",",",",",",","
42,led,lead,VBN,xxx
43,by,by,IN,xx
44,sales,sale,NNS,xxxx
45,from,from,IN,xxxx
46,Software,software,NN,Xxxxx
47,-,-,HYPH,-
48,as,as,IN,xx
49,-,-,HYPH,-
50,a,a,DT,x
51,-,-,HYPH,-
52,Service,service,NN,Xxxxx
53,businesses,business,NNS,xxxx
54,as,as,RB,xx
55,well,well,RB,xxxx
56,as,as,IN,xx
57,our,-PRON-,PRP$,xxx
58,new,new,JJ,xxx
59,mask,mask,NN,xxxx
60,products,product,NNS,xxxx
61,"
","
",_SP,"
"
62,For,for,IN,Xxx
63,the,the,DT,xxx
64,call,call,NN,xxxx
65,today,today,NN,xxxx
66,",",",",",",","
67,I,-PRON-,PRP,X
68,will,will,MD,xxxx
69,review,review,VB,xxxx
70,top,top,JJ,xxx
71,-,-,HYPH,-
72,level,level,NN,xxxx
73,financial,financial,JJ,xxxx
74,results,result,NNS,xxxx
75,"
","
",_SP,"
"
76,I,-PRON-,PRP,X
77,will,will,MD,xxxx
78,then,then,RB,xxxx
79,outline,outline,VB,xxxx
80,regional,regional,JJ,xxxx
81,highlights,highlight,NNS,xxxx
82,from,from,IN,xxxx
83,the,the,DT,xxx
84,business,business,NN,xxxx
85,and,and,CC,xxx
86,discuss,discuss,VB,xxxx
87,a,a,DT,x
88,few,few,JJ,xxx
89,key,key,JJ,xxx
90,announcements,announcement,NNS,xxxx
91,this,this,DT,xxxx
92,quarter,quarter,NN,xxxx
93,"
","
",_SP,"
"
94,Finally,finally,RB,Xxxxx
95,",",",",",",","
96,I,-PRON-,PRP,X
97,will,will,MD,xxxx
98,hand,hand,VB,xxxx
99,the,the,DT,xxx
100,call,call,NN,xxxx
101,over,over,RP,xxxx
102,to,to,IN,xx
103,Brett,Brett,NNP,Xxxxx
104,",",",",",",","
105,who,who,WP,xxx
106,will,will,MD,xxxx
107,walk,walk,VB,xxxx
108,you,-PRON-,PRP,xxx
109,through,through,IN,xxxx
110,our,-PRON-,PRP$,xxx
111,financial,financial,JJ,xxxx
112,results,result,NNS,xxxx
113,in,in,IN,xx
114,more,more,JJR,xxxx
115,detail,detail,NN,xxxx
116,"
","
",_SP,"
"
117,Let,let,VB,Xxx
118,me,-PRON-,PRP,xx
119,start,start,VB,xxxx
120,out,out,RP,xxx
121,with,with,IN,xxxx
122,some,some,DT,xxxx
123,timely,timely,JJ,xxxx
124,news,news,NN,xxxx
125,"
","
",_SP,"
"
126,Earlier,earlier,RBR,Xxxxx
127,this,this,DT,xxxx
128,week,week,NN,xxxx
129,",",",",",",","
130,we,-PRON-,PRP,xx
131,announced,announce,VBD,xxxx
132,the,the,DT,xxx
133,much,much,RB,xxxx
134,anticipated,anticipated,JJ,xxxx
135,launch,launch,NN,xxxx
136,of,of,IN,xx
137,the,the,DT,xxx
138,world,world,NN,xxxx
139,'s,'s,POS,'x
140,smallest,small,JJS,xxxx
141,CPAP,CPAP,NNP,XXXX
142,",",",",",",","
143,the,the,DT,xxx
144,ResMed,ResMed,NNP,XxxXxx
145,AirMini,AirMini,NNP,XxxXxxx
146,"
","
",_SP,"
"
147,The,the,DT,Xxx
148,AirMini,AirMini,NNP,XxxXxxx
149,is,be,VBZ,xx
150,a,a,DT,x
151,CPAP,CPAP,NNP,XXXX
152,solution,solution,NN,xxxx
153,that,that,WDT,xxxx
154,is,be,VBZ,xx
155,literally,literally,RB,xxxx
156,small,small,JJ,xxxx
157,enough,enough,RB,xxxx
158,to,to,TO,xx
159,fit,fit,VB,xxx
160,inside,inside,IN,xxxx
161,your,-PRON-,PRP$,xxxx
162,pocket,pocket,NN,xxxx
163,"
","
",_SP,"
"
164,This,this,DT,Xxxx
165,innovation,innovation,NN,xxxx
166,opens,open,VBZ,xxxx
167,up,up,RP,xx
168,new,new,JJ,xxx
169,channels,channel,NNS,xxxx
170,of,of,IN,xx
171,cash,cash,NN,xxxx
172,payment,payment,NN,xxxx
173,for,for,IN,xxx
174,our,-PRON-,PRP$,xxx
175,homecare,homecare,NNP,xxxx
176,provider,provider,NN,xxxx
177,customers,customer,NNS,xxxx
178,and,and,CC,xxx
179,delivers,deliver,VBZ,xxxx
180,amazing,amazing,JJ,xxxx
181,",",",",",",","
182,compact,compact,JJ,xxxx
183,",",",",",",","
184,quiet,quiet,JJ,xxxx
185,",",",",",",","
186,therapeutic,therapeutic,JJ,xxxx
187,comfort,comfort,NN,xxxx
188,to,to,IN,xx
189,patients,patient,NNS,xxxx
190,"
","
",_SP,"
"
191,As,as,IN,Xx
192,a,a,DT,x
193,CPAP,cpap,NN,XXXX
194,user,user,NN,xxxx
195,myself,-PRON-,PRP,xxxx
196,",",",",",",","
197,I,-PRON-,PRP,X
198,have,have,VBP,xxxx
199,been,be,VBN,xxxx
200,using,use,VBG,xxxx
201,a,a,DT,x
202,ResMed,ResMed,NNP,XxxXxx
203,AirMini,AirMini,NNP,XxxXxxx
204,prototype,prototype,NN,xxxx
205,in,in,IN,xx
206,AutoSet,AutoSet,NNP,XxxxXxx
207,mode,mode,NN,xxxx
208,for,for,IN,xxx
209,the,the,DT,xxx
210,last,last,JJ,xxxx
211,year,year,NN,xxxx
212,or,or,CC,xx
213,so,so,RB,xx
214,and,and,CC,xxx
215,it,-PRON-,PRP,xx
216,has,have,VBZ,xxx
217,changed,change,VBN,xxxx
218,my,-PRON-,PRP$,xx
219,quality,quality,NN,xxxx
220,of,of,IN,xx
221,life,life,NN,xxxx
222,as,as,IN,xx
223,I,-PRON-,PRP,X
224,travel,travel,VBP,xxxx
225,throughout,throughout,IN,xxxx
226,many,many,JJ,xxxx
227,of,of,IN,xx
228,the,the,DT,xxx
229,hundred,hundred,CD,xxxx
230,countries,country,NNS,xxxx
231,where,where,WRB,xxxx
232,we,-PRON-,PRP,xx
233,sell,sell,VBP,xxxx
234,our,-PRON-,PRP$,xxx
235,products,product,NNS,xxxx
236,and,and,CC,xxx
237,services,service,NNS,xxxx
238,"
","
",_SP,"
"
239,I,-PRON-,PRP,X
240,ca,can,MD,xx
241,n't,not,RB,x'x
242,wait,wait,VB,xxxx
243,for,for,IN,xxx
244,this,this,DT,xxxx
245,technology,technology,NN,xxxx
246,to,to,TO,xx
247,become,become,VB,xxxx
248,available,available,JJ,xxxx
249,to,to,IN,xx
250,millions,million,NNS,xxxx
251,of,of,IN,xx
252,sleep,sleep,NN,xxxx
253,apnea,apnea,NN,xxxx
254,sufferers,sufferer,NNS,xxxx
255,around,around,IN,xxxx
256,the,the,DT,xxx
257,world,world,NN,xxxx
258,as,as,IN,xx
259,we,-PRON-,PRP,xx
260,launch,launch,VBP,xxxx
261,the,the,DT,xxx
262,world,world,NN,xxxx
263,'s,'s,POS,'x
264,smallest,small,JJS,xxxx
265,CPAP,cpap,NN,XXXX
266,"
","
",_SP,"
"
267,I,-PRON-,PRP,X
268,'ll,will,MD,'xx
269,talk,talk,VB,xxxx
270,more,more,JJR,xxxx
271,about,about,IN,xxxx
272,this,this,DT,xxxx
273,amazing,amazing,JJ,xxxx
274,solution,solution,NN,xxxx
275,later,later,RB,xxxx
276,in,in,IN,xx
277,the,the,DT,xxx
278,call,call,NN,xxxx
279,"
","
",_SP,"
"
280,On,on,IN,Xx
281,the,the,DT,xxx
282,connected,connected,JJ,xxxx
283,care,care,NN,xxxx
284,and,and,CC,xxx
285,digital,digital,JJ,xxxx
286,health,health,NN,xxxx
287,front,front,NN,xxxx
288,",",",",",",","
289,we,-PRON-,PRP,xx
290,launched,launch,VBD,xxxx
291,a,a,DT,x
292,number,number,NN,xxxx
293,of,of,IN,xx
294,ongoing,ongoing,JJ,xxxx
295,upgrades,upgrade,NNS,xxxx
296,of,of,IN,xx
297,our,-PRON-,PRP$,xxx
298,Brightree,Brightree,NNP,Xxxxx
299,and,and,CC,xxx
300,AirView,AirView,NNP,XxxXxxx
301,software,software,NN,xxxx
302,solutions,solution,NNS,xxxx
303,"
","
",_SP,"
"
304,Our,-PRON-,PRP$,Xxx
305,Software,software,NN,Xxxxx
306,-,-,HYPH,-
307,as,as,IN,xx
308,-,-,HYPH,-
309,a,a,DT,x
310,-,-,HYPH,-
311,Service,service,NN,Xxxxx
312,revenue,revenue,NN,xxxx
313,continues,continue,VBZ,xxxx
314,to,to,TO,xx
315,grow,grow,VB,xxxx
316,rapidly,rapidly,RB,xxxx
317,"
","
",_SP,"
"
318,Throughout,throughout,IN,Xxxxx
319,Q3,Q3,NNP,Xd
320,",",",",",",","
321,we,-PRON-,PRP,xx
322,have,have,VBP,xxxx
323,had,have,VBN,xxx
324,strong,strong,JJ,xxxx
325,demand,demand,NN,xxxx
326,for,for,IN,xxx
327,our,-PRON-,PRP$,xxx
328,new,new,JJ,xxx
329,range,range,NN,xxxx
330,of,of,IN,xx
331,AirFit,AirFit,NNP,XxxXxx
332,masks,mask,NNS,xxxx
333,",",",",",",","
334,including,include,VBG,xxxx
335,the,the,DT,xxx
336,AirFit,AirFit,NNP,XxxXxx
337,N20,N20,NNP,Xdd
338,in,in,IN,xx
339,the,the,DT,xxx
340,nasal,nasal,NN,xxxx
341,category,category,NN,xxxx
342,and,and,CC,xxx
343,the,the,DT,xxx
344,AirFit,AirFit,NNP,XxxXxx
345,F20,F20,NNP,Xdd
346,in,in,IN,xx
347,the,the,DT,xxx
348,full,full,JJ,xxxx
349,face,face,NN,xxxx
350,mask,mask,NN,xxxx
351,category,category,NN,xxxx
352,"
","
",_SP,"
"
353,We,-PRON-,PRP,Xx
354,have,have,VBP,xxxx
355,ramped,ramp,VBN,xxxx
356,up,up,RP,xx
357,manufacturing,manufacture,VBG,xxxx
358,for,for,IN,xxx
359,these,these,DT,xxxx
360,products,product,NNS,xxxx
361,throughout,throughout,IN,xxxx
362,the,the,DT,xxx
363,quarter,quarter,NN,xxxx
364,"
","
",_SP,"
"
365,And,and,CC,Xxx
366,despite,despite,IN,xxxx
367,continued,continue,VBN,xxxx
368,strong,strong,JJ,xxxx
369,demand,demand,NN,xxxx
370,",",",",",",","
371,we,-PRON-,PRP,xx
372,remain,remain,VBP,xxxx
373,on,on,IN,xx
374,track,track,NN,xxxx
375,to,to,TO,xx
376,have,have,VB,xxxx
377,supply,supply,NN,xxxx
378,ahead,ahead,RB,xxxx
379,of,of,IN,xx
380,demand,demand,NN,xxxx
381,during,during,IN,xxxx
382,our,-PRON-,PRP$,xxx
383,current,current,JJ,xxxx
384,quarter,quarter,NN,xxxx
385,",",",",",",","
386,fiscal,fiscal,JJ,xxxx
387,Q4,Q4,NNP,Xd
388,.,.,.,.
389,At,at,IN,Xx
390,the,the,DT,xxx
391,bottom,bottom,JJ,xxxx
392,line,line,NN,xxxx
393,in,in,IN,xx
394,terms,term,NNS,xxxx
395,of,of,IN,xx
396,non,non,JJ,xxx
397,-,-,JJ,-
398,GAAP,gaap,JJ,XXXX
399,net,net,JJ,xxx
400,operating,operating,NN,xxxx
401,profit,profit,NN,xxxx
402,",",",",",",","
403,we,-PRON-,PRP,xx
404,grew,grow,VBD,xxxx
405,at,at,IN,xx
406,13,13,CD,dd
407,%,%,NN,%
408,on,on,IN,xx
409,a,a,DT,x
410,year,year,NN,xxxx
411,-,-,HYPH,-
412,on,on,IN,xx
413,-,-,HYPH,-
414,year,year,NN,xxxx
