,Sentences
0,"Thanks, Katherine"
1,My comments today will be focused on our third quarter financial results and the related performance drivers
2,The detailed financial data and results have been included in today's press release
3,Organic sales growth for the quarter was 5.5%
4,"As a reminder, this quarter included one less selling day, reducing growth by roughly 1%"
5,"As we've previously stated, selling days generally do not have an impact on the performance of our capital businesses"
6,"Pricing in the quarter was unfavorable 1% from the prior year, while foreign currency had a favorable 0.3% impact on sales"
7,"During the quarter, our sales were negatively impacted by the Sage product action and the hurricanes that interrupted business in Texas and Florida"
8,These events negatively impacted our overall organic sales growth by 240 basis points
9,", we continue to see good momentum with organic sales growth of 5.6%, which was evident within Orthopaedics, MedSurg and Neurotechnology segments"
10,Our U.S
11,organic sales were negatively impacted by the aforementioned Sage product action and weather-related matters by 320 basis points
12,"Our international organic sales growth of 5.2% was highlighted by solid performances in Europe, Asia and Latin America"
13,All geographies were impacted by one less selling day
14,"Our adjusted quarterly earnings per diluted share of $1.52 increased 9.4% from the prior year, reflecting strong sales volumes and some favorability in our effective tax rate"
15,"Our third quarter EPS, as anticipated, was not significantly impacted by foreign currency exchange rates"
16,"Taking into account the Sage product actions, the impact of weather and NOVADAQ, we estimate that our adjusted quarterly earnings per diluted share was negatively impacted by $0.05 per share"
17,Now I will provide some highlights around our segment performance
18,"Orthopaedics delivered constant currency growth of 4.8% and organic growth of 4.5%, including U.S"
19,organic growth of 6.1%
20,"Adjusting for weather-related disruptions in the quarter, our U.S"
21,Orthopaedic business had organic growth of 6.7%
22,We experienced a number of canceled hip and knee procedures in Houston and more significantly in Florida as a result of the hurricanes
23,"We anticipate many of these cases will be rescheduled in the coming months, but cannot predict scheduling availability during Q4."
24,Our U.S
25,performance was highlighted by growth in Knees of 4.3% and Trauma and Extremities at 9.9%
26,These growth rates include the impact of weather-related disruptions
27,"We continue to see strong demand for our 3D-printed products, our Foot and Ankle portfolio, our Triathlon knee and our Mako robotics platform"
28,Orthopaedics international delivered organic growth of 1.2% and included steady performances across all developed markets
29,"MedSurg continued to have strong results in the quarter with constant currency growth of 6.2% and organic growth of 5.6%, which included a 5.3% increase in the U.S"
30,"Adjusting for the Sage-related product actions and weather-related disruptions in the quarter, our U.S"
31,MedSurg group had organic growth of 11.6%
32,Our Instruments business had U.S
33,organic sales growth of 6.4%
