,Word,Lemma,POSTag,Shape
0,Thanks,thank,NNS,Xxxxx
1,",",",",",",","
2,Katherine,Katherine,NNP,Xxxxx
3,"
","
",_SP,"
"
4,My,-PRON-,PRP$,Xx
5,comments,comment,NNS,xxxx
6,today,today,NN,xxxx
7,will,will,MD,xxxx
8,be,be,VB,xx
9,focused,focus,VBN,xxxx
10,on,on,IN,xx
11,our,-PRON-,PRP$,xxx
12,third,third,JJ,xxxx
13,quarter,quarter,NN,xxxx
14,financial,financial,JJ,xxxx
15,results,result,NNS,xxxx
16,and,and,CC,xxx
17,the,the,DT,xxx
18,related,related,JJ,xxxx
19,performance,performance,NN,xxxx
20,drivers,driver,NNS,xxxx
21,"
","
",_SP,"
"
22,The,the,DT,Xxx
23,detailed,detailed,JJ,xxxx
24,financial,financial,JJ,xxxx
25,data,datum,NNS,xxxx
26,and,and,CC,xxx
27,results,result,NNS,xxxx
28,have,have,VBP,xxxx
29,been,be,VBN,xxxx
30,included,include,VBN,xxxx
31,in,in,IN,xx
32,today,today,NN,xxxx
33,'s,'s,POS,'x
34,press,press,NN,xxxx
35,release,release,NN,xxxx
36,"
","
",_SP,"
"
37,Organic,organic,JJ,Xxxxx
38,sales,sale,NNS,xxxx
39,growth,growth,NN,xxxx
40,for,for,IN,xxx
41,the,the,DT,xxx
42,quarter,quarter,NN,xxxx
43,was,be,VBD,xxx
44,5.5,5.5,CD,d.d
45,%,%,NN,%
46,"
","
",_SP,"
"
47,As,as,IN,Xx
48,a,a,DT,x
49,reminder,reminder,NN,xxxx
50,",",",",",",","
51,this,this,DT,xxxx
52,quarter,quarter,NN,xxxx
53,included,include,VBD,xxxx
54,one,one,CD,xxx
55,less,less,JJR,xxxx
56,selling,selling,NN,xxxx
57,day,day,NN,xxx
58,",",",",",",","
59,reducing,reduce,VBG,xxxx
60,growth,growth,NN,xxxx
61,by,by,IN,xx
62,roughly,roughly,RB,xxxx
63,1,1,CD,d
64,%,%,NN,%
65,"
","
",_SP,"
"
66,As,as,IN,Xx
67,we,-PRON-,PRP,xx
68,'ve,have,VB,'xx
69,previously,previously,RB,xxxx
70,stated,state,VBN,xxxx
71,",",",",",",","
72,selling,sell,VBG,xxxx
73,days,day,NNS,xxxx
74,generally,generally,RB,xxxx
75,do,do,VBP,xx
76,not,not,RB,xxx
77,have,have,VB,xxxx
78,an,an,DT,xx
79,impact,impact,NN,xxxx
80,on,on,IN,xx
81,the,the,DT,xxx
82,performance,performance,NN,xxxx
83,of,of,IN,xx
84,our,-PRON-,PRP$,xxx
85,capital,capital,NN,xxxx
86,businesses,business,NNS,xxxx
87,"
","
",_SP,"
"
88,Pricing,price,VBG,Xxxxx
89,in,in,IN,xx
90,the,the,DT,xxx
91,quarter,quarter,NN,xxxx
92,was,be,VBD,xxx
93,unfavorable,unfavorable,JJ,xxxx
94,1,1,CD,d
95,%,%,NN,%
96,from,from,IN,xxxx
97,the,the,DT,xxx
98,prior,prior,JJ,xxxx
99,year,year,NN,xxxx
100,",",",",",",","
101,while,while,IN,xxxx
102,foreign,foreign,JJ,xxxx
103,currency,currency,NN,xxxx
104,had,have,VBD,xxx
105,a,a,DT,x
106,favorable,favorable,JJ,xxxx
107,0.3,0.3,CD,d.d
108,%,%,NN,%
109,impact,impact,NN,xxxx
110,on,on,IN,xx
111,sales,sale,NNS,xxxx
112,"
","
",_SP,"
"
113,During,during,IN,Xxxxx
114,the,the,DT,xxx
115,quarter,quarter,NN,xxxx
116,",",",",",",","
117,our,-PRON-,PRP$,xxx
118,sales,sale,NNS,xxxx
119,were,be,VBD,xxxx
120,negatively,negatively,RB,xxxx
121,impacted,impact,VBN,xxxx
122,by,by,IN,xx
123,the,the,DT,xxx
124,Sage,Sage,NNP,Xxxx
125,product,product,NN,xxxx
126,action,action,NN,xxxx
127,and,and,CC,xxx
128,the,the,DT,xxx
129,hurricanes,hurricane,NNS,xxxx
130,that,that,WDT,xxxx
131,interrupted,interrupt,VBD,xxxx
132,business,business,NN,xxxx
133,in,in,IN,xx
134,Texas,Texas,NNP,Xxxxx
135,and,and,CC,xxx
136,Florida,Florida,NNP,Xxxxx
137,"
","
",_SP,"
"
138,These,these,DT,Xxxxx
139,events,event,NNS,xxxx
140,negatively,negatively,RB,xxxx
141,impacted,impact,VBD,xxxx
142,our,-PRON-,PRP$,xxx
143,overall,overall,JJ,xxxx
144,organic,organic,JJ,xxxx
145,sales,sale,NNS,xxxx
146,growth,growth,NN,xxxx
147,by,by,IN,xx
148,240,240,CD,ddd
149,basis,basis,NN,xxxx
150,points,point,NNS,xxxx
151,"
","
",_SP,"
"
152,",",",",",",","
153,we,-PRON-,PRP,xx
154,continue,continue,VBP,xxxx
155,to,to,TO,xx
156,see,see,VB,xxx
157,good,good,JJ,xxxx
158,momentum,momentum,NN,xxxx
159,with,with,IN,xxxx
160,organic,organic,JJ,xxxx
161,sales,sale,NNS,xxxx
162,growth,growth,NN,xxxx
163,of,of,IN,xx
164,5.6,5.6,CD,d.d
165,%,%,NN,%
166,",",",",",",","
167,which,which,WDT,xxxx
168,was,be,VBD,xxx
169,evident,evident,JJ,xxxx
170,within,within,IN,xxxx
171,Orthopaedics,Orthopaedics,NNP,Xxxxx
172,",",",",",",","
173,MedSurg,MedSurg,NNP,XxxXxxx
174,and,and,CC,xxx
175,Neurotechnology,Neurotechnology,NNP,Xxxxx
176,segments,segment,NNS,xxxx
177,"
","
",_SP,"
"
178,Our,-PRON-,PRP$,Xxx
179,U.S,U.S,NNP,X.X
180,"
","
",_SP,"
"
181,organic,organic,JJ,xxxx
182,sales,sale,NNS,xxxx
183,were,be,VBD,xxxx
184,negatively,negatively,RB,xxxx
185,impacted,impact,VBN,xxxx
186,by,by,IN,xx
187,the,the,DT,xxx
188,aforementioned,aforementioned,JJ,xxxx
189,Sage,Sage,NNP,Xxxx
190,product,product,NN,xxxx
191,action,action,NN,xxxx
192,and,and,CC,xxx
193,weather,weather,NN,xxxx
194,-,-,HYPH,-
195,related,relate,VBN,xxxx
196,matters,matter,NNS,xxxx
197,by,by,IN,xx
198,320,320,CD,ddd
199,basis,basis,NN,xxxx
200,points,point,NNS,xxxx
201,"
","
",_SP,"
"
202,Our,-PRON-,PRP$,Xxx
203,international,international,JJ,xxxx
204,organic,organic,JJ,xxxx
205,sales,sale,NNS,xxxx
206,growth,growth,NN,xxxx
207,of,of,IN,xx
208,5.2,5.2,CD,d.d
209,%,%,NN,%
210,was,be,VBD,xxx
211,highlighted,highlight,VBN,xxxx
212,by,by,IN,xx
213,solid,solid,JJ,xxxx
214,performances,performance,NNS,xxxx
215,in,in,IN,xx
216,Europe,Europe,NNP,Xxxxx
217,",",",",",",","
218,Asia,Asia,NNP,Xxxx
219,and,and,CC,xxx
220,Latin,Latin,NNP,Xxxxx
221,America,America,NNP,Xxxxx
222,"
","
",_SP,"
"
223,All,all,DT,Xxx
224,geographies,geography,NNS,xxxx
225,were,be,VBD,xxxx
226,impacted,impact,VBN,xxxx
227,by,by,IN,xx
228,one,one,CD,xxx
229,less,less,JJR,xxxx
230,selling,selling,NN,xxxx
231,day,day,NN,xxx
232,"
","
",_SP,"
"
233,Our,-PRON-,PRP$,Xxx
234,adjusted,adjust,VBN,xxxx
235,quarterly,quarterly,JJ,xxxx
236,earnings,earning,NNS,xxxx
237,per,per,IN,xxx
238,diluted,diluted,JJ,xxxx
239,share,share,NN,xxxx
240,of,of,IN,xx
241,$,$,$,$
242,1.52,1.52,CD,d.dd
243,increased,increase,VBD,xxxx
244,9.4,9.4,CD,d.d
245,%,%,NN,%
246,from,from,IN,xxxx
247,the,the,DT,xxx
248,prior,prior,JJ,xxxx
249,year,year,NN,xxxx
250,",",",",",",","
251,reflecting,reflect,VBG,xxxx
252,strong,strong,JJ,xxxx
253,sales,sale,NNS,xxxx
254,volumes,volume,NNS,xxxx
255,and,and,CC,xxx
256,some,some,DT,xxxx
257,favorability,favorability,NN,xxxx
258,in,in,IN,xx
259,our,-PRON-,PRP$,xxx
260,effective,effective,JJ,xxxx
261,tax,tax,NN,xxx
262,rate,rate,NN,xxxx
263,"
","
",_SP,"
"
264,Our,-PRON-,PRP$,Xxx
265,third,third,JJ,xxxx
266,quarter,quarter,NN,xxxx
267,EPS,EPS,NNP,XXX
268,",",",",",",","
269,as,as,IN,xx
270,anticipated,anticipate,VBN,xxxx
271,",",",",",",","
272,was,be,VBD,xxx
273,not,not,RB,xxx
274,significantly,significantly,RB,xxxx
275,impacted,impact,VBN,xxxx
276,by,by,IN,xx
277,foreign,foreign,JJ,xxxx
278,currency,currency,NN,xxxx
279,exchange,exchange,NN,xxxx
280,rates,rate,NNS,xxxx
281,"
","
",_SP,"
"
282,Taking,take,VBG,Xxxxx
283,into,into,IN,xxxx
284,account,account,NN,xxxx
285,the,the,DT,xxx
286,Sage,Sage,NNP,Xxxx
287,product,product,NN,xxxx
288,actions,action,NNS,xxxx
289,",",",",",",","
290,the,the,DT,xxx
291,impact,impact,NN,xxxx
292,of,of,IN,xx
293,weather,weather,NN,xxxx
294,and,and,CC,xxx
295,NOVADAQ,NOVADAQ,NNP,XXXX
296,",",",",",",","
297,we,-PRON-,PRP,xx
298,estimate,estimate,VBP,xxxx
299,that,that,IN,xxxx
300,our,-PRON-,PRP$,xxx
301,adjusted,adjust,VBN,xxxx
302,quarterly,quarterly,JJ,xxxx
303,earnings,earning,NNS,xxxx
304,per,per,IN,xxx
305,diluted,diluted,JJ,xxxx
306,share,share,NN,xxxx
307,was,be,VBD,xxx
308,negatively,negatively,RB,xxxx
309,impacted,impact,VBN,xxxx
310,by,by,IN,xx
311,$,$,$,$
312,0.05,0.05,CD,d.dd
313,per,per,IN,xxx
314,share,share,NN,xxxx
315,"
","
",_SP,"
"
316,Now,now,RB,Xxx
317,I,-PRON-,PRP,X
318,will,will,MD,xxxx
319,provide,provide,VB,xxxx
320,some,some,DT,xxxx
321,highlights,highlight,NNS,xxxx
322,around,around,IN,xxxx
323,our,-PRON-,PRP$,xxx
324,segment,segment,NN,xxxx
325,performance,performance,NN,xxxx
326,"
","
",_SP,"
"
327,Orthopaedics,orthopaedic,NNS,Xxxxx
328,delivered,deliver,VBD,xxxx
329,constant,constant,JJ,xxxx
330,currency,currency,NN,xxxx
331,growth,growth,NN,xxxx
332,of,of,IN,xx
333,4.8,4.8,CD,d.d
334,%,%,NN,%
335,and,and,CC,xxx
336,organic,organic,JJ,xxxx
337,growth,growth,NN,xxxx
338,of,of,IN,xx
339,4.5,4.5,CD,d.d
340,%,%,NN,%
341,",",",",",",","
342,including,include,VBG,xxxx
343,U.S,U.S,NNP,X.X
344,"
","
",_SP,"
"
345,organic,organic,JJ,xxxx
346,growth,growth,NN,xxxx
347,of,of,IN,xx
348,6.1,6.1,CD,d.d
349,%,%,NN,%
350,"
","
",_SP,"
"
351,Adjusting,adjust,VBG,Xxxxx
352,for,for,IN,xxx
353,weather,weather,NN,xxxx
354,-,-,HYPH,-
355,related,relate,VBN,xxxx
356,disruptions,disruption,NNS,xxxx
357,in,in,IN,xx
358,the,the,DT,xxx
359,quarter,quarter,NN,xxxx
360,",",",",",",","
361,our,-PRON-,PRP$,xxx
362,U.S,U.S,NNP,X.X
363,"
","
",_SP,"
"
364,Orthopaedic,orthopaedic,JJ,Xxxxx
365,business,business,NN,xxxx
366,had,have,VBD,xxx
367,organic,organic,JJ,xxxx
368,growth,growth,NN,xxxx
369,of,of,IN,xx
370,6.7,6.7,CD,d.d
371,%,%,NN,%
372,"
","
",_SP,"
"
373,We,-PRON-,PRP,Xx
374,experienced,experience,VBD,xxxx
375,a,a,DT,x
376,number,number,NN,xxxx
377,of,of,IN,xx
378,canceled,cancel,VBN,xxxx
379,hip,hip,NN,xxx
380,and,and,CC,xxx
381,knee,knee,NN,xxxx
382,procedures,procedure,NNS,xxxx
383,in,in,IN,xx
384,Houston,Houston,NNP,Xxxxx
385,and,and,CC,xxx
386,more,more,RBR,xxxx
387,significantly,significantly,RB,xxxx
388,in,in,IN,xx
389,Florida,Florida,NNP,Xxxxx
390,as,as,IN,xx
391,a,a,DT,x
392,result,result,NN,xxxx
393,of,of,IN,xx
394,the,the,DT,xxx
395,hurricanes,hurricane,NNS,xxxx
396,"
","
",_SP,"
"
397,We,-PRON-,PRP,Xx
398,anticipate,anticipate,VBP,xxxx
399,many,many,JJ,xxxx
400,of,of,IN,xx
401,these,these,DT,xxxx
402,cases,case,NNS,xxxx
403,will,will,MD,xxxx
404,be,be,VB,xx
405,rescheduled,reschedule,VBN,xxxx
406,in,in,IN,xx
407,the,the,DT,xxx
