,Sentences
0,"Ken, thank you, and good morning, everyone"
1,Thanks for joining us today for our Q1 call
2,"We accomplished a lot in the quarter, and we had a great start to the year"
3,We delivered strong financial performance on both the top- and bottom-line
4,We had a very productive quarter for innovation across our businesses
5,"We continued our strong growth momentum in Asia-Pacific, and we enhanced our customer value proposition with two strategic bolt-on acquisitions while continuing to return capital to our shareholders"
6,"Our team executed well to deliver a strong Q1, and we're well positioned to deliver another excellent year"
7,"I'll cover each of these highlights in my remarks, starting with our financial results"
8,"We delivered excellent adjusted EPS growth in Q1, with a 16% increase to $2.08 per share"
9,Our revenue in Q1 grew 11% year-over-year
10,"Our adjusted operating income increased 16%, and we expanded our adjusted operating margin by 90 basis points to 22.6%"
11,So we clearly had a great start to the year
12,"Turning now to our performance by end market, in pharma and biotech, we continued to see good growth and our performance in Q1 was in the high-single-digits"
13,The combination of good market fundamentals and the strength of our unique value proposition continues to drive demand from these customers
14,"We had another strong quarter in our bioproduction business, and we also saw strong demand for our biosciences products"
15,Our performance in academic and government end markets in Q1 was similar to what we saw last year and we grew in the low-single-digits
16,"In health care and diagnostics, conditions really haven't changed since last year, and we grew in the low-single-digits in this end market as well"
17,"Last, in industrial and applied, we grew at the company average"
18,"Applied markets continued to be strong, and we saw good growth in our research and safety market channel with industrial customers"
19,Now let me turn to our growth strategy and touch on some of the great progress we made in Q1 to position Thermo Fisher for an even stronger future
20,"As you know, our growth strategy is based on three pillars: developing high-impact, innovative new products; leveraging our scale in Asia-Pacific and emerging markets; and delivering our unique customer value proposition"
21,"I'll start with innovation, and we got off to a strong start here as well with new products launched across our technology portfolios"
22,Let me highlight a few of them
23,"In Analytical Instruments, the new Thermo Scientific products we showcased at Pittcon really emphasized the success of our R&D strategy in this part of the business, which is essentially twofold"
24,"First, we continued to strengthen our leading mass spectrometry and chromotography platforms"
25,And a good example of that was our new iCAP triple-quad mass spec system for clinical research in pharma QA/QC
26,This is an extension of our successful iCAP product line and combines high-powered analysis with simpler operation
27,"Second, we're using these advanced systems to create specific workflows that are powerful yet easy for our customers to use in applications ranging from pharma compliance to clinical research"
28,The new iCAP system allows customers to switch between single and triple-quad modes so they can keep their existing workflow as well as add new capabilities over time
29,"In our Laboratory Products business, we launched a novel cloud-based application that connects electronic pipettes among individual users in the lab"
30,"It's designed to enable centralized programming, storage and sharing of protocols which increases efficiency in what has traditionally been a tedious and inefficient process that's prone to human error"
31,This new product is a great example of how we leverage our deep applications knowledge to help our customers improve efficiency at all stages of their workflows
32,We were also pleased to learn in the quarter that our TSX Series blood bank refrigerators were recognized by the EPA as the first ENERGY STAR certified lab-grade refrigerators currently available in the market
33,This demonstrates our commitment to offering customers new technologies that meets their goals for sustainability as well as productivity
34,"In Genetic Sciences, where our strategy is to extend the menu of assays that run on our instruments, we launched the CarrierScan Assay"
35,"The new microarray-based solution detects more than 6,000 genomic variations associated with 600 inherited diseases"
36,"CarrierScan is the first pan-ethnic research assay, which means it can serve as a single solution for an increasingly diverse population that helps labs greatly accelerate the screening process"
37,"Turning to the second pillar of our growth strategy, Asia-Pacific and emerging markets, we had another strong quarter in this region"
38,"China led the way again, with growth in the high teens, and we also reported strong growth in India and South Korea"
39,Our strategy of leveraging our unique scale in (sic) [is] (7:43) driving growth across the region
40,And we continue to build on our industry-leading presence there as well
41,A quick note on China
42,"I spent time with a number of our customers there a few weeks ago, and I continue to be energized by the long-term prospects for this important end market and the incredible opportunities we have to continue to gain share"
43,The funding environment overall in China continues to be very positive
44,"And we're well-positioned to lead in several areas that are a high priority for the government, such as precision medicine, pharmaceutical production, and environmental monitoring"
