,Word,Lemma,POSTag,Shape
0,Thank,thank,VBP,Xxxxx
1,you,-PRON-,PRP,xxx
2,",",",",",",","
3,Steve,Steve,NNP,Xxxxx
4,"
","
",_SP,"
"
5,As,as,IN,Xx
6,you,-PRON-,PRP,xxx
7,said,say,VBD,xxxx
8,",",",",",",","
9,itâ€,itâ€,NNP,xxx€
10,™,™,CD,™
11,s,s,VBZ,x
12,the,the,DT,xxx
13,right,right,JJ,xxxx
14,time,time,NN,xxxx
15,to,to,TO,xx
16,evolve,evolve,VB,xxxx
17,our,-PRON-,PRP$,xxx
18,leadership,leadership,NN,xxxx
19,team,team,NN,xxxx
20,"
","
",_SP,"
"
21,Veteran,veteran,NN,Xxxxx
22,leaders,leader,NNS,xxxx
23,with,with,IN,xxxx
24,new,new,JJ,xxx
25,focus,focus,NN,xxxx
26,",",",",",",","
27,new,new,JJ,xxx
28,energies,energy,NNS,xxxx
29,and,and,CC,xxx
30,high,high,JJ,xxxx
31,expectations,expectation,NNS,xxxx
32,working,work,VBG,xxxx
33,with,with,IN,xxxx
34,a,a,DT,x
35,mission,mission,NN,xxxx
36,",",",",",",","
37,from,from,IN,xxxx
38,a,a,DT,x
39,platform,platform,NN,xxxx
40,like,like,IN,xxxx
41,none,none,NN,xxxx
42,other,other,JJ,xxxx
43,in,in,IN,xx
44,healthcare,healthcare,NN,xxxx
45,"
","
",_SP,"
"
46,Across,across,IN,Xxxxx
47,UnitedHealth,UnitedHealth,NNP,XxxxxXxxxx
48,Group,Group,NNP,Xxxxx
49,",",",",",",","
50,our,-PRON-,PRP$,xxx
51,team,team,NN,xxxx
52,continues,continue,VBZ,xxxx
53,to,to,TO,xx
54,deepen,deepen,VB,xxxx
55,the,the,DT,xxx
56,disciplines,discipline,NNS,xxxx
57,of,of,IN,xx
58,responsive,responsive,JJ,xxxx
59,service,service,NN,xxxx
60,",",",",",",","
61,consistent,consistent,JJ,xxxx
62,quality,quality,NN,xxxx
63,",",",",",",","
64,innovation,innovation,NN,xxxx
65,and,and,CC,xxx
66,relationship,relationship,NNP,xxxx
67,trust,trust,NNP,xxxx
68,",",",",",",","
69,all,all,DT,xxx
70,in,in,IN,xx
71,the,the,DT,xxx
72,context,context,NN,xxxx
73,of,of,IN,xx
74,our,-PRON-,PRP$,xxx
75,mission,mission,NN,xxxx
76,and,and,CC,xxx
77,our,-PRON-,PRP$,xxx
78,culture,culture,NN,xxxx
79,"
","
",_SP,"
"
80,We,-PRON-,PRP,Xx
81,have,have,VBP,xxxx
82,meaningfully,meaningfully,RB,xxxx
83,advanced,advance,VBN,xxxx
84,the,the,DT,xxx
85,net,net,JJ,xxx
86,promoter,promoter,NN,xxxx
87,system,system,NN,xxxx
88,",",",",",",","
89,NPS,NPS,NNP,XXX
90,",",",",",",","
91,across,across,IN,xxxx
92,UnitedHealth,UnitedHealth,NNP,XxxxxXxxxx
93,Group,Group,NNP,Xxxxx
94,and,and,CC,xxx
95,fully,fully,RB,xxxx
96,aligned,align,VBD,xxxx
97,our,-PRON-,PRP$,xxx
98,compensation,compensation,NN,xxxx
99,systems,system,NNS,xxxx
100,with,with,IN,xxxx
101,annual,annual,JJ,xxxx
102,and,and,CC,xxx
103,long,long,JJ,xxxx
104,-,-,HYPH,-
105,term,term,NN,xxxx
106,NPS,NPS,NNP,XXX
107,goals,goal,NNS,xxxx
108,"
","
",_SP,"
"
109,This,this,DT,Xxxx
110,year,year,NN,xxxx
111,'s,'s,POS,'x
112,first,first,JJ,xxxx
113,surveys,survey,NNS,xxxx
114,of,of,IN,xx
115,consumer,consumer,NN,xxxx
116,NPS,NPS,NNP,XXX
117,at,at,IN,xx
118,UnitedHealthcare,UnitedHealthcare,NNP,XxxxxXxxxx
119,showed,show,VBD,xxxx
120,scores,score,NNS,xxxx
121,rising,rise,VBG,xxxx
122,4,4,CD,d
123,points,point,NNS,xxxx
124,in,in,IN,xx
125,each,each,DT,xxxx
126,of,of,IN,xx
127,our,-PRON-,PRP$,xxx
128,commercial,commercial,NN,xxxx
129,",",",",",",","
130,Medicare,Medicare,NNP,Xxxxx
