,Sentences
0,Good afternoon everyone
1,"Our company began 2017 with strong performance in oncology systems, continuing growth momentum in Imaging Components, and a $76 million GAAP charge related almost exclusively to the California Proton Treatment Center or CPTC in San Diego without which we would have handily beaten the high end of our earnings guidance range for the quarter"
2,"To summarize, our first quarter results we are reporting, strong oncology global order growth of 10% together with a four point improvement in its gross margin rate"
3,"Imaging Components gains in both orders and revenues, company-wide revenues of $763 million up 1% in both dollars and constant currency"
4,"GAAP net earnings of $0.22 per diluted share, after reporting $0.64 per diluted share in charges related almost exclusively to CPTC"
5,"Non-GAAP net earnings of $0.75 per diluted share, after recording $0.34 per diluted share in charges related almost exclusively to an accounts receivable reserve for CPTC and Board approval of the spinoff of Imaging Components into a new public company Varex Imaging in the next few days"
6,"Focusing first on Oncology Systems, orders totaled $586 million for the first quarter up 10% in both dollars and in constant currency"
7,Broad-based demand for new equipment as well as software and services drove strong order growth across all geographies during the quarter
8,"First quarter orders in the Americas grew by 5% in dollars and constant currency, orders in North America grew by 7% growth in both dollars and constant currency"
9,The trailing 12 month order growth rate in North America is 6%
10,First quarter oncology orders in APAC rose by 29% in dollars and 24% in constant currency while EMEA grew orders by 8% in dollars and 10% in constant currency
11,In India we booked $18 million for a multi-linac project with a customer that will total $35 million over the next 10 years
12,This is our first combined hardware and software as a service deal in the region and it demonstrates our ability to meet the growing need from customers for a cloud hosted software solutions
13,Elsewhere in EMEA we continue to perform strongly in Poland
14,As you will recall we acquired our distributor there last year
15,During the quarter we won the majority of tenders and booked more than $20 million
16,"The highlight in our APAC region was China, where we achieved 25% order growth during the quarter with sizable gains in both equipment and services"
17,It appears that competitor protests to tender wins in this market are diminishing and are being resolved more rapidly
18,We grew orders in Japan where we're seeing positive signs of a market recovery
19,"We supported an SBRT focused luncheon seminar at Jastrow [ph] the Japanese radiation oncology show, where TrueBeam and HyperArc created a real buzz"
20,Several hundred people attended our sessions on SBRT and TrueBeam
21,"Emerging markets in Asia were also active with good orders performance in South Korea, Indonesia, Vietnam and the Philippines"
22,Turning to North America our order growth was driven mainly by healthy software and service gains as we expected potential changes to the Affordable Care Act did not appear to impact market performance in the quarter
23,"Touching on our service business, global orders and revenues rose by about 7% in dollars in constant currency with gains in all territories"
24,On the software side we saw growing interest in our newly introduced 360 oncology software platform particularly from customers in Western Europe
25,You may recall this offering which was introduced at the ESTRO show in October is a first of a kind software tool that enables clinicians on Tumor Boards to more effectively coordinate patient care among the numerous specialties involved in cancer treatment
26,"We have also continued to have a very positive market response to our RapidPlan and InSightive Analytics software products that help improve the speed, quality, and cost efficiency of treatments"
27,We have now taken more than 700 orders to RapidPlan since its launch and 380 systems are installed at customer sites around the world
28,Sales of our InSightive product are also ramping up nicely
29,During the quarter we received our 100th order for the VitalBeam treatment system
30,Half of these orders have come from customers in North America which demonstrates the appeal of this scalable solution even in developed markets
31,Comparing revenues on a trailing 12 month basis we believe we gained market share
32,Margins which Elisha will discuss in a few moments also benefited from ongoing efforts to reduce product cost
33,I will now turn to our particle therapy business which recorded first quarter revenues of $30 million
34,"As I mentioned at the outset of the call, Varian took a $76 million GAAP charge in the first quarter in response to certain actions in January by CPTC and its loan agent or its capital markets to address liquidity issues caused by lower than expected patient volumes that are insufficient to support CPTCâ€™s capital structure"
