,Word,Lemma,POSTag,Shape
0,Good,good,JJ,Xxxx
1,afternoon,afternoon,NN,xxxx
2,everyone,everyone,NN,xxxx
3,"
","
",_SP,"
"
4,Our,-PRON-,PRP$,Xxx
5,company,company,NN,xxxx
6,began,begin,VBD,xxxx
7,2017,2017,CD,dddd
8,with,with,IN,xxxx
9,strong,strong,JJ,xxxx
10,performance,performance,NN,xxxx
11,in,in,IN,xx
12,oncology,oncology,NN,xxxx
13,systems,system,NNS,xxxx
14,",",",",",",","
15,continuing,continue,VBG,xxxx
16,growth,growth,NN,xxxx
17,momentum,momentum,NN,xxxx
18,in,in,IN,xx
19,Imaging,Imaging,NNP,Xxxxx
20,Components,Components,NNPS,Xxxxx
21,",",",",",",","
22,and,and,CC,xxx
23,a,a,DT,x
24,$,$,$,$
25,76,76,CD,dd
26,million,million,CD,xxxx
27,GAAP,GAAP,NNP,XXXX
28,charge,charge,NN,xxxx
29,related,relate,VBD,xxxx
30,almost,almost,RB,xxxx
31,exclusively,exclusively,RB,xxxx
32,to,to,IN,xx
33,the,the,DT,xxx
34,California,California,NNP,Xxxxx
35,Proton,Proton,NNP,Xxxxx
36,Treatment,Treatment,NNP,Xxxxx
37,Center,Center,NNP,Xxxxx
38,or,or,CC,xx
39,CPTC,CPTC,NNP,XXXX
40,in,in,IN,xx
41,San,San,NNP,Xxx
42,Diego,Diego,NNP,Xxxxx
43,without,without,IN,xxxx
44,which,which,WDT,xxxx
45,we,-PRON-,PRP,xx
46,would,would,MD,xxxx
47,have,have,VB,xxxx
48,handily,handily,RB,xxxx
49,beaten,beat,VBN,xxxx
50,the,the,DT,xxx
51,high,high,JJ,xxxx
52,end,end,NN,xxx
53,of,of,IN,xx
54,our,-PRON-,PRP$,xxx
55,earnings,earning,NNS,xxxx
56,guidance,guidance,NN,xxxx
57,range,range,NN,xxxx
58,for,for,IN,xxx
59,the,the,DT,xxx
60,quarter,quarter,NN,xxxx
61,"
","
",_SP,"
"
62,To,to,TO,Xx
63,summarize,summarize,VB,xxxx
64,",",",",",",","
65,our,-PRON-,PRP$,xxx
66,first,first,JJ,xxxx
67,quarter,quarter,NN,xxxx
68,results,result,NNS,xxxx
69,we,-PRON-,PRP,xx
70,are,be,VBP,xxx
71,reporting,report,VBG,xxxx
72,",",",",",",","
73,strong,strong,JJ,xxxx
74,oncology,oncology,NN,xxxx
75,global,global,JJ,xxxx
76,order,order,NN,xxxx
77,growth,growth,NN,xxxx
78,of,of,IN,xx
79,10,10,CD,dd
80,%,%,NN,%
81,together,together,RB,xxxx
82,with,with,IN,xxxx
83,a,a,DT,x
84,four,four,CD,xxxx
85,point,point,NN,xxxx
86,improvement,improvement,NN,xxxx
87,in,in,IN,xx
88,its,-PRON-,PRP$,xxx
89,gross,gross,JJ,xxxx
90,margin,margin,NN,xxxx
91,rate,rate,NN,xxxx
92,"
","
",_SP,"
"
93,Imaging,Imaging,NNP,Xxxxx
94,Components,Components,NNPS,Xxxxx
95,gains,gain,NNS,xxxx
96,in,in,IN,xx
97,both,both,DT,xxxx
98,orders,order,NNS,xxxx
99,and,and,CC,xxx
100,revenues,revenue,NNS,xxxx
101,",",",",",",","
102,company,company,NN,xxxx
103,-,-,HYPH,-
104,wide,wide,JJ,xxxx
105,revenues,revenue,NNS,xxxx
106,of,of,IN,xx
107,$,$,$,$
108,763,763,CD,ddd
109,million,million,CD,xxxx
110,up,up,RB,xx
111,1,1,CD,d
112,%,%,NN,%
113,in,in,IN,xx
114,both,both,DT,xxxx
115,dollars,dollar,NNS,xxxx
116,and,and,CC,xxx
117,constant,constant,JJ,xxxx
118,currency,currency,NN,xxxx
119,"
","
",_SP,"
"
120,GAAP,GAAP,NNP,XXXX
121,net,net,JJ,xxx
122,earnings,earning,NNS,xxxx
123,of,of,IN,xx
124,$,$,$,$
125,0.22,0.22,CD,d.dd
126,per,per,IN,xxx
127,diluted,diluted,JJ,xxxx
128,share,share,NN,xxxx
129,",",",",",",","
130,after,after,IN,xxxx
131,reporting,report,VBG,xxxx
132,$,$,$,$
133,0.64,0.64,CD,d.dd
134,per,per,IN,xxx
135,diluted,diluted,JJ,xxxx
136,share,share,NN,xxxx
137,in,in,IN,xx
138,charges,charge,NNS,xxxx
139,related,relate,VBN,xxxx
140,almost,almost,RB,xxxx
141,exclusively,exclusively,RB,xxxx
142,to,to,IN,xx
143,CPTC,CPTC,NNP,XXXX
144,"
","
",_SP,"
"
145,Non,non,JJ,Xxx
146,-,-,JJ,-
147,GAAP,gaap,JJ,XXXX
148,net,net,JJ,xxx
149,earnings,earning,NNS,xxxx
150,of,of,IN,xx
151,$,$,$,$
152,0.75,0.75,CD,d.dd
153,per,per,IN,xxx
154,diluted,diluted,JJ,xxxx
155,share,share,NN,xxxx
156,",",",",",",","
157,after,after,IN,xxxx
158,recording,record,VBG,xxxx
159,$,$,$,$
160,0.34,0.34,CD,d.dd
161,per,per,IN,xxx
162,diluted,diluted,JJ,xxxx
163,share,share,NN,xxxx
164,in,in,IN,xx
165,charges,charge,NNS,xxxx
166,related,relate,VBN,xxxx
167,almost,almost,RB,xxxx
168,exclusively,exclusively,RB,xxxx
169,to,to,IN,xx
170,an,an,DT,xx
171,accounts,account,NNS,xxxx
172,receivable,receivable,JJ,xxxx
173,reserve,reserve,NN,xxxx
174,for,for,IN,xxx
175,CPTC,CPTC,NNP,XXXX
176,and,and,CC,xxx
177,Board,Board,NNP,Xxxxx
178,approval,approval,NN,xxxx
179,of,of,IN,xx
180,the,the,DT,xxx
181,spinoff,spinoff,NN,xxxx
182,of,of,IN,xx
183,Imaging,Imaging,NNP,Xxxxx
184,Components,Components,NNP,Xxxxx
185,into,into,IN,xxxx
186,a,a,DT,x
187,new,new,JJ,xxx
188,public,public,JJ,xxxx
189,company,company,NN,xxxx
190,Varex,Varex,NNP,Xxxxx
191,Imaging,Imaging,NNP,Xxxxx
192,in,in,IN,xx
193,the,the,DT,xxx
194,next,next,JJ,xxxx
195,few,few,JJ,xxx
196,days,day,NNS,xxxx
197,"
","
",_SP,"
"
198,Focusing,focus,VBG,Xxxxx
199,first,first,RB,xxxx
200,on,on,IN,xx
201,Oncology,Oncology,NNP,Xxxxx
202,Systems,Systems,NNPS,Xxxxx
203,",",",",",",","
204,orders,order,NNS,xxxx
205,totaled,total,VBD,xxxx
206,$,$,$,$
207,586,586,CD,ddd
208,million,million,CD,xxxx
209,for,for,IN,xxx
210,the,the,DT,xxx
211,first,first,JJ,xxxx
212,quarter,quarter,NN,xxxx
213,up,up,RB,xx
214,10,10,CD,dd
215,%,%,NN,%
216,in,in,IN,xx
217,both,both,CC,xxxx
218,dollars,dollar,NNS,xxxx
219,and,and,CC,xxx
220,in,in,IN,xx
221,constant,constant,JJ,xxxx
222,currency,currency,NN,xxxx
223,"
","
",_SP,"
"
224,Broad,broad,RB,Xxxxx
225,-,-,HYPH,-
226,based,base,VBN,xxxx
227,demand,demand,NN,xxxx
228,for,for,IN,xxx
229,new,new,JJ,xxx
230,equipment,equipment,NN,xxxx
231,as,as,RB,xx
232,well,well,RB,xxxx
233,as,as,IN,xx
234,software,software,NN,xxxx
235,and,and,CC,xxx
236,services,service,NNS,xxxx
237,drove,drive,VBD,xxxx
238,strong,strong,JJ,xxxx
239,order,order,NN,xxxx
240,growth,growth,NN,xxxx
241,across,across,IN,xxxx
242,all,all,DT,xxx
243,geographies,geography,NNS,xxxx
244,during,during,IN,xxxx
245,the,the,DT,xxx
246,quarter,quarter,NN,xxxx
247,"
","
",_SP,"
"
248,First,first,JJ,Xxxxx
249,quarter,quarter,NN,xxxx
250,orders,order,NNS,xxxx
251,in,in,IN,xx
252,the,the,DT,xxx
253,Americas,Americas,NNPS,Xxxxx
254,grew,grow,VBD,xxxx
255,by,by,IN,xx
256,5,5,CD,d
257,%,%,NN,%
258,in,in,IN,xx
259,dollars,dollar,NNS,xxxx
260,and,and,CC,xxx
261,constant,constant,JJ,xxxx
262,currency,currency,NN,xxxx
263,",",",",",",","
264,orders,order,NNS,xxxx
265,in,in,IN,xx
266,North,North,NNP,Xxxxx
267,America,America,NNP,Xxxxx
268,grew,grow,VBD,xxxx
269,by,by,IN,xx
270,7,7,CD,d
271,%,%,NN,%
272,growth,growth,NN,xxxx
273,in,in,IN,xx
274,both,both,DT,xxxx
275,dollars,dollar,NNS,xxxx
276,and,and,CC,xxx
277,constant,constant,JJ,xxxx
278,currency,currency,NN,xxxx
279,"
","
",_SP,"
"
280,The,the,DT,Xxx
281,trailing,trail,VBG,xxxx
282,12,12,CD,dd
283,month,month,NN,xxxx
284,order,order,NN,xxxx
285,growth,growth,NN,xxxx
286,rate,rate,NN,xxxx
287,in,in,IN,xx
288,North,North,NNP,Xxxxx
289,America,America,NNP,Xxxxx
290,is,be,VBZ,xx
291,6,6,CD,d
292,%,%,NN,%
293,"
","
",_SP,"
"
294,First,first,JJ,Xxxxx
295,quarter,quarter,NN,xxxx
296,oncology,oncology,NN,xxxx
297,orders,order,NNS,xxxx
298,in,in,IN,xx
299,APAC,APAC,NNP,XXXX
300,rose,rise,VBD,xxxx
301,by,by,IN,xx
302,29,29,CD,dd
303,%,%,NN,%
304,in,in,IN,xx
305,dollars,dollar,NNS,xxxx
306,and,and,CC,xxx
307,24,24,CD,dd
308,%,%,NN,%
309,in,in,IN,xx
310,constant,constant,JJ,xxxx
311,currency,currency,NN,xxxx
312,while,while,IN,xxxx
313,EMEA,EMEA,NNP,XXXX
314,grew,grow,VBD,xxxx
315,orders,order,NNS,xxxx
316,by,by,IN,xx
317,8,8,CD,d
318,%,%,NN,%
319,in,in,IN,xx
320,dollars,dollar,NNS,xxxx
321,and,and,CC,xxx
