,Word,Lemma,POSTag,Shape
0,Thank,thank,VBP,Xxxxx
1,you,-PRON-,PRP,xxx
2,",",",",",",","
3,Jamie,Jamie,NNP,Xxxxx
4,",",",",",",","
5,and,and,CC,xxx
6,good,good,JJ,xxxx
7,morning,morning,NN,xxxx
8,",",",",",",","
9,everyone,everyone,NN,xxxx
10,"
","
",_SP,"
"
11,As,as,IN,Xx
12,you,-PRON-,PRP,xxx
13,saw,see,VBD,xxx
14,on,on,IN,xx
15,this,this,DT,xxxx
16,morning,morning,NN,xxxx
17,'s,'s,POS,'x
18,release,release,NN,xxxx
19,",",",",",",","
20,we,-PRON-,PRP,xx
21,concluded,conclude,VBD,xxxx
22,2016,2016,CD,dddd
23,with,with,IN,xxxx
24,another,another,DT,xxxx
25,strong,strong,JJ,xxxx
26,quarter,quarter,NN,xxxx
27,of,of,IN,xx
28,operating,operate,VBG,xxxx
29,performance,performance,NN,xxxx
30,",",",",",",","
31,capping,cap,VBG,xxxx
32,off,off,RP,xxx
33,a,a,DT,x
34,very,very,RB,xxxx
35,successful,successful,JJ,xxxx
36,year,year,NN,xxxx
37,"
","
",_SP,"
"
38,The,the,DT,Xxx
39,operating,operating,NN,xxxx
40,environment,environment,NN,xxxx
41,continued,continue,VBD,xxxx
42,to,to,TO,xx
43,be,be,VB,xx
44,challenging,challenge,VBG,xxxx
45,in,in,IN,xx
46,2016,2016,CD,dddd
47,.,.,.,.
48,So,so,RB,Xx
49,in,in,IN,xx
50,this,this,DT,xxxx
51,context,context,NN,xxxx
52,",",",",",",","
53,I,-PRON-,PRP,X
54,am,be,VBP,xx
55,pleased,pleased,JJ,xxxx
56,to,to,TO,xx
57,report,report,VB,xxxx
58,that,that,IN,xxxx
59,we,-PRON-,PRP,xx
60,achieved,achieve,VBD,xxxx
61,or,or,CC,xx
62,exceeded,exceed,VBD,xxxx
63,each,each,DT,xxxx
64,of,of,IN,xx
65,the,the,DT,xxx
66,financial,financial,JJ,xxxx
67,goals,goal,NNS,xxxx
68,we,-PRON-,PRP,xx
69,shared,share,VBD,xxxx
70,with,with,IN,xxxx
71,you,-PRON-,PRP,xxx
72,at,at,IN,xx
73,the,the,DT,xxx
74,beginning,beginning,NN,xxxx
75,of,of,IN,xx
76,the,the,DT,xxx
77,year,year,NN,xxxx
78,"
","
",_SP,"
"
79,To,to,TO,Xx
80,recap,recap,VB,xxxx
81,",",",",",",","
82,we,-PRON-,PRP,xx
83,grew,grow,VBD,xxxx
84,organic,organic,JJ,xxxx
85,revenue,revenue,NN,xxxx
86,3.7,3.7,CD,d.d
87,%,%,NN,%
88,",",",",",",","
89,in,in,IN,xx
90,line,line,NN,xxxx
91,with,with,IN,xxxx
92,our,-PRON-,PRP$,xxx
93,goal,goal,NN,xxxx
94,of,of,IN,xx
95,approximately,approximately,RB,xxxx
96,4,4,CD,d
97,%,%,NN,%
98,"
","
",_SP,"
"
99,We,-PRON-,PRP,Xx
100,met,meet,VBD,xxx
101,our,-PRON-,PRP$,xxx
102,goal,goal,NN,xxxx
103,of,of,IN,xx
104,expanding,expand,VBG,xxxx
105,core,core,NN,xxxx
106,operating,operating,NN,xxxx
107,margins,margin,NNS,xxxx
108,",",",",",",","
109,which,which,WDT,xxxx
110,were,be,VBD,xxxx
111,up,up,RB,xx
112,80,80,CD,dd
113,basis,basis,NN,xxxx
114,points,point,NNS,xxxx
115,compared,compare,VBN,xxxx
116,to,to,IN,xx
117,2015,2015,CD,dddd
118,.,.,.,.
119,Core,core,JJ,Xxxx
120,constant,constant,JJ,xxxx
121,currency,currency,NN,xxxx
122,EPS,EPS,NNP,XXX
123,grew,grow,VBD,xxxx
124,9,9,CD,d
125,%,%,NN,%
126,versus,versus,IN,xxxx
127,our,-PRON-,PRP$,xxx
128,initial,initial,JJ,xxxx
129,goal,goal,NN,xxxx
130,of,of,IN,xx
131,6,6,CD,d
132,%,%,NN,%
133,"
","
",_SP,"
"
134,Keep,keep,VB,Xxxx
135,in,in,IN,xx
136,mind,mind,NN,xxxx
137,this,this,DT,xxxx
138,includes,include,VBZ,xxxx
139,the,the,DT,xxx
