company,date of release
3M Company,20170425
3M Company,20170725
A.O. Smith Corp,20170726
ABIOMED Inc,20170504
AES Corp,20170508
AES Corp,20171102
AMETEK Inc.,20170207
AMETEK Inc.,20170802
AT&T Inc.,20170425
AT&T Inc.,20171024
AbbVie Inc.,20170427
AbbVie Inc.,20170728
AbbVie Inc.,20171027
Abbott Laboratories,20171018
Activision Blizzard,20170209
Activision Blizzard,20170504
Adobe Systems Inc,20170316
Advance Auto Parts,20170524
Advanced Micro Devices Inc,20170501
Advanced Micro Devices Inc,20170725
Advanced Micro Devices Inc,20171024
Aetna Inc,20170131
Aetna Inc,20170502
Aetna Inc,20171031
Agilent Technologies Inc,20170214
Akamai Technologies Inc,20170207
Akamai Technologies Inc,20170502
Alaska Air Group Inc,20170208
Alaska Air Group Inc,20171025
Alexion Pharmaceuticals,20170427
Alexion Pharmaceuticals,20171026
Align Technology,20170131
Align Technology,20170427
Align Technology,20170727
Allegion,20170209
Allegion,20170427
"Allergan, Plc",20170803
Alliance Data Systems,20170126
Alliance Data Systems,20170420
Alliance Data Systems,20171019
Altria Group Inc,20170502
Altria Group Inc,20170727
Altria Group Inc,20171026
Amazon.com Inc.,20170202
Amazon.com Inc.,20170427
Ameren Corp,20170216
American Express Co,20170419
American Express Co,20170719
American Express Co,20171018
American Tower Corp A,20170227
American Tower Corp A,20170427
American Tower Corp A,20171031
AmerisourceBergen Corp,20170131
AmerisourceBergen Corp,20170504
AmerisourceBergen Corp,20170803
AmerisourceBergen Corp,20171102
Amgen Inc.,20170725
Amgen Inc.,20171025
Anthem Inc.,20170201
Anthem Inc.,20170426
Anthem Inc.,20170726
Aon plc,20170509
Aon plc,20171027
Apache Corporation,20170223
Apache Corporation,20171102
Archer-Daniels-Midland Co,20170207
Archer-Daniels-Midland Co,20170502
Archer-Daniels-Midland Co,20170801
Archer-Daniels-Midland Co,20171031
Autodesk Inc.,20170302
Automatic Data Processing,20170201
Automatic Data Processing,20170503
Automatic Data Processing,20170727
Automatic Data Processing,20171102
Avery Dennison Corp,20170201
Avery Dennison Corp,20170426
Avery Dennison Corp,20170725
Avery Dennison Corp,20171025
Ball Corp,20170504
Ball Corp,20170803
Ball Corp,20171102
Baxter International Inc.,20170426
Baxter International Inc.,20170726
Becton Dickinson,20170803
Becton Dickinson,20171102
Biogen Inc.,20170126
Boeing Company,20170426
